trace,level,policy,G,B0_by_overlay,eta,gam_by_overlay,Bmax_by_overlay,Ncap_by_overlay,promise_by_overlay,guar_excess_s,max_excess_s,used_over_allowed
primary,2,HYB-G300,300.0,0/0/0/0/0,0.0,16/16/16/16/16,600/600/600/600/600,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0,300.0,231.4024,0.7713
primary,2,SKIP-G300,300.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,14/14/14/14/14,300.0/300.0/300.0/300.0/300.0,300.0,81.2808,0.2709
primary,2,FIX-G600,600.0,1800/1800/1800/1800/1800,0.0,0/0/0/0/0,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,523.5029,0.8725
primary,2,FIXSEL-G600,600.0,981.126/981.126/981.126/981.126/981.126,0.0,0/0/0/0/0,1800/1800/1800/1800/1800,0/0/0/0/0,395.3/395.3/395.3/395.3/395.3,395.2815,325.3845,0.8232
primary,2,CAP-G600,600.0,120/120/120/120/120,0.75,0/0/0/0/0,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,515.8429,0.8597
primary,2,HYB-G600,600.0,120/120/120/120/120,0.0,16/16/16/16/16,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,515.8379,0.8743
primary,2,SKIP-G600,600.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,34/34/34/34/34,600.0/600.0/600.0/600.0/600.0,600.0,112.4402,0.1874
primary,2,FIX-G1200,1200.0,4200/4200/4200/4200/4200,0.0,0/0/0/0/0,4200/4200/4200/4200/4200,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,1116.4944,0.9304
primary,2,FIXSEL-G1200,1200.0,2029.96/2029.96/2029.96/2029.96/2029.96,0.0,0/0/0/0/0,4200/4200/4200/4200/4200,0/0/0/0/0,657.5/657.5/657.5/657.5/657.5,657.49,578.4406,0.8798
primary,2,CAP-G1200,1200.0,360/360/360/360/360,0.75,0/0/0/0/0,4200/4200/4200/4200/4200,0/0/0/0/0,960.0/960.0/960.0/960.0/960.0,1200.0,1120.4296,0.9337
primary,2,HYB-G1200,1200.0,0/0/0/0/0,0.0,16/16/16/16/16,4200/4200/4200/4200/4200,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,1110.6399,0.9255
primary,2,SKIP-G1200,1200.0,-1/-1/-1/-1/-1,0.0,0/0/0/0/0,0/0/0/0/0,74/74/74/74/74,1200.0/1200.0/1200.0/1200.0/1200.0,1200.0,144.5266,0.1204
primary,2,CAP-G600-reversed,600.0,120/120/120/120/120,0.75,0/0/0/0/0,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,534.7906,0.8913
primary,2,CAP-G600-random,600.0,120/120/120/120/120,0.75,0/0/0/0/0,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,520.7344,0.8679
primary,2,CAP-G600-top1short,600.0,120/120/120/120/120,0.75,0/0/0/0/0,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0,600.0,534.7269,0.8912
k1,0,FIX-G300,300.0,240.0,0.0,0,240,0,300.0,300.0,295.1349,0.9838
k1,0,FIXSEL-G300,300.0,82.4177,0.0,0,240,0,142.4,142.4178,140.3158,0.9852
k1,0,CAP-G300,300.0,15.0,0.5,0,240,0,150.0,300.0,295.1349,0.9838
k1,0,HYB-G300,300.0,0.0,0.0,4,240,0,300.0,300.0,295.1349,0.9919
k1,0,SKIP-G300,300.0,-1.0,0.0,0,0,5,300.0,300.0,95.0859,0.317
k1,0,FIX-G600,600.0,540.0,0.0,0,540,0,600.0,600.0,592.5319,0.9876
k1,0,FIXSEL-G600,600.0,245.281,0.0,0,540,0,305.3,305.2815,303.2653,0.9934
k1,0,CAP-G600,600.0,30.0,0.75,0,540,0,360.0,600.0,592.5319,0.9876
k1,0,HYB-G600,600.0,30.0,0.0,4,540,0,600.0,600.0,592.5319,0.9876
k1,0,SKIP-G600,600.0,-1.0,0.0,0,0,10,600.0,600.0,100.8546,0.1681
k1,0,FIX-G1200,1200.0,1140.0,0.0,0,1140,0,1200.0,1200.0,1171.6655,0.9764
k1,0,FIXSEL-G1200,1200.0,507.49,0.0,0,1140,0,567.5,567.49,558.9396,0.9849
k1,0,CAP-G1200,1200.0,90.0,0.75,0,1140,0,600.0,1200.0,1181.3375,0.9844
k1,0,HYB-G1200,1200.0,0.0,0.0,4,1140,0,1200.0,1200.0,1165.1454,0.9919
k1,0,SKIP-G1200,1200.0,-1.0,0.0,0,0,20,1200.0,1200.0,166.867,0.1391
k1,0,CAP-G600-reversed,600.0,30.0,0.75,0,540,0,360.0,600.0,596.1245,0.9935
k1,0,CAP-G600-random,600.0,30.0,0.75,0,540,0,360.0,600.0,596.9447,0.9949
k1,0,CAP-G600-top1short,600.0,30.0,0.75,0,540,0,360.0,600.0,597.0194,0.995
