level,rho,k_by_overlay,policy,p99_dl_s,gap_closed,red_pct,mean_s,max_excess_s,harm_s,max_heavy_s,qw_fired,B0_by_overlay,Ncap_by_overlay,promise_by_overlay
1,0.8,5/5/5/5/5,CAP-G600,47.44,"0.837 [0.815,0.852]","60.1 [55.1,63.2]",1.525,513.8,313.2,1466.8,0.0122,150/150/150/150/150,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
1,0.8,5/5/5/5/5,HYB-G600,47.61,"0.835 [0.815,0.849]","60.0 [55.0,63.1]",1.531,502.9,110.9,1466.9,0.0131,150/150/150/150/150,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
1,0.8,5/5/5/5/5,SKIP-G600,118.66,"0.008 [-0.002,0.026]","0.6 [-0.1,1.8]",3.847,97.5,63.5,1024.9,0.7403,-1/-1/-1/-1/-1,42/42/42/42/42,600.0/600.0/600.0/600.0/600.0
1,0.8,5/5/5/5/5,FIX-G1200,45.39,"0.861 [0.842,0.873]","61.8 [56.7,65.2]",1.387,1110.9,469.3,2063.6,0.0021,5220/5220/5220/5220/5220,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0
1,0.8,5/5/5/5/5,FIXSEL-G1200,46.71,"0.846 [0.827,0.858]","60.7 [55.8,63.9]",1.503,574.1,469.3,1524.2,0.0082,2537.45/2537.45/2537.45/2537.45/2537.45,0/0/0/0/0,663.5/663.5/663.5/663.5/663.5
1,0.8,5/5/5/5/5,CAP-G1200,45.23,"0.863 [0.843,0.875]","62.0 [56.8,65.4]",1.361,1103.5,373.8,2063.6,0.0027,450/450/450/450/450,0/0/0/0/0,984.0/984.0/984.0/984.0/984.0
1,0.8,5/5/5/5/5,HYB-G1200,46.68,"0.846 [0.825,0.860]","60.7 [55.5,64.2]",1.405,1101.1,117.6,2063.6,0.0996,0/0/0/0/0,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0
1,0.8,5/5/5/5/5,SKIP-G1200,117.45,"0.023 [0.004,0.074]","1.6 [0.3,5.0]",3.608,133.2,83.6,1027.0,0.661,-1/-1/-1/-1/-1,92/92/92/92/92,1200.0/1200.0/1200.0/1200.0/1200.0
2,1.0,4/4/4/4/4,FCFS,273.5,"0.000 [0.000,0.000]","0.0 [0.0,0.0]",10.27,0.0,0.0,1542.8,1.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,SJF-ref,43.63,"1.000 [1.000,1.000]","84.0 [79.6,86.8]",1.696,4755.5,1365.9,5299.5,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,SPJF-M4,67.29,"0.897 [0.872,0.913]","75.3 [70.2,78.5]",2.352,5882.9,551.1,6264.1,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,SPJF-M4refit,67.36,"0.896 [0.871,0.913]","75.3 [70.1,78.5]",2.352,5896.6,551.1,6278.3,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,SPJF-tweedie,62.91,"0.916 [0.891,0.929]","77.0 [71.6,80.2]",2.292,5904.5,708.8,6286.2,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,SPJF-tweedie_itr,63.23,"0.915 [0.891,0.928]","76.8 [71.5,80.1]",2.298,5448.9,529.0,6085.5,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,SPJF-r1s,62.71,"0.917 [0.895,0.929]","77.0 [71.7,80.3]",2.302,5368.2,879.2,5964.4,0.0,-1/-1/-1/-1/-1,0/0/0/0/0,inf/inf/inf/inf/inf
2,1.0,4/4/4/4/4,FIX-G300,170.14,"0.450 [0.363,0.618]","37.8 [30.9,49.9]",5.529,227.9,208.2,1692.9,0.2841,600/600/600/600/600,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
2,1.0,4/4/4/4/4,FIXSEL-G300,224.46,"0.214 [0.147,0.357]","17.9 [12.5,28.7]",6.399,165.1,158.4,1625.2,0.4156,329.671/329.671/329.671/329.671/329.671,0/0/0/0/0,232.4/232.4/232.4/232.4/232.4
2,1.0,4/4/4/4/4,CAP-G300,164.37,"0.474 [0.379,0.600]","39.8 [32.4,48.3]",5.578,228.9,130.2,1692.9,0.2877,60/60/60/60/60,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
2,1.0,4/4/4/4/4,HYB-G300,170.49,"0.448 [0.361,0.604]","37.6 [30.7,48.7]",5.549,231.4,145.8,1692.9,0.3107,0/0/0/0/0,0/0/0/0/0,300.0/300.0/300.0/300.0/300.0
2,1.0,4/4/4/4/4,SKIP-G300,273.15,"0.001 [-0.001,0.003]","0.1 [-0.1,0.2]",10.045,81.3,81.3,1543.6,0.9036,-1/-1/-1/-1/-1,14/14/14/14/14,300.0/300.0/300.0/300.0/300.0
2,1.0,4/4/4/4/4,FIX-G600,86.64,"0.813 [0.777,0.851]","68.3 [64.7,70.6]",3.867,523.5,520.5,1992.9,0.072,1800/1800/1800/1800/1800,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
2,1.0,4/4/4/4/4,FIXSEL-G600,116.96,"0.681 [0.597,0.762]","57.2 [51.0,61.6]",4.747,325.4,292.1,1788.2,0.1763,981.126/981.126/981.126/981.126/981.126,0/0/0/0/0,395.3/395.3/395.3/395.3/395.3
2,1.0,4/4/4/4/4,CAP-G600,89.61,"0.800 [0.764,0.840]","67.2 [63.5,69.8]",3.84,515.8,339.1,1993.0,0.0714,120/120/120/120/120,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
2,1.0,4/4/4/4/4,HYB-G600,91.21,"0.793 [0.757,0.832]","66.6 [62.8,69.3]",3.869,515.8,123.4,1993.0,0.0707,120/120/120/120/120,0/0/0/0/0,600.0/600.0/600.0/600.0/600.0
2,1.0,4/4/4/4/4,SKIP-G600,272.94,"0.002 [-0.004,0.006]","0.2 [-0.3,0.5]",9.779,112.4,82.4,1544.7,0.8625,-1/-1/-1/-1/-1,34/34/34/34/34,600.0/600.0/600.0/600.0/600.0
2,1.0,4/4/4/4/4,FIX-G1200,73.06,"0.872 [0.846,0.893]","73.2 [68.8,75.9]",3.055,1116.5,708.8,2597.9,0.0069,4200/4200/4200/4200/4200,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0
2,1.0,4/4/4/4/4,FIXSEL-G1200,83.28,"0.827 [0.797,0.860]","69.5 [65.9,71.8]",3.699,578.4,564.2,2050.4,0.0572,2029.96/2029.96/2029.96/2029.96/2029.96,0/0/0/0/0,657.5/657.5/657.5/657.5/657.5
2,1.0,4/4/4/4/4,CAP-G1200,73.15,"0.871 [0.847,0.892]","73.2 [68.7,75.9]",2.95,1120.4,567.7,2592.2,0.0081,360/360/360/360/360,0/0/0/0/0,960.0/960.0/960.0/960.0/960.0
2,1.0,4/4/4/4/4,HYB-G1200,83.1,"0.828 [0.799,0.855]","69.6 [65.0,72.6]",3.14,1110.6,145.8,2591.4,0.0618,0/0/0/0/0,0/0/0/0/0,1200.0/1200.0/1200.0/1200.0/1200.0
2,1.0,4/4/4/4/4,SKIP-G1200,273.06,"0.002 [-0.009,0.013]","0.2 [-0.7,1.1]",9.354,144.5,105.0,1547.5,0.8069,-1/-1/-1/-1/-1,74/74/74/74/74,1200.0/1200.0/1200.0/1200.0/1200.0
