trace,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi
primary,1,0.8,5.0,p99dl,SPJF-tweedie_itr,43.43895592689533,0.884221104402728,0.8612128615235101,0.8976130387794901,63.47644999645829,57.91864904396811,67.20875497254625
primary,1,0.8,5.0,p99dl,SPJF-r1s,42.82420189231649,0.8913536942472206,0.870046020174409,0.903810591451507,63.98808573972067,58.503053507272895,67.73945451939503
primary,1,0.8,5.0,p99dl,FIX-G300,53.97091666623959,0.7613722422467205,0.719809305787471,0.7837941178695216,54.660387563109985,50.789177864682,56.49665311173085
primary,1,0.8,5.0,p99dl,FIXSEL-G300,64.65082363054209,0.6372634576491574,0.5397793891742109,0.6976418155859511,45.743251333902656,39.69418535526073,48.53907010128328
primary,1,0.8,5.0,p99dl,CAP-G300,56.12507623970529,0.7358876910054144,0.6932325846156139,0.7584666360897419,52.83947787505118,48.932297054635725,54.79189612764507
primary,1,0.8,5.0,p99dl,HYB-G300,54.74953599825518,0.7519024767356315,0.7099462964417714,0.7758730502079106,53.990383056479004,50.186671285267835,55.922663072553945
primary,1,0.8,5.0,p99dl,SKIP-G300,119.20588558301354,0.0018889136984788387,-0.0014751221397333056,0.009357422475396074,0.13196001951163797,-0.10852466030232184,0.620663934572779
primary,1,0.8,5.0,p99dl,FIX-G600,47.0459130358697,0.8418214321286814,0.8236075586418168,0.8535110868873742,60.43936571587839,55.58822095652594,63.581298230199096
primary,1,0.8,5.0,p99dl,FIXSEL-G600,49.83594162724923,0.8094490539000102,0.7860160024492445,0.823872040921587,58.112544267469005,53.735910255327234,60.57516302770737
primary,1,0.8,5.0,p99dl,CAP-G600,47.43787029907114,0.8371313123365904,0.815477321869613,0.8516021071336434,60.10523046750891,55.135427154982224,63.22569419287741
primary,1,0.8,5.0,p99dl,HYB-G600,47.60956005454089,0.8352373651484013,0.8148696820660417,0.8486830353137002,59.96640788745175,55.04033630974242,63.14302596325518
primary,1,0.8,5.0,p99dl,SKIP-G600,118.66466371178653,0.008205193858935199,-0.0016764062393447754,0.025990688324213963,0.5851867253502744,-0.13278789057750467,1.762467358948441
primary,1,0.8,5.0,p99dl,FIX-G1200,45.38594195887457,0.861297280063261,0.8419675522968838,0.872934879476611,61.834849959293045,56.72999076387419,65.20712597331779
primary,1,0.8,5.0,p99dl,FIXSEL-G1200,46.71410476222648,0.8456544294437338,0.826818358519354,0.8579424658685579,60.71498809399715,55.84558783150316,63.87650840300379
primary,1,0.8,5.0,p99dl,CAP-G1200,45.23377442136413,0.8630400681509368,0.8430289730627322,0.8753348477495556,61.96078888656839,56.824414280492114,65.39419288619064
primary,1,0.8,5.0,p99dl,HYB-G1200,46.68305092360845,0.8458492984024677,0.8251377560584114,0.8597906132679969,60.733789916027945,55.52231371012567,64.15109635110313
primary,1,0.8,5.0,p99dl,SKIP-G1200,117.45496340714422,0.02253628011908217,0.003864337111400618,0.07391616562924538,1.6101963460656137,0.25780085503621597,4.956863093728744
primary,1,0.8,5.0,p99dl,SPJF-reversed,228.11701122015734,-1.2771684866921569,-1.4058654659487537,-1.1618325843017445,-91.48656671776402,-101.42704667311303,-80.57334625699005
primary,1,0.8,5.0,p99dl,CAP-G600-reversed,232.40964169070162,-1.3281494078772251,-1.4320430852973112,-1.2379210200461235,-95.13995240522726,-101.07819991773702,-87.44385235157172
primary,1,0.8,5.0,p99dl,SPJF-random,78.51716496482531,0.473689335041694,0.410374472694568,0.5423956752778494,34.03898899342043,29.429367407214286,38.02427238915309
primary,1,0.8,5.0,p99dl,CAP-G600-random,88.3913394597177,0.35834714776853416,0.2651587392015798,0.4587394692514717,25.762066406005424,19.494295707944335,31.6111827370579
primary,1,0.8,5.0,p99dl,SPJF-top1short,212.5547506447143,-1.0975114738158291,-1.1959033398934733,-0.9570773378117988,-78.5563239297236,-85.54044976172952,-66.69425081936761
primary,1,0.8,5.0,p99dl,CAP-G600-top1short,222.58320296399364,-1.213586447522235,-1.3108912571381275,-1.0851637720032468,-86.91933990947032,-92.75279424500606,-75.7169555359697
primary,1,0.8,5.0,mean,FCFS,4.160141228293902,0.0,0.0,0.0,0.0,0.0,0.0
primary,1,0.8,5.0,mean,SJF-ref,0.9588075263635462,1.0,1.0,1.0,76.93865922255603,72.19322834011574,79.63190297436188
primary,1,0.8,5.0,mean,SPJF-M4,1.2507146498701185,0.9086714141899822,0.875479868831781,0.9255112993966901,69.91639629300761,63.31713256065243,73.54327270146278
primary,1,0.8,5.0,mean,SPJF-M4refit,1.250915058865387,0.9086058043781644,0.8752539784336645,0.9254190773810764,69.91145084014804,63.300111495815415,73.54238510802722
primary,1,0.8,5.0,mean,SPJF-tweedie,1.2297177248600337,0.9152527093477912,0.8840954979166578,0.9309422742204254,70.42193988895862,63.951246200300396,73.976323510843
primary,1,0.8,5.0,mean,SPJF-tweedie_itr,1.2316754569705757,0.914623305573679,0.8834426585781602,0.9298399106493179,70.37402412208701,63.87609058033479,73.91007524208159
primary,1,0.8,5.0,mean,SPJF-r1s,1.2301993226415122,0.9150962431857778,0.889021618829891,0.9286030652317243,70.41027521614981,64.33861427624646,73.84157863657457
primary,1,0.8,5.0,mean,FIX-G300,2.0547423555257547,0.6577812089229425,0.6257933806154242,0.7113944155738022,50.60753052431576,48.74581738084954,52.56090470258958
primary,1,0.8,5.0,mean,FIXSEL-G300,2.3717221249146108,0.5588079496086948,0.5230574403449966,0.617093255653665,42.99146462543415,41.032691002917716,45.25814782195619
primary,1,0.8,5.0,mean,CAP-G300,2.0734946059013124,0.6518716242634018,0.6201198975480455,0.70421831546635,50.155218772886904,48.229942025732996,52.03570599140058
primary,1,0.8,5.0,mean,HYB-G300,2.0581257225106375,0.6566645018117312,0.6239022518604469,0.7114977654582009,50.523605887466296,48.63316486513464,52.50887180245784
primary,1,0.8,5.0,mean,SKIP-G300,4.011972969036596,0.04634555503331918,0.03847465303390969,0.05921818274589067,3.5640211641165798,3.0502084151948803,4.283379918315275
primary,1,0.8,5.0,mean,FIX-G600,1.5393082931481783,0.8186898915773281,0.8029119628519178,0.8364602232806332,62.99047669983842,58.94947408294641,65.09468495639544
primary,1,0.8,5.0,mean,FIXSEL-G600,1.7797742855826215,0.7436172265209597,0.7232392596606517,0.7786747575262312,57.21262848282779,54.57491194390559,58.68700431249059
primary,1,0.8,5.0,mean,CAP-G600,1.5248476623588139,0.8231340535130267,0.8053442253414886,0.8396054072198641,63.33366990554299,58.99932186872894,65.67848260795505
primary,1,0.8,5.0,mean,HYB-G600,1.5309760919799889,0.8211578805393689,0.8045915342849894,0.8391202104321557,63.182856853715975,59.06444488816808,65.23236710125919
primary,1,0.8,5.0,mean,SKIP-G600,3.84685469378456,0.0979900103904091,0.08259314564786259,0.12282697778353859,7.535676259326207,6.552776352221501,8.892114218411153
primary,1,0.8,5.0,mean,FIX-G1200,1.3870010681745417,0.8661497280574924,0.8452974511091994,0.8802068745347337,66.64359973231171,61.60322299763095,69.46710061334899
primary,1,0.8,5.0,mean,FIXSEL-G1200,1.5030782598954122,0.829968985309476,0.8136456659318655,0.8456322701573931,63.8588968586472,59.602618321384895,66.20700748221692
primary,1,0.8,5.0,mean,CAP-G1200,1.3610418841229774,0.8742721397071167,0.8523799000746897,0.887771367285557,67.2678969390892,62.15789608182609,70.1158971049748
primary,1,0.8,5.0,mean,HYB-G1200,1.4048383738504349,0.8605014623979397,0.8349643686888222,0.8737522181027244,66.21108802702568,60.6640698588736,69.21959060458873
primary,1,0.8,5.0,mean,SKIP-G1200,3.607545561427706,0.17283417783504387,0.14755794061269392,0.21274191193705835,13.291709135524059,11.682876038012699,15.44715655654943
primary,1,0.8,5.0,mean,SPJF-reversed,7.739285044911578,-1.1181931383574306,-1.2352184134765924,-1.0431965157500513,-86.03565590038596,-92.05254264536588,-80.86508355911133
primary,1,0.8,5.0,mean,CAP-G600-reversed,7.055689899534199,-0.9047717615669779,-1.0090017574701033,-0.8412187216508045,-69.60781387546596,-74.25592536470471,-66.02336319232906
primary,1,0.8,5.0,mean,SPJF-random,2.8723608599599166,0.4022734501924563,0.38157429652067004,0.41355974562912523,30.94835948599093,27.965347915349913,32.58817704459524
primary,1,0.8,5.0,mean,CAP-G600-random,3.271916719703705,0.2777344956199347,0.26020947723208937,0.30720775904933084,21.359056775372046,20.242217462130707,22.522079652012387
primary,1,0.8,5.0,mean,SPJF-top1short,6.513800891215416,-0.735291145100198,-0.827622196823471,-0.6754054426499609,-56.57480504561486,-61.69399940138413,-52.372303094116475
