trace,level,rho_target,k,k_by_overlay,policy,score,family,G,B0_by_overlay,eta,gam_by_overlay,Bmax_by_overlay,Ncap_by_overlay,promise_by_overlay,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,lw_ex_mean,lw_ex_p50,lw_ex_p90,lw_ex_p99,lw_ex_max,lw_ratio_p99,lw_ratio_max,qw_fired,used_over_allowed,guar_excess_s
k1,0,0.8,1.0,1,HYB-G300,tweedie,hybrid,300.0,0,0.0,4,240,0,300.0,106.22184315800668,0.6538950710438529,0.5109177094713565,0.7112053171256546,51.99541867224033,42.787287834785225,55.14422694535941,3.4269041300138143,0.6705758577064844,0.622113862855937,0.7151161817774455,59.03140106230976,295.1348539143801,53.90193085372448,1669.1452740579844,-104.93616534765594,-74.06409318745136,18.75545297563076,240.81513333320615,295.1348539143801,2.0577360150291635,4.951792616732567,0.2904770508231414,0.9918786289588528,300.0
k1,0,0.8,1.0,1,SKIP-G300,tweedie,skip,300.0,-1,0.0,0,0,5,300.0,220.31989125370995,0.005424827376605168,-0.0015827105028850285,0.019120686467981794,0.43136304762312605,-0.13095219083283932,1.3977558094604223,6.284088464757614,0.06552517133951628,0.05497048249793212,0.08313542026624164,149.28178191095597,95.08588296175004,81.79821981489658,1424.6450586915016,-6.916499594056831,1.0513830035924911,1.2320929914712906,4.13901299238205,51.736427679657936,1.0426063351596364,1.7307054626856997,0.7317541206251159,0.3169529432058334,300.0
k1,0,0.8,1.0,1,FIX-G600,tweedie,fixed_eq,600.0,540,0.0,0,540,0,600.0,68.31469123423138,0.8693383713895638,0.7835911249962474,0.9064609495470843,69.12670639355915,62.77305580878272,72.34303307658732,2.6920292555566845,0.8261963900527097,0.7764322439211229,0.8651908466233317,45.33048461139203,592.5319321788847,563.3743507415056,1976.0428703129287,-131.9179754630149,-90.20384430885316,-26.72535873949528,526.5055012965134,592.5319321788847,2.3379518078085035,9.44294249064815,0.0225799949124508,0.9875532202981412,600.0
k1,0,0.8,1.0,1,FIXSEL-G600,tweedie,fixed,600.0,245.281,0.0,0,540,0,305.3,82.23483995735666,0.7902239396790591,0.5949517812018575,0.8683604498068281,62.83580716222335,50.486239098478414,67.6957682009021,3.052439406836302,0.7498742547415104,0.6918966733241652,0.8112286164822218,47.83767959445715,303.26530988514423,246.33627796173096,1669.0109780728817,-118.02484708639646,-84.95849180221558,-3.379580810666116,245.91054908931252,303.26530988514423,2.2293083113368666,5.231174534740232,0.0616932216914697,0.9933956361100956,305.28150000000005
k1,0,0.8,1.0,1,CAP-G600,tweedie,capped,600.0,30,0.75,0,540,0,360.0,70.56371267259127,0.8565561765625076,0.7789293912129293,0.897846624272289,68.11031156048301,62.26678801242546,71.33403822722268,2.700261260976861,0.8244531421743397,0.7734963183274336,0.8631436318934742,45.58697158068419,592.5319321788847,165.6877091228962,1976.0428703129287,-131.3493576478937,-90.23663970828056,-25.45102945566181,459.5789064669602,592.5319321788847,2.410996875806442,6.074233111477089,0.0251793763507255,0.9875532202981412,600.0
k1,0,0.8,1.0,1,HYB-G600,tweedie,hybrid,600.0,30,0.0,4,540,0,600.0,90.52388660967362,0.7431135798428544,0.635189110771784,0.8167640810553025,59.08975830522089,52.571507204429324,63.9864339278187,3.044001191961132,0.7516611704962446,0.7032484780484258,0.7897126070695253,50.89857614517216,592.5319321788847,81.79821981489658,1976.0428703129287,-118.3284272702486,-81.05129814147949,3.577640223503112,402.4920961937299,592.5319321788847,2.219652603673401,4.676533188554971,0.034434040741301,0.9875532202981412,600.0
k1,0,0.8,1.0,1,SKIP-G600,tweedie,skip,600.0,-1,0.0,0,0,10,600.0,219.88543237209325,0.00789405153536617,-0.00480094923109402,0.037331022163778683,0.6277070018992067,-0.399519613569508,2.7410256038686405,6.044066256402093,0.116353394126145,0.09744948538144109,0.146841303187306,145.59280786097074,100.85456374287604,83.20460779964924,1425.7211876958609,-13.019624982109825,2.1051809787750244,2.4598529636859894,9.63494013249874,81.05339711904526,1.0966019595223633,2.2238470592056743,0.6699831567433483,0.1680909395714601,600.0
k1,0,0.8,1.0,1,FIX-G1200,tweedie,fixed_eq,1200.0,1140,0.0,0,1140,0,1200.0,63.16188998818413,0.8986240457316035,0.8361299394659959,0.9236083956656116,71.45539943001594,64.80838254152827,75.01416641550605,2.55301811048647,0.8556340387597307,0.8058347168863715,0.8888696502408148,43.86512229055169,1171.6655092574656,656.3649697750807,2153.404219046235,-137.3005965382711,-92.02533620595932,-29.37299265563491,309.72570568740326,1171.6655092574656,2.3747039691376988,17.095812114516132,0.0044311130126834,0.9763879243812214,1200.0
k1,0,0.8,1.0,1,FIXSEL-G1200,tweedie,fixed,1200.0,507.49,0.0,0,1140,0,567.5,68.62968959391118,0.8675480948119574,0.7857521365728959,0.9053753612234033,68.98434994477427,63.02200884072698,72.29839166811662,2.7090818499430966,0.8225852530979212,0.7731727992152639,0.8623021538906288,45.37152794629336,558.9396153390408,509.26738718152046,1932.9627891033888,-131.21311225523837,-89.95884495973587,-24.878740832209587,507.53318002820015,558.9396153390408,2.3291420190219543,9.35941039607224,0.0255562152296765,0.9849329773899818,567.49
k1,0,0.8,1.0,1,CAP-G1200,tweedie,capped,1200.0,90,0.75,0,1140,0,600.0,63.713094302415854,0.8954913050587702,0.8336319605421719,0.920801445791334,71.206294994016,64.58285348317064,74.92588394618187,2.5536502990845205,0.8555001635524111,0.8041651401296169,0.8888910290081703,44.160434050261976,1181.337468624115,366.4079041033983,2153.404219046235,-137.07654958459585,-91.65023511648178,-29.164412581920622,329.3005077588548,1181.337468624115,2.3825509976071606,9.44294249064815,0.0068188234970056,0.9844478905200958,1200.0
k1,0,0.8,1.0,1,HYB-G1200,tweedie,hybrid,1200.0,0,0.0,4,1140,0,1200.0,98.4227999728922,0.698220521996182,0.6320431873142074,0.7421568672068272,55.520021444399234,49.67700607643526,59.533833370496616,3.161249213740581,0.726832182324158,0.684900440772424,0.7602845761203457,56.00293871730568,1165.145350843668,53.90193085372448,2153.404219046235,-115.0372437185564,-77.75105014443398,12.742920783162106,327.29225472986684,1165.145350843668,2.2263302920897647,5.221646883992219,0.2613273838335573,0.9918786289588528,1200.0
k1,0,0.8,1.0,1,SKIP-G1200,tweedie,skip,1200.0,-1,0.0,0,0,20,1200.0,217.42009168982528,0.021905685385685207,-0.007720099477388264,0.08495542891051686,1.7418624690240143,-0.6598516427564389,6.2006759965754945,5.677179298588403,0.1940470882098232,0.16144054707083783,0.24372993539319351,137.10110046237716,166.86699813604355,97.69009627401827,1428.167414680123,-23.52524454465611,4.172681972384453,5.026323974132538,16.166256964206696,166.86699813604355,1.1888605701972503,3.4165562685087534,0.5866319231354848,0.1390558317800363,1200.0
k1,0,0.8,1.0,1,SPJF-reversed,reversed,-,-1.0,-1,-1.0,-1,0,0,inf,415.3743278086197,-1.1031567838972804,-1.3412732791580528,-0.8890797691136261,-87.71911791336092,-110.2830818258082,-69.61861712607502,11.414471649858797,-1.0209087103404932,-1.1324275873537282,-0.9040571882250112,264.90282868891967,2696.187019765377,2487.0641155838966,1724.7092430591583,140.63634378064475,26.83209092915058,471.63554835319513,1739.429709404707,2502.9897765517235,9.210211213660305,31.262645147090037,0.0,,inf
k1,0,0.8,1.0,1,CAP-G600-reversed,reversed,capped,600.0,30,0.75,0,540,0,360.0,383.6358003890515,-0.9227725358499901,-1.1286728955344598,-0.7938767833287835,-73.3756017829769,-93.27819079432633,-62.85489144391703,10.411266211072666,-0.8084652456597128,-0.8763728153454938,-0.7426169938297185,264.24139400303386,596.1245429813862,177.87209701538086,1658.2656231671572,113.01613407341522,36.035970970988274,471.4974825292817,558.1701383590698,596.1245429813862,5.266297238434477,6.528413169810412,0.2629416767646821,0.993540904968977,600.0
k1,0,0.8,1.0,1,SPJF-random,random,-,-1.0,-1,-1.0,-1,0,0,inf,159.7873115634921,0.34945855412885873,0.1879603315924325,0.46780069078218256,27.787705757621776,14.895515313208737,37.40750702057453,5.144068945248264,0.3069410241296808,0.25124304497286376,0.3484364293490241,93.1757490411401,2662.558127716184,1600.2565559446812,2588.7401267439127,-59.98534734140296,-62.0724261701107,101.16223560869692,1000.7068911385498,2488.274588499218,5.678314083202216,40.42973138302935,0.0,,inf
k1,0,0.8,1.0,1,CAP-G600-random,random,capped,600.0,30,0.75,0,540,0,360.0,185.91393430888667,0.20096927056375022,0.04991445463340511,0.3353805482891013,15.980364168421989,3.9427266864257895,26.196196063596968,5.549352884826151,0.22111620602703733,0.17612843995915572,0.27600475839130845,107.45709309875976,596.944664850831,165.84218342602253,1960.5797104537487,-41.12129579204448,-54.83422276377678,169.91823586821533,547.1783583676815,596.944664850831,4.574463345852257,6.640840266889254,0.1022100493706683,0.994907774751385,600.0
k1,0,0.8,1.0,1,SPJF-top1short,top1short,-,-1.0,-1,-1.0,-1,0,0,inf,382.27547162771225,-0.9150411790208767,-1.118102627850068,-0.7406461119933172,-72.76083168753557,-88.54739173262456,-58.36668143467824,9.871801916480257,-0.694225769492741,-0.7435186594012546,-0.638538834925941,227.0893142934164,2660.1560935378075,1669.166851133108,2495.368137244135,97.02413832797284,11.497833132743835,388.2075838327408,1473.2988643372043,2496.809995610267,8.234921756592005,32.55694896576353,0.0,,inf
k1,0,0.8,1.0,1,CAP-G600-top1short,top1short,capped,600.0,30,0.75,0,540,0,360.0,379.5557629871374,-0.8995838582840823,-1.0660273884319358,-0.7788518164247884,-71.53172032265296,-86.37323826360584,-60.537331465841966,9.562698297286882,-0.6287685448127536,-0.6798600267330576,-0.5776202950567545,240.88986050635685,597.0193700045347,177.87209701538086,1956.185886129737,92.4424102352154,19.20949313044548,426.5437650680542,564.9734309911728,597.0193700045347,5.194978011922695,6.38028353762716,0.2348105391431593,0.9950322833408912,600.0
