trace,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi
k1,0,0.8,1.0,p99dl,FIX-G600,68.31469123423138,0.8693383713895638,0.7835911249962474,0.9064609495470843,69.12670639355915,62.77305580878272,72.34303307658732
k1,0,0.8,1.0,p99dl,FIXSEL-G600,82.23483995735666,0.7902239396790591,0.5949517812018575,0.8683604498068281,62.83580716222335,50.486239098478414,67.6957682009021
k1,0,0.8,1.0,p99dl,CAP-G600,70.56371267259127,0.8565561765625076,0.7789293912129293,0.897846624272289,68.11031156048301,62.26678801242546,71.33403822722268
k1,0,0.8,1.0,p99dl,HYB-G600,90.52388660967362,0.7431135798428544,0.635189110771784,0.8167640810553025,59.08975830522089,52.571507204429324,63.9864339278187
k1,0,0.8,1.0,p99dl,SKIP-G600,219.88543237209325,0.00789405153536617,-0.00480094923109402,0.037331022163778683,0.6277070018992067,-0.399519613569508,2.7410256038686405
k1,0,0.8,1.0,p99dl,FIX-G1200,63.16188998818413,0.8986240457316035,0.8361299394659959,0.9236083956656116,71.45539943001594,64.80838254152827,75.01416641550605
k1,0,0.8,1.0,p99dl,FIXSEL-G1200,68.62968959391118,0.8675480948119574,0.7857521365728959,0.9053753612234033,68.98434994477427,63.02200884072698,72.29839166811662
k1,0,0.8,1.0,p99dl,CAP-G1200,63.713094302415854,0.8954913050587702,0.8336319605421719,0.920801445791334,71.206294994016,64.58285348317064,74.92588394618187
k1,0,0.8,1.0,p99dl,HYB-G1200,98.4227999728922,0.698220521996182,0.6320431873142074,0.7421568672068272,55.520021444399234,49.67700607643526,59.533833370496616
k1,0,0.8,1.0,p99dl,SKIP-G1200,217.42009168982528,0.021905685385685207,-0.007720099477388264,0.08495542891051686,1.7418624690240143,-0.6598516427564389,6.2006759965754945
k1,0,0.8,1.0,p99dl,SPJF-reversed,415.3743278086197,-1.1031567838972804,-1.3412732791580528,-0.8890797691136261,-87.71911791336092,-110.2830818258082,-69.61861712607502
k1,0,0.8,1.0,p99dl,CAP-G600-reversed,383.6358003890515,-0.9227725358499901,-1.1286728955344598,-0.7938767833287835,-73.3756017829769,-93.27819079432633,-62.85489144391703
k1,0,0.8,1.0,p99dl,SPJF-random,159.7873115634921,0.34945855412885873,0.1879603315924325,0.46780069078218256,27.787705757621776,14.895515313208737,37.40750702057453
k1,0,0.8,1.0,p99dl,CAP-G600-random,185.91393430888667,0.20096927056375022,0.04991445463340511,0.3353805482891013,15.980364168421989,3.9427266864257895,26.196196063596968
k1,0,0.8,1.0,p99dl,SPJF-top1short,382.27547162771225,-0.9150411790208767,-1.118102627850068,-0.7406461119933172,-72.76083168753557,-88.54739173262456,-58.36668143467824
k1,0,0.8,1.0,p99dl,CAP-G600-top1short,379.5557629871374,-0.8995838582840823,-1.0660273884319358,-0.7788518164247884,-71.53172032265296,-86.37323826360584,-60.537331465841966
k1,0,0.8,1.0,mean,FCFS,6.59351294323696,0.0,0.0,0.0,0.0,0.0,0.0
k1,0,0.8,1.0,mean,SJF-ref,1.8712898318150275,1.0,1.0,1.0,71.61922865815512,66.92382415352102,75.14817642072616
k1,0,0.8,1.0,mean,SPJF-M4,2.520453425980268,0.8625300882978044,0.7977630045962606,0.9037368876867082,61.773739618339185,54.381571206369635,67.64996989853998
k1,0,0.8,1.0,mean,SPJF-M4refit,2.522364259937197,0.8621254411831207,0.7969947570990772,0.903509368974647,61.74475910410679,54.342065502543534,67.63237841628258
k1,0,0.8,1.0,mean,SPJF-tweedie,2.444924789040828,0.8785243848732359,0.8184080663445181,0.9173169180551553,62.91923880200137,55.780589141215664,68.58693017167202
k1,0,0.8,1.0,mean,SPJF-tweedie_itr,2.449687087481216,0.8775158983345824,0.815542830543142,0.9171529812496862,62.847011773990864,55.64502245189219,68.60277043720468
