policy,family,worst_gap,worst_harm,worst_promise,mean_gap,n_cells,max_used,lw_ex_p99,lw_ex_max,lw_ratio_max,B0_base,eta,gam_base
CAPG-G300-B120-e0.95,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,120.0,0.95,0.0
CAPG-G600-B120-e0.95,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,120.0,0.95,0.0
CAPG-G1200-B240-e0,capped,0.10057996290062055,122.56411573290823,225.0,0.4155479240399031,15,0.7343255106182326,78.1117945870757,154.20835722982883,3.0631401291836937,240.0,0.0,0.0
CAPG-G300-B240-e0,capped,0.10057996290062055,122.56411573290823,225.0,0.4155479240399031,15,0.7343255106182326,78.1117945870757,154.20835722982883,3.0631401291836937,240.0,0.0,0.0
CAPG-G600-B240-e0,capped,0.10057996290062055,122.56411573290823,225.0,0.4155479240399031,15,0.7343255106182326,78.1117945870757,154.20835722982883,3.0631401291836937,240.0,0.0,0.0
CAPG-G1200-B240-e0.25,capped,0.4751627702876003,151.3117827028036,300.0,0.6498839819186111,15,0.7991589292034333,292.3990491423009,622.7128377705812,3.819321562374977,240.0,0.25,0.0
CAPG-G300-B240-e0.25,capped,0.38622597177134627,151.3117827028036,300.0,0.609632776774524,15,0.72909593090415,154.55290915071964,218.728779271245,3.819321562374977,240.0,0.25,0.0
CAPG-G600-B240-e0.25,capped,0.47481748587619665,151.3117827028036,300.0,0.6496175510874014,15,0.8490988240142663,298.1257327103613,509.4592944085598,3.819321562374977,240.0,0.25,0.0
CAPG-G1200-B240-e0.5,capped,0.7184437793921501,216.8147185742855,450.0,0.7599452532619776,15,0.9159269016981124,318.2740229651335,1099.112282037735,5.500261370981047,240.0,0.5,0.0
CAPG-G300-B240-e0.5,capped,0.3766958423839202,212.0439104884863,300.0,0.6247848714901479,15,0.7880653869112333,159.19464756667614,236.41961607337,4.705043241100704,240.0,0.5,0.0
