trace,level,rho_target,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,0.8,p99dl,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.14848928356510852,-0.18499874066529853,-0.10371246947636949,True,SPJF-random better
k1,0,0.8,p99dl,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-11.807341589199787,-15.046653229534622,-7.761624322205543,True,SPJF-random better
k1,0,0.8,p99dl,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,0.0154573207367944,-0.08035786644861335,0.09826148845286778,False,unresolved
k1,0,0.8,p99dl,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,1.2291113648826126,-6.523158448392598,7.597039032047547,False,unresolved
k1,0,0.8,mean,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,0.0159942965754315,0.011039404327404126,0.022252242038658006,True,SPJF-tweedie better
k1,0,0.8,mean,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs log M4,1.1454991836621815,0.8023490536350405,1.5327855035982632,True,SPJF-tweedie better
k1,0,0.8,mean,gain,SPJF-M4refit - SPJF-M4,refit-noise control,-0.0004046471146836872,-0.0012625544018101454,0.00018760505061115863,False,unresolved
k1,0,0.8,mean,red_pct,SPJF-M4refit - SPJF-M4,refit-noise control,-0.028980514232394228,-0.08862534792432353,0.013368743220840605,False,unresolved
k1,0,0.8,mean,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.004835353687545174,-0.0033973748638361583,0.01628481685944574,False,unresolved
k1,0,0.8,mean,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.34630430139134916,-0.250920452230239,1.10598453546821,False,unresolved
k1,0,0.8,mean,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s",0.12772096473670957,0.08680410561637537,0.15882353196743035,True,CAP-G300 better
k1,0,0.8,mean,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the selected fixed budget, equal grids, G = 300 s",9.147276977918565,5.888697192537541,11.837417424758595,True,CAP-G300 better
k1,0,0.8,mean,gain,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s",-0.021685624533950953,-0.030598923674500286,-0.014204501815130634,True,FIX-G300 better
k1,0,0.8,mean,red_pct,CAP-G300 - FIX-G300,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 300 s",-1.5531077020919284,-2.141930856758063,-1.0194829163848211,True,FIX-G300 better
k1,0,0.8,mean,gain,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s",-0.05365717097630973,-0.07639268507683751,-0.03665798436141196,True,CAP-G300 better
k1,0,0.8,mean,red_pct,HYB-G300 - CAP-G300,"hybrid (queue-length term) vs capped, G = 300 s",-3.84288519730206,-5.267730659438835,-2.6665466656826853,True,CAP-G300 better
k1,0,0.8,mean,gain,HYB-G300 - FIXSEL-G300,"hybrid vs the selected fixed budget, G = 300 s",0.07406379376039984,0.011326259334169406,0.11917693043137423,True,HYB-G300 better
k1,0,0.8,mean,red_pct,HYB-G300 - FIXSEL-G300,"hybrid vs the selected fixed budget, G = 300 s",5.3043917806165055,0.7583224388775746,8.837961622668438,True,HYB-G300 better
k1,0,0.8,mean,gain,FIXSEL-G300 - FIX-G300,"selected fixed budget vs B0 = Bmax, G = 300 s",-0.14940658927066053,-0.1772853769451662,-0.10908517164988234,True,FIX-G300 better
k1,0,0.8,mean,red_pct,FIXSEL-G300 - FIX-G300,"selected fixed budget vs B0 = Bmax, G = 300 s",-10.700384680010494,-13.215102306274098,-7.361247850446324,True,FIX-G300 better
k1,0,0.8,mean,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.15429135619044176,-0.19688429627241716,-0.09616778370610733,True,SPJF-tweedie better
k1,0,0.8,mean,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-11.050227918980106,-14.620234478041942,-6.4349533270512635,True,SPJF-tweedie better
k1,0,0.8,mean,gain,CAP-G300 - SKIP-G300,"capped relative vs finite skip, G = 300 s",0.6587078573432779,0.6034706975818981,0.7135726541026408,True,CAP-G300 better
k1,0,0.8,mean,red_pct,CAP-G300 - SKIP-G300,"capped relative vs finite skip, G = 300 s",47.17614865399165,41.97706682033599,51.438218137929255,True,CAP-G300 better
k1,0,0.8,mean,gain,CAP-G600 - FIXSEL-G600,"capped relative vs the selected fixed budget, equal grids, G = 600 s",0.07457888743282937,0.04589170361849191,0.09553100051308272,True,CAP-G600 better
k1,0,0.8,mean,red_pct,CAP-G600 - FIXSEL-G600,"capped relative vs the selected fixed budget, equal grids, G = 600 s",5.341282392122615,3.1066276807728834,7.085829221915082,True,CAP-G600 better
k1,0,0.8,mean,gain,CAP-G600 - FIX-G600,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 600 s",-0.0017432478783699912,-0.005741545123127115,0.0022245870487332614,False,unresolved
k1,0,0.8,mean,red_pct,CAP-G600 - FIX-G600,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 600 s",-0.12485006840883273,-0.4016462240076608,0.16062933188684314,False,unresolved
k1,0,0.8,mean,gain,HYB-G600 - CAP-G600,"hybrid (queue-length term) vs capped, G = 600 s",-0.07279197167809515,-0.08957943422774867,-0.05912387091403506,True,CAP-G600 better
k1,0,0.8,mean,red_pct,HYB-G600 - CAP-G600,"hybrid (queue-length term) vs capped, G = 600 s",-5.213304864091441,-6.377794389350805,-4.197845256190814,True,CAP-G600 better
k1,0,0.8,mean,gain,HYB-G600 - FIXSEL-G600,"hybrid vs the selected fixed budget, G = 600 s",0.0017869157547342196,-0.03418000204204123,0.029547626665179183,False,unresolved
k1,0,0.8,mean,red_pct,HYB-G600 - FIXSEL-G600,"hybrid vs the selected fixed budget, G = 600 s",0.1279775280311739,-2.34058347704682,2.203176371159026,False,unresolved
k1,0,0.8,mean,gain,FIXSEL-G600 - FIX-G600,"selected fixed budget vs B0 = Bmax, G = 600 s",-0.07632213531119936,-0.09578904521164903,-0.04927983375336713,True,FIX-G600 better
k1,0,0.8,mean,red_pct,FIXSEL-G600 - FIX-G600,"selected fixed budget vs B0 = Bmax, G = 600 s",-5.466132460531448,-7.1232410742354455,-3.328547828139898,True,FIX-G600 better
k1,0,0.8,mean,gain,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-0.05407124269889618,-0.07499021590310004,-0.024981382972454853,True,SPJF-tweedie better
k1,0,0.8,mean,red_pct,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-3.8725406946828542,-5.607628901734795,-1.7030246198203998,True,SPJF-tweedie better
k1,0,0.8,mean,gain,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s",0.7080997480481948,0.658468389350383,0.7424117479919035,True,CAP-G600 better
k1,0,0.8,mean,red_pct,CAP-G600 - SKIP-G600,"capped relative vs finite skip, G = 600 s",50.71355776824569,44.86046646896358,55.4613706692083,True,CAP-G600 better
