trace,rep,level,rho_target,k,rho_busy,n_jobs,pset,policy,score,family,G,B0,eta,gam,Bmax,Ncap,promise,w_mean,w_p95,w_p99,w_max,w_mean_dl,w_p95_dl,w_p99_dl,w_mean_exam,w_p99_exam,mean_heavy,p95_heavy,p99_heavy,max_heavy,max_excess,mean_excess,p99_excess,harm_wf1s,max_excess_dl,lw_n,lw_ex_mean,lw_ex_p50,lw_ex_p90,lw_ex_p99,lw_ex_max,lw_ratio_p99,lw_ratio_max,bound_viol,used_over_allowed,guar_excess_max,forced_frac,qw_forced_frac,n_forced,n_disp,sim_sec,shared_with,cell,gap,red_pct,harm
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B240-e0.9,tweedie,capped,1200.0,240.0,0.9,0.0,4200.0,0,1200.0,2.741880807730501,11.166136291623117,45.79236363828197,2188.7330440580845,5.5639619075959,23.06047116219997,83.77970609694712,4.719627412614531,68.29892803907394,46.54246037604872,221.53671991080049,729.8073917075992,2188.7330440580845,1102.3376247286797,-5.665481850824773,4.863366456627924,637.8302886635065,1102.3376247286797,624936.0,-137.32531111586326,-91.79721686244012,-33.896516755223274,257.2930189669135,1102.3376247286797,2.324280777366984,18.95275951327729,0,0.9186146872738996,1200.0,5.185274387436335e-05,0.0029567608538139,915,17646125,8.1,CAPG-G1200-B240-e0.9,r0L2,0.8144095456901446,66.29626166982742,637.8302886635065
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B240-e0.95,tweedie,capped,1200.0,240.0,0.95,0.0,4200.0,0,1200.0,2.741839146066708,11.16603812277316,45.7965341591835,2188.7330440580845,5.564105893016227,23.056878983974364,83.80817049175431,4.719409358493633,68.29892803907394,46.538988063155855,221.1121874079108,728.5181655235597,2188.7330440580845,1102.3376247286797,-5.665523512488566,4.862878765463844,678.5046634078026,1102.3376247286797,624936.0,-137.34342804053463,-91.81303229928017,-33.90073608607054,256.5145793477084,1102.3376247286797,2.324398204811417,18.95275951327729,0,0.9186146872738996,1200.0,4.765918863206511e-05,0.0027669525164074,841,17646125,8.2,CAPG-G1200-B240-e0.95,r0L2,0.8142688777876317,66.2848107283166,678.5046634078026
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B360-e0.25,tweedie,capped,1200.0,360.0,0.25,0.0,4200.0,0,320.0,3.50004253231005,12.099171388149236,54.86054600596438,1690.361952856183,7.026499484814096,26.09273737967014,139.98428474687032,7.394938759439954,129.8947580456736,48.987790429842754,253.42750612273807,750.5814024560166,1690.361952856183,568.5510939210653,-4.907320126245224,6.326060972810076,163.38950103521347,548.2998239845037,624936.0,-115.32811472901622,-82.822200961411,-4.139045149087906,301.48702519163675,568.5510939210653,2.2539870028989686,4.058335193574696,0,0.8193123186203704,700.4244839201372,0.0014369160368069,0.0597619070787834,25356,17646125,8.8,CAPG-G1200-B360-e0.25,r0L2,0.5366527114466592,43.68572148026658,163.38950103521347
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B360-e0.5,tweedie,capped,1200.0,360.0,0.5,0.0,4200.0,0,480.0,2.800891753616807,11.451588097214662,47.64652003943975,2188.759415596724,5.8029055115486665,23.965824136137957,94.15591349422932,4.782372274868052,74.5987131595612,49.67125164913173,257.42946399748325,779.5086805716176,2188.759415596724,1079.381111562252,-5.606470904938467,5.0162683659794585,223.6005428135395,1078.4921574145555,624936.0,-135.19421095655002,-90.44767597317696,-31.43399539589882,294.62813052535057,1079.381111562252,2.5185300351895386,6.061235068948167,0,0.8994842596352101,1200.0,0.0003888105745595,0.01577300555636,6861,17646125,9.1,CAPG-G1200-B360-e0.5,r0L2,0.7631314721354222,62.12201715083948,223.6005428135395
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B360-e0.75,tweedie,capped,1200.0,360.0,0.75,0.0,4200.0,0,960.0,2.7214798844538417,11.214089626073743,45.998489344120216,2188.681551143527,5.557655176176573,23.224299331009284,84.55277070492505,4.607187423321681,69.38186310887339,47.40807291960995,227.5234959460795,729.8139391496782,2188.681551143527,1104.8720033466816,-5.685882774101433,4.932251006364822,429.8685595542193,1102.31253837049,624936.0,-137.7146362804316,-91.11893909424543,-32.646602518856525,258.2173976831144,1104.8720033466816,2.377853318785186,11.10225361750997,0,0.920726669455568,1200.0,0.0001124326162259,0.0058081112482588,1984,17646125,9.5,CAPG-G1200-B360-e0.75,r0L2,0.8105891455851092,65.98526550532121,429.8685595542193
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B360-e0.9,tweedie,capped,1200.0,360.0,0.9,0.0,4200.0,0,1200.0,2.741839146066708,11.16603812277316,45.7965341591835,2188.7330440580845,5.564105893016227,23.056878983974364,83.80817049175431,4.719409358493633,68.29892803907394,46.538988063155855,221.1121874079108,728.5181655235597,2188.7330440580845,1102.3376247286797,-5.665523512488566,4.862878765463844,678.5046634078026,1102.3376247286797,624936.0,-137.34342804053463,-91.81303229928017,-33.90073608607054,256.5145793477084,1102.3376247286797,2.324398204811417,18.95275951327729,0,0.9186146872738996,1200.0,4.765918863206511e-05,0.0027669525164074,841,17646125,9.3,CAPG-G1200-B360-e0.9,r0L2,0.8142688777876317,66.2848107283166,678.5046634078026
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B360-e0.95,tweedie,capped,1200.0,360.0,0.95,0.0,4200.0,0,1200.0,2.741839146066708,11.16603812277316,45.7965341591835,2188.7330440580845,5.564105893016227,23.056878983974364,83.80817049175431,4.719409358493633,68.29892803907394,46.538988063155855,221.1121874079108,728.5181655235597,2188.7330440580845,1102.3376247286797,-5.665523512488566,4.862878765463844,678.5046634078026,1102.3376247286797,624936.0,-137.34342804053463,-91.81303229928017,-33.90073608607054,256.5145793477084,1102.3376247286797,2.324398204811417,18.95275951327729,0,0.9186146872738996,1200.0,4.765918863206511e-05,0.0027669525164074,841,17646125,8.8,CAPG-G1200-B360-e0.95,r0L2,0.8142688777876317,66.2848107283166,678.5046634078026
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B480-e0.25,tweedie,capped,1200.0,480.0,0.25,0.0,4200.0,0,360.0,3.32845848450056,11.910479387640953,52.0015147328382,1718.5630952864883,6.7464759814820905,25.33548255264757,124.6374127021424,6.907688110445,113.08527740836148,49.32463135373389,265.6317833401263,744.7060498923078,1718.5630952864883,596.7522363513708,-5.078904174054714,5.882636951804278,199.31969310343263,576.6649142205715,624936.0,-120.32480632856895,-85.50229810923338,-13.927250742912292,319.41541867256177,596.7522363513708,2.361221485045983,4.993317111266896,0,0.8293537753299032,740.4244839201372,0.0010637462899078,0.0477547086662012,18771,17646125,8.5,CAPG-G1200-B480-e0.25,r0L2,0.6124952619483574,49.859614701897236,199.31969310343263
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B480-e0.5,tweedie,capped,1200.0,480.0,0.5,0.0,4200.0,0,540.0,2.7518416630014544,11.374050998687732,46.80470250189311,2188.633902847767,5.702107829319579,23.71816091239444,90.20519353479142,4.616817852534631,70.31653861165049,49.24964554720727,253.02588710561395,751.5145745083713,2188.633902847767,1079.367577046156,-5.65552099555382,4.947608961463002,274.1019988656044,1078.4963759928942,624936.0,-136.72753844451108,-91.3333502933383,-32.69044026732445,307.2580353118485,1079.367577046156,2.5107876454753213,6.968767670317486,0,0.8994729808717966,1200.0,0.000281364888892,0.0131471671258353,4965,17646125,8.7,CAPG-G1200-B480-e0.5,r0L2,0.7826554948267216,63.71135230050691,274.1019988656044
valid,0,2,1.0,4,0.9181579021726632,17646125,grid,CAPG-G1200-B480-e0.75,tweedie,capped,1200.0,480.0,0.75,0.0,4200.0,0,1080.0,2.6870373384616717,11.19026633799075,45.7169634550811,2188.6812087893486,5.508210240481816,23.163221469521496,83.22758023351413,4.518082464912648,68.32555251955986,47.19525815387206,225.0846249386668,743.2652953438469,2188.6812087893486,1101.6902618408203,-5.720325320093603,4.836049035191536,542.7309714108706,1095.7796779423952,624936.0,-138.79086677373795,-91.87507634609938,-34.183283910155296,247.8872993126513,1101.6902618408203,2.346170985413688,13.394588441278408,0,0.9180752182006836,1200.0,8.523117681643986e-05,0.0044707838156703,1504,17646125,8.6,CAPG-G1200-B480-e0.75,r0L2,0.8171380908659086,66.51837638582954,542.7309714108706
