trace,rep,level,k,rho_busy,G,guard,policy,B0,B0_base,eta,Bmax,gap,red_pct,harm,feasible_level,w_p99_dl,w_mean,max_excess,max_heavy,qw_forced_frac,used_over_allowed,guar_excess_max,bound_viol
valid,0,2,4,0.9181579021726632,300.0,fix,FIX-G300,600.0,,0.0,600.0,0.36931054647286055,30.06338611324065,186.1174862384796,False,173.84626297086385,4.060819577339236,218.56833763420585,1287.1661649644377,0.1382211920019628,0.7285611254473527,300.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B30-e0,52.5,30.0,0.0,3060.0,0.27684630603884947,15.537962941134563,71.31791223585606,True,39.53695888131829,0.8368469500573198,76.04159547388554,499.822431370616,0.2430153208470798,0.4463657595951352,170.3571428571429,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B30-e0,37.5,30.0,0.0,2220.0,0.0818522597683041,5.8306749796624455,65.85234040021896,True,123.01069426625966,2.969117376875142,67.43345291912556,847.857358366251,0.4682644663825728,0.4124370209120829,163.5,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B30-e0,30.0,30.0,0.0,1800.0,-0.005135088501283629,-0.41801716689154106,53.237855941057205,True,249.61598866760727,6.994615900457355,68.35475867986679,1144.7237883508203,0.6404031310464088,0.433998467808678,157.5,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B30-e0.25,52.5,30.0,0.25,3060.0,0.566650362247916,31.80317792628614,93.02471324801444,True,31.923157954215974,0.6400932996280551,217.491363465786,709.541734918952,0.0784653971792988,0.5560762157769851,393.4942089205697,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B30-e0.25,37.5,30.0,0.25,2220.0,0.5259014667703673,37.462136448591465,89.89910639822483,True,81.69142140209644,1.9797557161029995,300.56309063732624,1132.053845286369,0.1169503714132913,0.6446338914776925,498.9263871759176,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B30-e0.25,30.0,30.0,0.25,1800.0,0.32101459860804804,26.131898799293882,74.92306622862816,True,183.6190320464968,4.232711834133164,403.8381333053112,1524.7061533629894,0.1817925459445351,0.7286505662813104,590.4244839201372,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B30-e0.5,52.5,30.0,0.5,3060.0,0.682357784869704,38.29724198094341,93.38233608007432,True,28.88326509296889,0.5661420094591876,485.40281999111176,933.3489260524512,0.0345783493781522,0.8090046999851862,600.0,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B30-e0.5,37.5,30.0,0.5,2220.0,0.7355587664509486,52.396892984470604,93.85171066224576,True,62.18257635325181,1.682696409821102,493.893125012517,1307.6565347909927,0.0525579478127074,0.823155208354195,600.0,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B30-e0.5,30.0,30.0,0.5,1800.0,0.5858349670660549,47.68935786359594,102.76180040836334,True,130.03216975510108,3.4203098102102727,528.5551031082869,1628.7427498996258,0.0683321175100418,0.8809251718471448,600.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B30-e0.75,52.5,30.0,0.75,3060.0,0.7487987837517258,42.026234407000736,113.65981650352478,True,27.13771140575409,0.5390691617054078,492.8987659662962,794.2474305480719,0.0102593617579441,0.8214979432771603,600.0,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B30-e0.75,37.5,30.0,0.75,2220.0,0.8205735181528923,58.45284534368314,109.25693210959436,True,54.27185910016286,1.5814526456452045,489.3754858970642,1295.8750994503498,0.0190426637927634,0.8156258098284404,600.0,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B30-e0.75,30.0,30.0,0.75,1800.0,0.7213921070367028,58.724262439882324,152.54721115529537,True,102.6019466400145,3.132956208261593,514.0800371617079,1628.0697886049747,0.0339841866699323,0.8568000619361797,600.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B30-e0.9,52.5,30.0,0.9,3060.0,0.7576709524416563,42.52418372149254,154.97584319114685,True,26.904619684815344,0.535363154377351,486.685881331563,788.9392192214727,0.0034351910131821,0.811143135552605,600.0,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B30-e0.9,37.5,30.0,0.9,2220.0,0.8364275467978426,59.58219337156445,142.10291789472103,True,52.7966240918636,1.580912738445058,487.708880841732,1296.1343062371016,0.0096687044661025,0.8128481347362201,600.0,0
