rep0_W,rep1_W,rep2_W,rep3_W,rep4_W,copies
5076.528356581926,4816.1046029720455,5369.200694769621,4915.6130541116,5858.281239122152,65
5105.341781534255,4874.197097921744,5369.200694769621,4915.6130541116,5910.4383239895105,66
5292.45600669831,5009.29395606555,5398.34492662549,4915.6130541116,5918.508282974362,67
5381.279917337,5147.1552872452885,5398.34492662549,4915.6130541116,5976.965803198516,68
5383.209378324449,5330.278953993693,5616.61958488822,5017.541909769177,6130.018076322973,69
5409.914394311607,5376.22912604548,5676.168443918228,5018.651781767607,6138.948080249131,70
5623.09940008074,5510.904762187973,5768.095845043659,5178.968398509547,6140.920196257532,71
5653.5197809413075,5541.010165957734,5770.255875021219,5227.968626797199,6141.847040228546,72
5839.415897108614,5724.441886706278,5999.290888220072,5329.897482454777,6150.324463136494,73
5941.9919417575,5909.1102504413575,6208.607733249664,5507.840352369472,6157.332468055189,74
6063.638965584338,5967.768101476133,6228.325901418924,5570.908305384219,6534.486484542489,75
6123.187824614346,6026.860265510157,6228.325901418924,5664.124037601054,6929.246927276254,76
6152.9792454615235,6066.468642206863,6248.044069588184,5723.025263639167,6938.14822627604,77
6212.710719488561,6125.4346041549,6248.044069588184,5754.564326426014,6938.14822627604,78
6425.895725257695,6164.685100855306,6350.62011423707,5850.371778612956,6939.061815276742,79
6456.386734105647,6225.4648578725755,6476.967371374369,5859.276989614591,6953.111235246062,80
6483.798868089914,6286.766725918278,6507.038447201252,5917.369484564289,6970.454927250743,81
6493.1611710339785,6469.69461367093,6507.038447201252,5963.563031619415,7018.6518342942,82
6519.866187021136,6506.93118535541,6536.182679057121,5971.7034305837005,7026.721793279052,83
6547.498046979308,6641.606821497902,6536.182679057121,5973.634844562039,7040.58679625392,84
6756.814892008901,6647.392573496327,6565.974099904299,5973.634844562039,7040.58679625392,85
6785.573802985251,6762.378323858604,6566.900943875313,6051.658818945289,7436.36766397953,86
6786.791911982,6799.614895543084,6569.689933866262,6051.658818945289,7440.319219946861,87
6795.721915908158,6808.026046505198,6591.847786992788,6331.2519966214895,7448.389178931713,88
7005.22137593478,6990.74379225634,6801.164632022381,6348.59568862617,7841.397119671106,89
7007.38140591234,7019.911050030962,6903.093487679958,6397.181394666433,7855.262122645974,90
7096.435232557356,7083.691606078297,6903.093487679958,6401.365886628628,7873.293286666274,91
7097.082421548665,7220.298656199127,7112.410332709551,6447.262147694826,7873.293286666274,92
7124.494555532932,7405.990570995957,7112.410332709551,6449.504119709134,7925.450371533632,93
7144.212723702192,7520.732500363141,7192.825175831094,6556.881814191118,7933.520330518484,94
7173.356955558062,7728.933982942253,7195.780140871182,6691.55745033361,7963.074563801289,95
7276.120198205113,7787.822563974187,7323.240018725395,6750.405793372542,7963.074563801289,96
7486.713192239404,7793.417823968455,7478.731507718563,6780.1978561505675,7965.041235804558,97
7516.0873401016,7909.98318634741,7688.048352748156,6949.269115693867,7965.497348815203,98
7537.595009282231,7959.322636438534,7717.192584604025,6957.10903070122,8014.166536867619,99
7623.785568922758,8082.335718424991,7718.468733608723,7142.194325424731,8025.157162368298,100
7623.972766920924,8128.529265480116,7718.468733608723,7200.286820374429,8121.593889474869,101
7626.761756911874,8243.080702843145,7718.468733608723,7200.286820374429,8125.553163513541,102
7718.689158037305,8303.752478893846,7873.960222601891,7258.813628323376,8185.313583537936,103
7725.173008963466,8361.844973843545,7874.197127595544,7393.923577465117,8193.01096045971,104
7934.489853993058,8527.961268346757,7933.745986625552,7511.429979868233,8193.01096045971,105
7937.123204991221,8528.151760350913,7933.745986625552,7559.394076935947,8252.742434486747,106
8023.313764631748,8588.17566927895,7977.694037020206,7632.294639222324,8312.765740513802,107
8241.588422894478,8594.662494268268,8055.629915446043,7770.07905536145,8320.463117435575,108
8249.340089812875,8623.82975204289,8141.82047508657,7814.3091001957655,8413.849282562733,109
8337.79459746182,8808.33725181222,8243.749330744147,7906.236501321197,8442.537565551698,110
8439.96035811305,8846.008136495948,8358.287836037576,7935.380733177066,8444.32706656307,111
8440.434805110097,8961.497719854116,8365.654169939458,8146.734294176102,8449.396212600172,112
8440.622003108263,8991.485561627895,8576.864868961275,8253.290210977197,8767.369925409555,113
8501.2807341367,9173.979136381298,8664.643350593746,8379.637468114495,8818.69100227952,114
8501.2807341367,9356.472711134702,8695.120779432356,8458.904495313764,9212.612532019615,115
8587.471293777227,9407.806436244398,8723.72359581478,8668.221340343356,9258.964906096458,116
8680.045883893967,9590.300010997802,8796.624158101156,8795.215786471963,9298.800522103906,117
8687.797550812364,9595.84868999198,8802.219418095425,8916.8628102988,9336.41637814045,118
8707.515718981624,9634.182899672538,8842.872823776677,8918.375651285052,9388.404605001211,119
8917.062480017543,9769.79668181017,8900.965318726376,8977.92451031506,9396.913350999355,120
9003.435654655099,9775.34536080435,8947.349803777412,9133.415999308228,9411.876359969378,121
9016.343402944505,9807.215477578342,8983.678961001337,9134.692148312926,9440.352642253041,122
9062.984513685107,9865.30797252804,9193.613511018455,9154.410316482186,9441.266231253743,123
9227.355703957379,9979.859409891069,9193.98332401365,9363.964066505432,9442.573911249638,124
9351.266675792634,10017.095981575549,9287.932820653543,9573.517816528678,9491.958069130778,125
9560.583520822227,10156.294751666486,9514.834026925266,9573.517816528678,9496.284852102399,126
9771.010237850249,10273.324877031147,9605.589308552444,9675.446672186255,9542.36553016305,127
9799.34921580553,10280.804970003664,9618.354800455272,9695.164840355515,9542.36553016305,128
9800.862056791782,10288.72545401007,9618.566361449659,9781.355399996042,9683.988806456327,129
10029.897069990635,10473.150442741811,9638.284529618919,9801.073568165302,9837.748197577894,130
10029.897069990635,10502.56107551977,9731.659211210907,9801.073568165302,9923.93875721842,131
10029.897069990635,10633.013379421085,9843.304780505598,9801.073568165302,10134.473711244762,132
10089.445929020643,10815.737684171647,9844.580929510295,9801.073568165302,10162.812689200044,133
10191.37478467822,10827.520536210388,9850.103268541396,9830.217800021172,10316.339409321547,134
10277.752542316914,10878.076353248209,9854.299447573721,9830.217800021172,10378.953918367624,135
10305.164676301181,11060.80065799877,10021.582291781902,9917.055548653007,10379.183834373951,136
10307.798027299345,11243.537607755512,10152.775557242334,9917.055548653007,10481.482503026724,137
10395.0984589383,11316.438170041889,10204.196935201064,10009.909793749452,10485.441777065396,138
10395.0984589383,11355.688666742295,10250.147107252851,10040.16389760375,10485.653338059783,139
10487.208475060761,11385.486016511917,10432.83117401041,10100.639600604773,10515.9103840366,140
10489.648160018027,11448.089206540957,10440.798239016905,10100.639600604773,10620.738612703979,141
