trace,level,rho_target,k,policy,score,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,mean_red_pct,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,qw_fired,used_over_allowed,guar_excess_s
primary,2,1.0,4.0,SPJF-tweedie,tweedie,-1.0,-1.0,-1.0,0.0,-1,62.91111044079092,0.9158820766619472,0.8914889377169091,0.9289090378319036,76.95108113155956,71.57005802664963,80.19265064648253,2.2915314740908803,0.9303628356882605,0.9092259879484084,0.9414396681518162,77.66426515147289,41.76192058455947,5904.51739089191,708.7601395994425,6286.24048127234,0.0,,inf
primary,2,1.0,4.0,SPJF-tweedie_itr,tweedie_itr,-1.0,-1.0,-1.0,0.0,-1,63.22927640244393,0.9145229256341055,0.8908982524145495,0.9276707019452808,76.83655034924968,71.46384423213884,80.08452739001123,2.298314796447146,0.9295790072583621,0.9082478496014368,0.9406341680236021,77.59880216623641,41.84447340258957,5448.904153198004,529.008466809988,6085.5346099585295,0.0,,inf
primary,2,1.0,4.0,SPJF-r1s,r1s,-1.0,-1.0,-1.0,0.0,-1,62.71025308579233,0.9168000398511712,0.8951782193216173,0.9292787904009505,77.02786679129332,71.65050446458433,80.29462838811934,2.3020315789675223,0.9291346711320468,0.9103560511583614,0.9394393612766216,77.56177485556908,41.6788375695348,5368.155714482069,879.156493678689,5964.365454789251,0.0,,inf
primary,2,1.0,4.0,FIX-G300,tweedie,300.0,600.0,0.0,600.0,0,170.13809084102613,0.44955170041597936,0.3630342944093435,0.6180462739350476,37.77002376355664,30.90303972056977,49.92256535482389,5.529451193507176,0.5533841575481676,0.5143476713628085,0.6098256611509066,46.18540745911094,70.12253229946649,227.89462268352509,208.1596387326717,1692.8863932043314,0.2840774021780871,0.7596487422784169,300.0
primary,2,1.0,4.0,CAP-G300,tweedie,300.0,30.0,0.5,600.0,0,166.01973387077592,0.46697264420383905,0.37343485926337705,0.5927786304002455,39.240216393360996,32.03198157356114,47.74384715200354,5.616256288902748,0.5433223117064558,0.506537105894782,0.5968683396555378,45.344273600995784,75.06649083670983,229.2769369930029,113.75318935513496,1692.8690167367458,0.29264182054743826,0.764256456643343,300.0
primary,2,1.0,4.0,SKIP-G300,tweedie,300.0,-1.0,0.0,0.0,10,273.2246805670869,0.0011187332235299895,-0.0011118233402881645,0.002437998676206882,0.09488031580909309,-0.09355635935977845,0.20365145106445384,10.082763941278444,0.02188301703872383,0.0180094417222003,0.028498933080867674,1.8260438759777688,229.80601434832823,74.56203565001488,57.34672077000141,1543.5149176865816,0.910358465473613,0.2485401188333829,300.0
primary,2,1.0,4.0,FIX-G600,tweedie,600.0,1800.0,0.0,1800.0,0,86.6444722193485,0.8126279170581556,0.776532539845367,0.8508566077358098,68.27633250098472,64.7080032359756,70.62565015956359,3.8666299991375084,0.7470397729719047,0.7229413777818141,0.7848309880975252,62.354560644783476,49.91644634601475,523.50289298594,520.4699785411358,1992.94093439728,0.07202689551883777,0.8725048216432333,600.0
primary,2,1.0,4.0,CAP-G600,tweedie,600.0,30.0,0.9,1800.0,0,87.74067853640805,0.8078343776371189,0.7719033194916181,0.8483138353808275,67.87410108958689,64.29332347149125,70.35692127016394,3.8480018935123494,0.7491550472414316,0.7269219772620227,0.786092130169181,62.53217305910299,50.02160829567914,523.50289298594,520.4699785411358,1992.7701534479856,0.07219738415884298,0.8725048216432333,600.0
primary,2,1.0,4.0,SKIP-G600,tweedie,600.0,-1.0,0.0,0.0,30,272.9089176884307,0.002477294411641965,-0.0032944624647545445,0.005947205141921614,0.209037701358279,-0.2748200354282549,0.4920060354732313,9.809060180365265,0.05386948594521288,0.04497472011839551,0.06889371723392196,4.495147880756415,228.10831342570495,112.4095836430788,82.34386280179024,1544.64843980968,0.8666234650117642,0.187349306071798,600.0
primary,2,1.0,4.0,FIX-G1200,tweedie,1200.0,4200.0,0.0,4200.0,0,73.06201884463448,0.8717923927438195,0.8463304473261117,0.8927687075598316,73.24632032592245,68.80847723822828,75.85760692505983,3.0545256863180343,0.8414197962077123,0.8280152628332221,0.8589597561579113,70.23863348204324,45.820730328388535,1116.4943643547597,708.7601395994425,2597.9365658797324,0.0069135184410267,0.9304119702956328,1200.0
primary,2,1.0,4.0,CAP-G1200,tweedie,1200.0,120.0,0.9,4200.0,0,73.08294588133722,0.8716966998551264,0.8468042415314184,0.8929367845422312,73.23850804337823,68.81503893102375,75.9074840319487,3.024144801839578,0.8448229229319988,0.8313468491607229,0.8636266568923664,70.52567996574703,45.7687801235132,1114.6895693093538,575.9668621271849,2596.902846097946,0.007863529988431841,0.9289079744244616,1200.0
primary,2,1.0,4.0,SKIP-G1200,tweedie,1200.0,-1.0,0.0,0.0,70,273.0474043583505,0.0018533913213180154,-0.008409040972964221,0.012738636920579279,0.15676614085789536,-0.7031579918111942,1.0553814058664068,9.37624325567721,0.10444880173335032,0.08850403607349658,0.13087742427875523,8.715747684717883,224.49580313528358,142.60860116779804,104.62136717140676,1547.4250850379467,0.8093755395853925,0.118840500973165,1200.0
primary,2,1.0,4.0,SPJF-reversed,reversed,-1.0,-1.0,-1.0,0.0,-1,557.4412513978783,-1.2348715953420173,-1.3834923472708578,-1.050980588552114,-103.74753671588985,-112.3814416623434,-88.72363983315293,18.8895240889842,-1.0052546935861766,-1.0865624345849054,-0.9338565349900069,-83.91462165390575,421.5357248077697,6295.652136847377,5248.835615858436,2654.8303687423468,0.0,,inf
primary,2,1.0,4.0,CAP-G600-reversed,reversed,600.0,30.0,0.9,1800.0,0,569.6751216873547,-1.2903422827606208,-1.5050902702697966,-0.9781559701410919,-108.38373067814685,-121.81431309118992,-84.57709177984519,16.85148212700897,-0.7678703885182612,-0.8419448005963767,-0.7091053254073967,-64.09345492156376,494.10692248141805,534.7923747897148,513.7662539035082,1994.3180148303509,0.430049895760115,0.8913206246495247,600.0
primary,2,1.0,4.0,SPJF-random,random,-1.0,-1.0,-1.0,0.0,-1,194.77525845617157,0.3409549021161411,0.26433948813578495,0.41632148724511897,28.66898447262803,21.792184323339967,35.017580897449456,6.895515337787083,0.3936764157900437,0.3848891009534194,0.40043142261537695,32.86184932771239,109.34656663072867,6235.493534583598,6173.574716012925,6199.551196591929,0.0,,inf
primary,2,1.0,4.0,CAP-G600-random,random,600.0,30.0,0.9,1800.0,0,259.3190086035448,0.06036073635982453,-0.03926734593101262,0.1848228273562664,5.091863572077214,-3.2948967413770727,14.928498248349332,8.292073407564299,0.23118049760759352,0.21467456786933925,0.26033277914227654,19.290339631939656,155.88390917927777,520.7356210500002,514.5526465028524,2007.566280823201,0.2500021290263024,0.8678927017500003,600.0
primary,2,1.0,4.0,SPJF-top1short,top1short,-1.0,-1.0,-1.0,0.0,-1,523.5181866878677,-1.0881796156284766,-1.1967685329595832,-0.9414604636126662,-91.4141806666545,-97.8504881494551,-79.90103712798519,15.56162633214949,-0.6172370977113775,-0.6887336874070052,-0.5621695274132307,-51.522394056732104,333.2762198680046,6108.860282342881,3399.0373596809804,6021.317687004805,0.0,,inf
primary,2,1.0,4.0,CAP-G600-top1short,top1short,600.0,30.0,0.9,1800.0,0,561.2153680518288,-1.2530586835550381,-1.4232353315984214,-0.9606091583422957,-105.25633417667584,-115.93863525998056,-82.89330446952282,14.921376305457779,-0.542775257637411,-0.5973449918104557,-0.4990824739064322,-45.30385039295947,414.9536860184673,534.7267579287291,497.8001990318298,1547.6668341308832,0.38938547111572275,0.8912112632145485,600.0
