level,k,late_submissions,mode,policy,n_overlays,n_jobs,n_dropped,bound_violations,p99_dl_s,p99_dl_realised_window_s,mean_s,gap_closed,reduction_pct,fired_pct,fired_fraction_queue_weighted,drift_mean_s,drift_p50_s,drift_p99_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,rho_busy_hour,span_days,offered_work_s,max_s,max_excess_s,harm_s,max_heavy_s,worst_ratio_to_bound,drift_max_s
1,5,kept,open,SPJF-E,3,17634760,0,,43.0067134166668,43.0067134166668,1.2124617388153471,0.8788650011631903,62.16103692746278,0.0,0.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.8073237787407339,208.32048956768517,7048760.541504,3312.792676,3044.499222,469.226797,3312.792676,nan,0.0
2,4,dropped,closed,FCFS,3,17402859,231900,,71.6744316133333,71.5722464133333,2.6239507499993153,0.0,0.0,100.0,1.0,420.6858273983905,122.01863966666667,3063.320884666666,0.0,1092.1389294895894,7612.5166666666655,0.9302265709027737,208.32049121895832,6913010.5208560005,551.043342,0.0,0.0,549.22974,nan,6937.991867
2,4,dropped,closed,Guard(600),3,17494474,140285,0,39.78720809666664,39.76875397666668,1.235554279069131,0.8138783823743202,44.48830044102913,0.008612282725252428,0.002455353293569218,179.27163994912357,59.12429433333333,1423.3440833399945,0.0,1116.750061051666,7776.23333333333,0.9092316791435161,208.32049121895832,6975586.586862333,1042.511844,507.799236,246.220953,1042.511844,0.8986224034951493,5004.460859
2,4,dropped,closed,SJF,3,17514864,119895,,32.49646231,32.482102993333335,0.998079244183105,1.0,54.65913936737747,0.0,0.0,139.64895303460256,53.97873066666667,980.412280199998,0.0,1122.0471341973496,7810.683333333332,0.8678265553935237,208.32049121895832,6991785.347228001,4139.337561,3390.28258,1578.340834,4139.337561,nan,4967.55878
2,4,dropped,closed,SPJF-E,3,17500164,134595,,38.56279096333341,38.54396298666668,1.145469006595443,0.8452365010192985,46.19668553358662,0.0,0.0,167.9565904056836,60.14095533333333,1225.000485419998,0.0,1117.6813267398513,7767.523333333332,0.9344802773842616,208.32049121895832,6979975.703603334,4998.9851,4646.916102,3612.958092,4998.9851,nan,6030.48348
2,4,kept,closed,FCFS,3,17634760,0,,71.4004909000002,71.82475339999988,2.6810263643624865,0.0,0.0,100.0,1.0,439.9896114954345,127.73634599999998,3234.6816919999997,0.013483294735321982,1131.581727471178,7801.673333333332,0.9419871680092599,208.32049121895832,7048760.541504,536.385273,0.0,0.0,530.86987,nan,7140.325753
2,4,kept,closed,Guard(600),3,17634760,0,0,40.20010186666676,40.05261943333332,1.2620098853533779,0.8098334506470675,43.65050522717502,0.009477494070423037,0.002721577684933241,185.62996973852069,60.01451133333333,1481.31136,0.008101518440474003,1134.313147114968,7870.566666666672,0.9165420195833357,208.32049121895832,7048760.541504,1074.302935,510.849448,261.830415,1074.302935,0.9011985210052068,5204.794984
2,4,kept,closed,SJF,3,17634760,0,,32.88426565000009,32.904242113333346,1.0029456192270645,1.0,53.8981431645851,0.0,0.0,142.3093494307487,55.19346883333333,992.0205809533333,0.006848651942716166,1134.7190156981449,7887.696666666662,0.8730196586111094,208.32049121895832,7048760.541504,4234.335264,3436.498156,1708.884058,4234.335264,nan,5142.866048
2,4,kept,closed,SPJF-E,3,17634760,0,,38.775490050000116,38.70771770666652,1.1533790001762239,0.8465529441686255,45.639613651913784,0.0,0.0,171.47744586747987,60.40710366666667,1284.1271904633343,0.0077230235436528015,1134.8201373802196,7879.939999999994,0.9505234725000001,208.32049121895832,7048760.541504,5783.219581,5400.385192,954.871018,5783.219581,nan,6306.612604
2,4,kept,open,FCFS,3,17634760,0,,268.5423131500011,268.5423131500011,10.42389234178471,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,1.0091547234259173,208.32048956768517,7048760.541504,1544.602708,0.0,0.0,1542.754531,nan,0.0
2,4,kept,open,Guard(600),3,17634760,0,0,88.48598336666684,88.48598336666684,3.88400853120481,0.8000863003870732,67.01900259476497,0.095171884013921,0.07520509525173542,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,1.0091547234259173,208.32048956768517,7048760.541504,1994.472647,520.237781,339.882,1992.893608,0.9506292304387737,0.0
2,4,kept,open,SJF,3,17634760,0,,43.5902264166667,43.5902264166667,1.6933765271427565,1.0,83.75736377640736,0.0,0.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,1.0091547234259173,208.32048956768517,7048760.541504,5299.53243,4755.467038,1101.479383,5299.53243,nan,0.0
2,4,kept,open,SPJF-E,3,17634760,0,,62.47481495000051,62.47481495000051,2.2882967056510934,0.915845980350034,76.71243653938696,0.0,0.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,1.0091547234259173,208.32048956768517,7048760.541504,6286.248131,5904.525039,708.755315,6286.248131,nan,0.0
