overlay,level,k,policy,mode,late_submissions,n_jobs,n_dropped,offered_work_s,p99_dl_s,p99_dl_realised_window_s,n_dl_recorded,n_dl_realised,mean_s,p99_all_s,max_s,max_heavy_s,max_excess_s,harm_s,fired_fraction_queue_weighted,fired_pct,max_fcfs_own_s,seconds,drift_mean_s,drift_p50_s,drift_p99_s,drift_max_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,dl_arrivals_per_hour_max,busy_hour_work_s,rho_busy_hour,span_days,bound_violations,worst_ratio_to_bound,bmax_s,gap_closed,reduction_pct
0,0,8,SPJF-E,closed,kept,17634760,0,7048760.541504,5.427962650000025,5.424636200000014,4219556,4211397,0.12657196576080423,1.980905280000001,878.375134,878.375134,734.292591,296.952066,0.0,0.0,176.849563,2.0,17.62182765954439,1.068423,150.894208,1089.95322,0.00391930482751112,1146.3069817984244,7924.399999999993,12263.0,13205.193686000135,0.45851366965278245,208.32048956768517,,nan,,0.8302302061340655,39.645526442098756
1,0,8,SPJF-E,closed,kept,17634760,0,7048760.541504,4.954596800000001,4.9567973999999895,4219556,4211886,0.11852773788319207,1.6767711500000022,835.356605,835.356605,712.387339,196.119968,0.0,0.0,155.636156,1.8,16.638886790720658,0.89427,154.5531,1028.923847,0.003891178558710184,1133.9844127922602,7802.000000000003,12802.0,13185.338787999914,0.4578242634722192,208.32048956768517,,nan,,0.782807320759593,38.164770873689264
2,0,8,SPJF-E,closed,kept,17634760,0,7048760.541504,6.3808133500000155,6.378712960000012,4219556,4209883,0.14033045358513527,2.3720723300000017,505.015655,505.015655,358.930416,117.944488,0.0,0.0,191.527889,2.0,19.855571641026245,1.111699,168.72931,834.241672,0.004007539654636638,1134.289247311828,8004.15,12153.0,13558.220212999915,0.47077153517360815,208.32048956768517,,nan,,0.8787644289075275,35.98628517456379
0,0,8,FCFS,open,kept,17634760,0,7048760.541504,22.170393000000068,22.170393000000068,4219556,4219556,0.6024076854422742,11.831768400000007,435.022874,435.022874,0.0,0.0,1.0,100.0,435.022874,2.1,0.0,0.0,0.0,0.0,0.003425734175004366,1146.6184782608696,7919.84,12247.0,15247.543182999892,0.5294285827430518,208.32048956768517,,nan,,0.0,0.0
1,0,8,FCFS,open,kept,17634760,0,7048760.541504,21.203488500000063,21.203488500000063,4219556,4219556,0.5805786801733055,11.205244,352.739664,349.039973,0.0,0.0,1.0,100.0,352.739664,1.9,0.0,0.0,0.0,0.0,0.003425734175004366,1133.9844127922602,7787.600000000001,12842.0,14232.98276799982,0.4942007905555493,208.32048956768517,,nan,,0.0,0.0
2,0,8,FCFS,open,kept,17634760,0,7048760.541504,26.84188375000003,26.84188375000003,4219556,4219556,0.6603554034030517,14.493544,379.761467,370.770881,0.0,0.0,1.0,100.0,379.761467,1.9,0.0,0.0,0.0,0.0,0.003425734175004366,1134.289247311828,8000.229999999996,12156.0,14114.958100999918,0.49010271184027493,208.32048956768517,,nan,,0.0,0.0
0,0,8,Guard(600),open,kept,17634760,0,7048760.541504,12.269782950000051,12.269782950000051,4219556,4219556,0.25875807940159096,5.1275968800000395,867.204574,867.204574,489.802752,237.038507,0.0014518515698881114,0.0011965005477817673,435.022874,8.4,0.0,0.0,0.0,0.0,0.003425734175004366,1146.6184782608696,7919.84,12247.0,15247.543182999892,0.5294285827430518,208.32048956768517,0,0.8706020632437099,3480.0,0.7143107971088529,44.656899180812836
1,0,8,Guard(600),open,kept,17634760,0,7048760.541504,10.969563450000015,10.969563450000015,4219556,4219556,0.23154270499882051,4.381289340000011,781.390139,781.390139,472.634416,90.583671,0.0005379181075961786,0.001185159310362035,352.739664,7.8,0.0,0.0,0.0,0.0,0.003425734175004366,1133.9844127922602,7787.600000000001,12842.0,14232.98276799982,0.4942007905555493,208.32048956768517,0,0.8584463748386179,3480.0,0.7502449456989939,48.2652892235163
2,0,8,Guard(600),open,kept,17634760,0,7048760.541504,14.768175850000029,14.768175850000029,4219556,4219556,0.2899919341626424,6.380266820000015,738.939095,697.879715,483.573825,148.380033,0.0013888420094915535,0.001644479425861197,379.761467,8.2,0.0,0.0,0.0,0.0,0.003425734175004366,1134.289247311828,8000.229999999996,12156.0,14114.958100999918,0.49010271184027493,208.32048956768517,0,0.8329758088146424,3480.0,0.7383600401718178,44.980851614037654
0,0,8,SJF,open,kept,17634760,0,7048760.541504,8.310025650000071,8.310025650000071,4219556,4219556,0.18841518561545492,3.744413,1185.898583,1185.898583,1034.036691,595.937164,0.0,0.0,435.022874,2.2,0.0,0.0,0.0,0.0,0.003425734175004366,1146.6184782608696,7919.84,12247.0,15247.543182999892,0.5294285827430518,208.32048956768517,,nan,,1.0,62.517463492866156
1,0,8,SJF,open,kept,17634760,0,7048760.541504,7.562710100000011,7.562710100000011,4219556,4219556,0.17670329006785462,3.248983010000009,960.306242,960.306242,854.06609,442.064858,0.0,0.0,352.739664,2.1,0.0,0.0,0.0,0.0,0.003425734175004366,1133.9844127922602,7787.600000000001,12842.0,14232.98276799982,0.4942007905555493,208.32048956768517,,nan,,1.0,64.33270827109422
2,0,8,SJF,open,kept,17634760,0,7048760.541504,10.489823450000008,10.489823450000008,4219556,4219556,0.22109683228515725,4.816056790000018,806.239382,806.239382,695.638154,476.843204,0.0,0.0,379.761467,2.0,0.0,0.0,0.0,0.0,0.003425734175004366,1134.289247311828,8000.229999999996,12156.0,14114.958100999918,0.49010271184027493,208.32048956768517,,nan,,1.0,60.91994307217727
0,0,8,SPJF-E,open,kept,17634760,0,7048760.541504,12.135950700000043,12.135950700000043,4219556,4219556,0.2394689603630557,5.08609070000001,1374.79477,1374.79477,1241.418616,237.038507,0.0,0.0,435.022874,2.1,0.0,0.0,0.0,0.0,0.003425734175004366,1146.6184782608696,7919.84,12247.0,15247.543182999892,0.5294285827430518,208.32048956768517,,nan,,0.7239665476831699,45.26055221483893
1,0,8,SPJF-E,open,kept,17634760,0,7048760.541504,10.868973,10.868973,4219556,4219556,0.22229585157132845,4.35201,1182.026317,1182.026317,1075.150804,90.583671,0.0,0.0,352.739664,1.9,0.0,0.0,0.0,0.0,0.003425734175004366,1133.9844127922602,7787.600000000001,12842.0,14232.98276799982,0.4942007905555493,208.32048956768517,,nan,,0.7576191912919004,48.73969441396415
