k=1 L=3 B=2 d=2: excess=8 bound=10 target B+2L+d-2=8 In=8 InBound=10 thm3=5
k=1 L=10 B=7 d=4: excess=29 bound=31 target B+2L+d-2=29 In=29 InBound=31 thm3=17
k=1 L=100 B=50 d=30: excess=278 bound=280 target B+2L+d-2=278 In=278 InBound=280 thm3=150
k=1 L=1000 B=500 d=1: excess=2499 bound=2501 target B+2L+d-2=2499 In=2499 InBound=2501 thm3=1500
k=3 m=6 L=729 d=1 n=4397 B=1395 excess=2852 ratio=0.98481 gap_to_bound=44 In=5768 In/bound=0.99931 over_thm3=686
k=3 m=6 L=729 d=364 n=5486 B=1395 excess=3215 ratio=0.98650 gap_to_bound=44 In=6857 In/bound=0.99942 over_thm3=1049
k=3 m=6 L=729 d=729 n=6581 B=1395 excess=3580 ratio=0.98786 gap_to_bound=44 In=7952 In/bound=0.99950 over_thm3=1414
k=3 m=6 L=729 d=1458 n=8768 B=1395 excess=4309 ratio=0.98989 gap_to_bound=44 In=10139 In/bound=0.99961 over_thm3=2143
k=3 m=7 L=2187 d=1 n=15334 B=4247 excess=8620 ratio=0.99005 gap_to_bound=260/3 In=17368 In/bound=0.99977 over_thm3=6304/3
k=3 m=7 L=2187 d=1093 n=18610 B=4247 excess=9712 ratio=0.99116 gap_to_bound=260/3 In=20644 In/bound=0.99981 over_thm3=9580/3
k=3 m=7 L=2187 d=2187 n=21892 B=4247 excess=10806 ratio=0.99204 gap_to_bound=260/3 In=23926 In/bound=0.99983 over_thm3=12862/3
k=3 m=7 L=2187 d=4374 n=28453 B=4247 excess=12993 ratio=0.99337 gap_to_bound=260/3 In=30487 In/bound=0.99987 over_thm3=19423/3
k=4 m=1 L=4 d=1 n=21 B=6 excess=13 ratio=0.78788 gap_to_bound=7/2 In=37 In/bound=0.88095 over_thm3=3/2
k=4 m=1 L=4 d=2 n=25 B=6 excess=14 ratio=0.80000 gap_to_bound=7/2 In=41 In/bound=0.89130 over_thm3=5/2
k=4 m=1 L=4 d=4 n=33 B=6 excess=16 ratio=0.82051 gap_to_bound=7/2 In=49 In/bound=0.90741 over_thm3=9/2
k=4 m=1 L=4 d=8 n=49 B=6 excess=20 ratio=0.85106 gap_to_bound=7/2 In=65 In/bound=0.92857 over_thm3=17/2
k=4 m=2 L=16 d=1 n=52 B=24 excess=55 ratio=0.87302 gap_to_bound=8 In=151 In/bound=0.96795 over_thm3=9
k=4 m=2 L=16 d=8 n=80 B=24 excess=62 ratio=0.88571 gap_to_bound=8 In=179 In/bound=0.97283 over_thm3=16
k=4 m=2 L=16 d=16 n=112 B=24 excess=70 ratio=0.89744 gap_to_bound=8 In=211 In/bound=0.97685 over_thm3=24
k=4 m=2 L=16 d=32 n=176 B=24 excess=86 ratio=0.91489 gap_to_bound=8 In=275 In/bound=0.98214 over_thm3=40
k=4 m=3 L=64 d=1 n=215 B=102 excess=229 ratio=0.91417 gap_to_bound=43/2 In=613 In/bound=0.99191 over_thm3=87/2
k=4 m=3 L=64 d=32 n=339 B=102 excess=260 ratio=0.92362 gap_to_bound=43/2 In=737 In/bound=0.99326 over_thm3=149/2
k=4 m=3 L=64 d=64 n=467 B=102 excess=292 ratio=0.93142 gap_to_bound=43/2 In=865 In/bound=0.99425 over_thm3=213/2
k=4 m=3 L=64 d=128 n=723 B=102 excess=356 ratio=0.94305 gap_to_bound=43/2 In=1121 In/bound=0.99556 over_thm3=341/2
k=4 m=4 L=256 d=1 n=1050 B=432 excess=943 ratio=0.93831 gap_to_bound=62 In=2479 In/bound=0.99799 over_thm3=195
k=4 m=4 L=256 d=128 n=1558 B=432 excess=1070 ratio=0.94523 gap_to_bound=62 In=2987 In/bound=0.99833 over_thm3=322
k=4 m=4 L=256 d=256 n=2070 B=432 excess=1198 ratio=0.95079 gap_to_bound=62 In=3499 In/bound=0.99857 over_thm3=450
k=4 m=4 L=256 d=512 n=3094 B=432 excess=1454 ratio=0.95910 gap_to_bound=62 In=4523 In/bound=0.99890 over_thm3=706
k=4 m=5 L=1024 d=1 n=5149 B=1806 excess=3853 ratio=0.95454 gap_to_bound=367/2 In=9997 In/bound=0.99950 over_thm3=1683/2
k=4 m=5 L=1024 d=512 n=7193 B=1806 excess=4364 ratio=0.95965 gap_to_bound=367/2 In=12041 In/bound=0.99958 over_thm3=2705/2
k=4 m=5 L=1024 d=1024 n=9241 B=1806 excess=4876 ratio=0.96373 gap_to_bound=367/2 In=14089 In/bound=0.99965 over_thm3=3729/2
k=4 m=5 L=1024 d=2048 n=13337 B=1806 excess=5900 ratio=0.96984 gap_to_bound=367/2 In=18185 In/bound=0.99973 over_thm3=5777/2
