tag,mean,p50,p90,p99,p999,med_abs_err,spearman,pearson,within60,pool,hourly_pearson,hourly_spearman,n,k_eff
k = max busy in any hour = 172 | FCFS | service as recorded,856.4147961732726,213.11850023269653,2409.824099707605,7786.766160199641,8799.595095988047,255.52099990844727,0.6793770753745325,0.3802335503618472,0.3436213991769547,releng-hardware/gecko-t-osx-1500-m4,0.6064738206836012,0.8849560782413781,191970,
k = median busy per hour = 94 | FCFS | service + 127s setup,1170.3831063234009,636.6510000228882,3279.603099226954,7024.321429002278,7795.174986790424,48.78100025653839,0.9086454867841808,0.7405767598250581,0.5285649143378282,releng-hardware/gecko-t-linux-talos-2404,0.8606577097127964,0.9546311288969811,30702,
k = median busy per hour = 94 | priority-then-FIFO | service as recorded,773.1143631041069,217.98699986934662,1872.0982000350953,7635.536850175735,10333.646983183393,142.82800018787384,0.9494689551783141,0.9429792368170266,0.38222265650446224,releng-hardware/gecko-t-linux-talos-2404,0.9044558754802414,0.9420992010500162,30702,
k = median busy per hour = 94 | priority-then-FIFO | service + 127s setup,1099.9073647414891,470.17749989032745,2723.8820994853972,9986.208349201674,12223.177499611393,25.546000003814697,0.9685944857625467,0.9652223096324697,0.6344863526806072,releng-hardware/gecko-t-linux-talos-2404,0.9670792093753524,0.9653314851268002,30702,
k = workers seen in the window = 105 | FCFS | service as recorded,613.1083273088324,149.99399995803833,1779.5621001482018,5048.563530182834,5888.217940340281,267.09100019931793,0.8893158024120226,0.7551218818676314,0.3646342257833366,releng-hardware/gecko-t-linux-talos-2404,0.8132338488591205,0.9280856748243437,30702,
k = workers seen in the window = 105 | FCFS | service + 127s setup,863.6321348768362,332.36499977111816,2440.6875998020178,6092.141849014759,6820.569778007277,131.96550011634827,0.9052011721081804,0.7517418370207266,0.40870301609015697,releng-hardware/gecko-t-linux-talos-2404,0.8463610618091298,0.9597274951884317,30702,
k = workers seen in the window = 105 | priority-then-FIFO | service as recorded,579.9889645969182,131.7630000114441,1394.0323999166492,5772.411039962752,9062.539877893689,262.3934999704361,0.9182528900037383,0.9131841960031333,0.36671878053547,releng-hardware/gecko-t-linux-talos-2404,0.8582334671138343,0.9172487973816306,30702,
k = workers seen in the window = 105 | priority-then-FIFO | service + 127s setup,818.5194036556637,288.4194999933243,2002.0532996654517,7759.954579324719,10703.11335442591,114.70949995517731,0.9476503369147037,0.9446364140033541,0.42567259461924306,releng-hardware/gecko-t-linux-talos-2404,0.9133834963144823,0.9613850556291716,30702,
k(t) = workers seen within +/- 6 h | FCFS | service as recorded,714.0815392476512,205.86849999427795,2046.275100135804,5412.371470217705,6231.202147858386,234.03249979019165,0.8990345304614854,0.7595476500779981,0.36349423490326366,releng-hardware/gecko-t-linux-talos-2404,0.8322066886422196,0.9370861868029169,30702,
k(t) = workers seen within +/- 6 h | FCFS | service + 127s setup,1003.9368141619797,483.203999876976,2781.2018992900853,6485.466719555854,7265.454204380535,40.635000109672546,0.9132425067318503,0.7492262855666514,0.5561526936355937,releng-hardware/gecko-t-linux-talos-2404,0.8594217777549717,0.9612095492295638,30702,
k(t) = workers seen within +/- 6 h | priority-then-FIFO | service as recorded,674.2376768611463,181.13700008392334,1633.9805000543595,6921.422929477603,9635.42560811522,211.98100006580353,0.9358782547353841,0.9290470519268248,0.37062732069572013,releng-hardware/gecko-t-linux-talos-2404,0.8801433945605929,0.9269120373033458,30702,
k(t) = workers seen within +/- 6 h | priority-then-FIFO | service + 127s setup,943.6787467737337,344.88850009441376,2339.749599671364,8458.502449295447,11429.721297411681,29.587999939918518,0.9642965223281736,0.9593343612241317,0.6425640023451241,releng-hardware/gecko-t-linux-talos-2404,0.9392537389115593,0.9675277796154432,30702,
effective k = 96 | priority-then-FIFO | service + setup,1033.306157177034,416.8464993238449,2547.8099988937383,9136.682809467315,11878.476845913938,24.43999993801117,0.9690737872708708,0.9689123475220005,0.6367989056087552,releng-hardware/gecko-t-linux-talos-2404,0.9633146605406336,0.9687587147836667,30702,96.0
