model,group,n,rmse,rmse_sd,spearman,spearman_sd,auroc,auroc_sd,auprc,auprc_sd
M2,all,40844,0.2424984716969353,0.0005209120766018351,0.3380365556777249,0.0011449080083365953,0.8717266583994783,0.002596331723012377,0.2735936526208849,0.006046699843356821
M2,cold_ex,1092,0.32308377792557047,0.0006294557209105877,0.41052796092675653,0.0008948639922350141,0.7965096835000457,0.012689305581729461,0.2232578419720638,0.007873850598851822
M2,cold_user,579,0.02600300243955429,7.85717696186041e-05,0.09810764447235071,0.0005986427045215892,,,,
M3,all,40844,0.2605376528445608,0.00022500531211686753,0.3100760652694592,0.0021061379739891824,0.8877183081442052,0.0008320104714067794,0.09642953714187757,0.004051879624982484
M3,cold_ex,1092,0.3309268325125158,0.0011027874163445177,0.44948082123627814,0.011304245601585567,0.8530449059013104,0.009009713565839728,0.1550081499038418,0.01229799245143229
M3,cold_user,579,0.05140993236462486,0.0005149956979986736,-0.03509422046660975,0.013947102582638687,,,,
M4,all,40844,0.23674812241343401,0.0005824827146129403,0.35818686065719535,0.0005318100002361411,0.9336215231646668,0.001206113195930858,0.2978252906795212,0.026088822151507207
M4,cold_ex,1092,0.31487070691471475,0.004374366954526746,0.4587951158789892,0.0022478434844907377,0.877474081055608,0.004468583762964634,0.2845139067460359,0.007842610898577683
M4,cold_user,579,0.02139026879119753,0.00029953639027149707,0.03344930392153333,0.008238269784498443,,,,
M4R,all,40844,0.23674812241343401,0.0005824827146129403,0.35818686065719535,0.0005318100002361411,0.9336215231646668,0.001206113195930858,0.2978252906795212,0.026088822151507207
M4R,cold_ex,1092,0.31487070691471475,0.004374366954526746,0.4587951158789892,0.0022478434844907377,0.877474081055608,0.004468583762964634,0.2845139067460359,0.007842610898577683
M4R,cold_user,579,0.02139026879119753,0.00029953639027149707,0.03344930392153333,0.008238269784498443,,,,
M5,all,40844,0.2363110819332281,0.00010344582407704203,0.3648135145597878,0.0026164609629730344,0.9357745422436295,0.0017461087836308045,0.28215631658383894,0.05594542851182449
M5,cold_ex,1092,0.3116285262412067,0.001707849540416132,0.4686942013030964,0.013530262582650405,0.8792476158624952,0.0069434163886617955,0.28139354738138184,0.029206298449284983
M5,cold_user,579,0.02047736386587549,5.6290166306190713e-05,0.07443790510937275,0.004484594547048227,,,,
M6,all,40844,0.2368837228801198,0.000567769926545278,0.3576646241867005,0.003805640975995335,0.932550679728775,0.0012999998489754046,0.2929472927094609,0.021957025916724313
M6,cold_ex,1092,0.31095487745879463,0.0016168641069846117,0.4566036284445338,0.004637555505947183,0.8724068387502153,0.0041576344846394366,0.2899583539307496,0.006412080408274486
M6,cold_user,579,0.02176431826752964,0.0004089953571413043,0.012804160959537512,0.00286755785039437,,,,
