model,group,n,rmse,rmse_sd,spearman,spearman_sd,auroc,auroc_sd,auprc,auprc_sd
M3,cold_ex,1092,0.3505860830497273,0.0013329212706459747,0.3730430853902942,0.003660764657790808,0.8506075623524166,0.0009584190187286448,0.1605776961191937,0.00620505298321338
M3,cold_user,579,0.08644990726134788,0.0019242774249952105,-0.028218974340104116,0.009935300122382468,,,,
M4,all,40844,0.2518863402711247,0.0010298985528354367,0.3119170439658288,0.006462353681595833,0.9283268752866608,0.001998508787021214,0.2890507031283173,0.002496958452753649
M4,cold_ex,1092,0.33018655911037814,0.004577686325670438,0.3312450138873538,0.035533878998545536,0.8592826811792486,0.008433486739304491,0.2886794588294961,0.013222101567285888
M4,cold_user,579,0.04239106168024795,0.010743339174193385,0.07699867609827989,0.00958690441957727,,,,
M4R,all,40844,0.2518863402711247,0.0010298985528354367,0.3119170439658288,0.006462353681595833,0.9283268752866608,0.001998508787021214,0.2890507031283173,0.002496958452753649
M4R,cold_ex,1092,0.33018655911037814,0.004577686325670438,0.3312450138873538,0.035533878998545536,0.8592826811792486,0.008433486739304491,0.2886794588294961,0.013222101567285888
M4R,cold_user,579,0.04239106168024795,0.010743339174193385,0.07699867609827989,0.00958690441957727,,,,
M5,all,40844,0.2506963428310676,0.0010528842267272223,0.3442679836789786,0.0018606273146782512,0.9302396963159789,0.00022607882948135638,0.2990614792832712,0.0013718974507991226
M5,cold_ex,1092,0.32351768768906325,0.0031996362896446057,0.35955340802134605,0.0292930327611653,0.8698124106898543,0.0038296285065678765,0.28875238660762165,0.014450089883027109
M5,cold_user,579,0.03184600529377945,0.00044627302068245647,0.09418563621740833,0.014308375544913009,,,,
M6,all,40844,0.25339026162480754,0.001683622253448998,0.3077045491149882,0.00524338372428091,0.9287872143820938,0.000618909410709088,0.2944222941112018,0.005638434799086407
M6,cold_ex,1092,0.34487664175260563,0.0042034090356357695,0.29325069155207345,0.0060344986410289765,0.8616136126397292,0.003866886941119935,0.26412756910493634,0.014780202467715959
M6,cold_user,579,0.03820371050287236,0.01239829109624708,0.08474432310637886,0.001843307911989891,,,,
N0,all,40844,0.24631536992189765,0.002379747228523734,0.277788572563839,0.017800060422434764,0.9208963570679893,0.008349335499148007,0.3062638248304177,0.009807110075494766
N0,cold_ex,1092,0.315221207124729,0.003636589487070948,0.43763612795850076,0.031047476520542898,0.8582084258105054,0.017520064832110608,0.264697905079178,0.0306528660033015
N0,cold_user,579,0.07464436619232072,0.012632613713253282,0.030669844056860397,0.023471539345341654,,,,
R1,all,40844,0.23955367455076626,0.0005014451219453736,0.3133492248431163,0.004880024712481314,0.9239375697058027,0.007178291562131344,0.32361269668091336,0.007257191234565786
R1,cold_ex,1092,0.3202483099836497,0.0006190045520070436,0.4390410140948869,0.011385270816850649,0.857144304926373,0.02591395047308611,0.24462515036721433,0.0217920325778978
R1,cold_user,579,0.07253827387667114,0.0061293828421136445,0.04182569099030309,0.01532986872601905,,,,
R1S,all,40844,0.24136526755751528,0.000896539690559129,0.328594131804961,0.009616676383111126,0.9365785349574445,0.0011210527313164462,0.3148153355102759,0.006789355041123678
R1S,cold_ex,1092,0.31712669966384843,0.0043103444278129845,0.3900296021824258,0.02580053743905652,0.8823893060918385,0.004256652441255371,0.271182036698625,0.015202542474087912
R1S,cold_user,579,0.033820333166264455,0.0051857520490010784,0.08425449377775457,0.024345518970889837,,,,
