overlay,level,k,policy,promise_s,theta_s,p99_dl_s,gap_closed,mean_s,max_excess_s,harm_s,max_wait_s,bound_violations
1,2,4,Timeout(1200),1200.0,1050.0,81.448,0.8376,4.791,1048.82,646.887,1596.206,0
2,0,8,FCFS,,,26.842,0.0,0.66,0.0,0.0,379.761,
2,0,8,SJF,,,10.49,1.0,0.221,695.638,476.843,806.239,
2,0,8,SPJF-E,,,14.62,0.7474,0.282,871.643,181.269,963.406,
2,0,8,Guard(300),300.0,,15.415,0.6988,0.326,192.452,75.095,552.817,
2,0,8,Fixed(300),300.0,,15.109,0.7175,0.333,193.025,148.375,552.755,
2,0,8,Timeout(300),300.0,135.0,16.081,0.6581,0.444,147.962,147.962,379.661,0
2,0,8,Guard(600),600.0,,14.768,0.7384,0.29,483.574,148.38,738.939,
2,0,8,Fixed(600),600.0,,14.757,0.7391,0.291,488.972,181.269,736.425,
2,0,8,Timeout(600),600.0,435.0,14.893,0.7307,0.309,408.484,181.269,592.958,0
2,0,8,Guard(1200),1200.0,,14.697,0.7427,0.289,616.487,105.996,751.177,
2,0,8,Fixed(1200),1200.0,,14.62,0.7474,0.282,871.643,181.269,963.406,
2,0,8,Timeout(1200),1200.0,1035.0,14.62,0.7474,0.282,871.643,181.269,963.406,0
2,1,5,FCFS,,,120.139,0.0,4.161,0.0,0.0,806.673,
2,1,5,SJF,,,33.353,1.0,0.949,1837.974,578.09,2130.35,
2,1,5,SPJF-E,,,44.185,0.8752,1.233,2393.796,469.227,2666.08,
2,1,5,Guard(300),300.0,,56.264,0.736,2.025,205.072,110.936,952.324,
2,1,5,Fixed(300),300.0,,54.666,0.7544,2.017,210.925,175.407,950.188,
2,1,5,Timeout(300),300.0,144.0,99.445,0.2385,3.07,175.407,175.407,806.704,0
2,1,5,Guard(600),600.0,,48.399,0.8266,1.554,498.885,162.109,1266.498,
2,1,5,Fixed(600),600.0,,47.804,0.8335,1.539,499.0,447.101,1253.307,
2,1,5,Timeout(600),600.0,444.0,52.025,0.7849,2.312,444.861,443.657,859.884,0
2,1,5,Guard(1200),1200.0,,47.281,0.8395,1.416,1087.84,110.936,1852.719,
2,1,5,Fixed(1200),1200.0,,45.82,0.8564,1.396,1097.265,469.227,1840.528,
2,1,5,Timeout(1200),1200.0,1044.0,46.362,0.8501,1.558,1024.822,469.227,1397.367,0
2,2,4,FCFS,,,264.669,0.0,10.308,0.0,0.0,1130.631,
2,2,4,SJF,,,44.524,1.0,1.745,3571.401,960.838,3995.157,
2,2,4,SPJF-E,,,64.779,0.908,2.355,4238.642,708.755,4565.004,
2,2,4,Guard(300),300.0,,163.14,0.4612,5.528,229.053,118.737,1280.691,
2,2,4,Fixed(300),300.0,,166.114,0.4477,5.491,212.177,202.409,1280.674,
2,2,4,Timeout(300),300.0,150.0,257.016,0.0348,8.038,195.125,179.852,1130.673,0
2,2,4,Guard(600),600.0,,91.376,0.7872,3.865,520.238,339.882,1579.655,
2,2,4,Fixed(600),600.0,,88.814,0.7988,3.898,512.117,462.815,1582.143,
2,2,4,Timeout(600),600.0,450.0,172.657,0.418,6.303,464.978,456.683,1147.33,0
2,2,4,Guard(1200),1200.0,,81.936,0.8301,3.164,1097.409,118.305,2175.711,
2,2,4,Fixed(1200),1200.0,,75.85,0.8577,3.169,1103.637,708.755,2175.708,
2,2,4,Timeout(1200),1200.0,1050.0,85.522,0.8138,4.26,1052.212,708.755,1625.376,0
3,0,8,FCFS,,,24.055,0.0,0.649,0.0,0.0,392.775,
3,0,8,SJF,,,9.315,1.0,0.199,796.542,67.141,910.393,
3,0,8,SPJF-E,,,13.095,0.7435,0.257,933.954,89.871,1078.506,
3,0,8,Guard(300),300.0,,13.733,0.7003,0.308,183.703,89.871,530.174,
3,0,8,Fixed(300),300.0,,13.483,0.7172,0.305,192.326,89.871,530.149,
3,0,8,Timeout(300),300.0,135.0,14.376,0.6566,0.446,148.329,89.871,393.06,0
3,0,8,Guard(600),600.0,,13.264,0.7321,0.271,481.213,89.871,786.07,
3,0,8,Fixed(600),600.0,,13.214,0.7355,0.269,485.892,89.871,741.387,
3,0,8,Timeout(600),600.0,435.0,13.34,0.7269,0.292,397.58,89.871,623.518,0
3,0,8,Guard(1200),1200.0,,13.131,0.7411,0.264,549.391,85.784,841.227,
3,0,8,Fixed(1200),1200.0,,13.095,0.7435,0.257,933.954,89.871,1078.506,
3,0,8,Timeout(1200),1200.0,1035.0,13.101,0.7432,0.257,926.838,89.871,1070.458,0
3,1,5,FCFS,,,124.257,0.0,4.219,0.0,0.0,825.001,
3,1,5,SJF,,,34.36,1.0,0.992,2181.636,289.686,2483.457,
3,1,5,SPJF-E,,,44.01,0.8926,1.271,2522.112,342.336,2794.716,
3,1,5,Guard(300),300.0,,55.866,0.7608,2.147,202.365,102.739,965.742,
3,1,5,Fixed(300),300.0,,53.721,0.7846,2.131,202.236,165.546,965.791,
3,1,5,Timeout(300),300.0,144.0,101.677,0.2512,3.19,165.237,165.237,825.043,0
3,1,5,Guard(600),600.0,,47.768,0.8508,1.593,507.803,159.409,1269.423,
3,1,5,Fixed(600),600.0,,47.07,0.8586,1.622,502.627,342.336,1263.996,
3,1,5,Timeout(600),600.0,444.0,50.704,0.8182,2.351,436.836,342.336,932.933,0
3,1,5,Guard(1200),1200.0,,46.631,0.8635,1.441,1093.105,107.327,1865.668,
3,1,5,Fixed(1200),1200.0,,45.75,0.8733,1.447,1091.28,342.336,1875.493,
3,1,5,Timeout(1200),1200.0,1044.0,46.038,0.8701,1.643,1045.847,342.336,1422.431,0
3,2,4,FCFS,,,264.652,0.0,10.117,0.0,0.0,1177.133,
3,2,4,SJF,,,43.488,1.0,1.681,3430.825,1362.193,3890.573,
3,2,4,SPJF-E,,,62.368,0.9146,2.269,4013.717,611.512,4336.203,
3,2,4,Guard(300),300.0,,161.268,0.4675,5.5,215.891,134.823,1328.39,
3,2,4,Fixed(300),300.0,,166.031,0.4459,5.472,219.775,195.808,1328.359,
3,2,4,Timeout(300),300.0,150.0,259.252,0.0244,7.934,180.984,177.689,1178.119,0
3,2,4,Guard(600),600.0,,87.311,0.8019,3.827,512.442,196.599,1628.326,
3,2,4,Fixed(600),600.0,,83.854,0.8175,3.847,512.593,465.528,1628.387,
3,2,4,Timeout(600),600.0,450.0,167.271,0.4403,6.212,488.677,455.554,1209.361,0
3,2,4,Guard(1200),1200.0,,79.669,0.8364,3.109,1102.245,92.001,2234.984,
3,2,4,Fixed(1200),1200.0,,71.385,0.8739,3.075,1112.881,611.512,2234.88,
3,2,4,Timeout(1200),1200.0,1050.0,79.776,0.8359,4.216,1049.268,611.512,1735.597,0
4,0,7,FCFS,,,43.952,0.0,1.102,0.0,0.0,491.725,
4,0,7,SJF,,,17.26,1.0,0.356,1002.806,543.798,1162.941,
4,0,7,SPJF-E,,,22.667,0.7975,0.457,1180.784,126.013,1343.614,
4,0,7,Guard(300),300.0,,24.647,0.7233,0.548,180.14,68.187,630.672,
4,0,7,Fixed(300),300.0,,24.144,0.7421,0.547,189.153,126.013,630.486,
4,0,7,Timeout(300),300.0,137.143,27.342,0.6223,0.774,151.578,126.013,491.686,0
4,0,7,Guard(600),600.0,,23.566,0.7638,0.494,492.214,126.013,935.115,
4,0,7,Fixed(600),600.0,,23.393,0.7702,0.493,491.407,126.013,931.576,
4,0,7,Timeout(600),600.0,437.143,23.707,0.7585,0.526,427.601,126.013,657.761,0
4,0,7,Guard(1200),1200.0,,23.114,0.7807,0.475,677.82,95.129,1087.299,
4,0,7,Fixed(1200),1200.0,,22.748,0.7944,0.46,1077.011,126.013,1248.139,
4,0,7,Timeout(1200),1200.0,1037.143,22.844,0.7908,0.463,992.557,126.013,1160.402,0
4,1,5,FCFS,,,131.192,0.0,4.041,0.0,0.0,830.142,
4,1,5,SJF,,,33.651,1.0,0.97,2004.877,1242.307,2260.926,
4,1,5,SPJF-E,,,43.634,0.8977,1.251,2459.693,292.833,2580.903,
4,1,5,Guard(300),300.0,,58.775,0.7424,2.009,209.737,110.907,978.674,
4,1,5,Fixed(300),300.0,,56.663,0.7641,1.989,209.626,195.369,977.22,
4,1,5,Timeout(300),300.0,144.0,115.766,0.1582,3.008,175.072,155.803,830.41,0
4,1,5,Guard(600),600.0,,48.134,0.8515,1.493,502.187,319.64,1280.432,
4,1,5,Fixed(600),600.0,,47.8,0.8549,1.504,501.465,292.833,1289.048,
4,1,5,Timeout(600),600.0,444.0,53.514,0.7964,2.226,449.477,292.833,871.889,0
4,1,5,Guard(1200),1200.0,,46.624,0.867,1.384,1096.133,106.728,1868.051,
4,1,5,Fixed(1200),1200.0,,46.207,0.8713,1.392,1100.888,292.833,1833.265,
4,1,5,Timeout(1200),1200.0,1044.0,46.504,0.8682,1.51,1035.642,292.833,1440.571,0
4,2,4,FCFS,,,297.208,0.0,9.961,0.0,0.0,1167.225,
4,2,4,SJF,,,43.887,1.0,1.717,3324.441,1365.901,3682.702,
4,2,4,SPJF-E,,,64.15,0.92,2.338,3910.745,387.145,4078.142,
4,2,4,Guard(300),300.0,,172.331,0.493,5.25,222.572,113.19,1320.876,
4,2,4,Fixed(300),300.0,,181.653,0.4562,5.193,222.569,175.954,1321.749,
4,2,4,Timeout(300),300.0,150.0,290.749,0.0255,7.801,188.788,175.932,1167.225,0
4,2,4,Guard(600),600.0,,93.422,0.8045,3.67,523.668,174.801,1609.272,
4,2,4,Fixed(600),600.0,,90.361,0.8165,3.673,513.978,387.145,1612.104,
4,2,4,Timeout(600),600.0,450.0,196.821,0.3963,6.102,469.896,387.145,1167.223,0
4,2,4,Guard(1200),1200.0,,80.729,0.8546,2.981,1099.956,117.185,2221.231,
4,2,4,Fixed(1200),1200.0,,75.565,0.875,3.04,1112.788,387.145,2209.238,
4,2,4,Timeout(1200),1200.0,1050.0,86.863,0.8304,4.016,1047.819,387.145,1675.851,0
