rep,level,k,policy,p99_dl_s,mean_s,max_excess_s,harm_s,gap_closed,jobs_over_600s_excess
2,2,4,MaxWait(600),126.70295290000008,5.707729973977927,600.351745,599.089155,0.6267066328827363,2
2,2,4,MaxWait(1200),80.66618125000004,3.9220944683325434,1198.2383360000001,708.755315,0.8358267291196849,1946
3,0,8,SPJF-E,13.095212700000001,0.25656567998935054,933.9536019999999,89.87118,0.7435439331797193,65
3,0,8,MaxWait(300),13.489446100000018,0.31814272093014023,276.654402,89.87118,0.7167981404090119,0
3,0,8,MaxWait(600),13.235078600000113,0.2731671496903275,566.59055,89.87118,0.734055076129324,0
3,0,8,MaxWait(1200),13.095212700000001,0.25656567998935054,933.9536019999999,89.87118,0.7435439331797193,65
3,1,5,SPJF-E,44.0104619,1.2707251290677617,2522.1120140000003,342.336485,0.8926450473894445,632
3,1,5,MaxWait(300),57.63144285000025,2.70945760896848,342.077391,299.63884399999995,0.7411284767180273,0
3,1,5,MaxWait(600),48.60791275000015,2.095469242259265,598.994021,342.336485,0.8415040914495273,0
3,1,5,MaxWait(1200),45.75128990000025,1.5802146188384758,1192.276302,342.336485,0.8732804884302151,721
3,2,4,SPJF-E,62.36789335000037,2.2692431597361686,4013.7174999999997,611.512196,0.9146334064328655,1910
3,2,4,MaxWait(300),300.08323450000006,6.966770131949512,324.984661,324.803027,-0.16020191230523817,0
3,2,4,MaxWait(600),120.95755715000035,5.624697567904694,600.1617219999999,599.532883,0.6497189097050576,1
3,2,4,MaxWait(1200),76.40859265000077,3.9024502604739726,1185.4074110000001,611.512196,0.8511480653757268,2307
4,0,7,SPJF-E,22.666534,0.4573808415397204,1180.783881,126.012783,0.7974517561387423,111
4,0,7,MaxWait(300),24.569879300000046,0.5898275561429246,291.975105,126.012783,0.7261437717390787,0
4,0,7,MaxWait(600),23.469508850000192,0.5027141155763389,559.939345,126.012783,0.7673686608238067,0
4,0,7,MaxWait(1200),22.739002800000204,0.4590452155517852,1146.418228,126.012783,0.794736744805866,111
4,1,5,SPJF-E,43.63385225000014,1.250742052530627,2459.693026,292.833252,0.8976510261378663,722
4,1,5,MaxWait(300),61.93025925000101,2.5625102219434233,325.652077,292.833252,0.7100750829775211,0
4,1,5,MaxWait(600),50.621570300000144,1.941634911232418,593.8807449999999,292.833252,0.826012490562698,0
4,1,5,MaxWait(1200),46.21487135000009,1.4795113924093664,1194.348775,292.833252,0.8711902520636267,849
4,2,4,SPJF-E,64.14990965000023,2.3382240909310354,3910.745368,387.145169,0.9200123491320671,2030
4,2,4,MaxWait(300),300.5088090500001,6.7909595938338265,320.439779,320.439779,-0.013031261336912377,0
4,2,4,MaxWait(600),140.52048220000069,5.527209223028156,609.454987,387.145169,0.6185340678973745,5
4,2,4,MaxWait(1200),81.53268495000036,3.720517188326351,1187.714054,387.145169,0.8513926040450194,2538
