policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
guard G=5L (B=2868s),747.4112987093366,10722.625077416844,12106.37071381646,12495.089534989558,12062.741849068703,12495.089534989558,0.6549203657326156,918.0727598881349,0.06588314172467512,azure,window rho=0.8,0.8,4,286.7772170000109,0.015515692229969591,0.6976493643077637,14.632731634476167,456399,-515.8133251119198,5.078392688299069
guard G=15L (B=14339s),374.86951314032603,10919.345791357833,14533.742735929029,15371.750522022368,14542.153891341944,15371.750522022368,0.6548195767300103,3783.7791079769377,0.014279172390824695,azure,window rho=0.8,0.8,4,286.7772170000109,-0.0061187256365435455,0.8689018674014775,14.632731634476167,456399,-517.8791470232263,15.373952761011784
guard B/k=0.001L (B=1s),2100.6585397444605,10803.91436047008,11543.627207900152,11772.102489144192,11368.088175293733,11771.629411017522,0.6589300151840823,190.6524220695719,0.411856730623862,azure,window rho=0.8,0.8,4,286.7772170000109,0.006575879627568573,0.07557960915811586,14.632731634476167,456399,-526.5773976474554,2.501
guard B/k=0.01L (B=11s),1718.8045435305382,10718.417774665226,11520.70138392154,11775.34420000494,11370.67024422373,11774.767521989183,0.6569471011110892,190.6524220695719,0.32986487700455086,azure,window rho=0.8,0.8,4,286.7772170000109,0.015978391576652217,0.25111281160973187,14.632731634476167,456399,-529.1583926004555,2.51
guard B/k=0.1L (B=115s),1409.0069590375756,10649.352744081738,11537.30338408682,11799.989700177452,11396.576202563254,11799.989700177452,0.6557989829074998,248.71930605196394,0.23474635132855243,azure,window rho=0.8,0.8,4,286.7772170000109,0.023573838449902684,0.3935226401227225,14.632731634476167,456399,-496.9014581480644,2.6
"guard rel eta=0.5 (C0=1147s,Bmax=14339s)",345.6060396235913,10959.690099417274,14533.742684120485,15371.750522017013,14542.15384989518,15371.750522017013,0.6552271148709791,3726.036217046203,0.018569278197366777,azure,window rho=0.8,0.8,4,286.7772170000109,-0.010555602677133671,0.8823538969001364,14.632731634476167,456399,-575.6220379539627,7.8706734541385615
"guard rel eta=0.75 (C0=1147s,Bmax=14339s)",349.7857838419039,10919.345572909944,14533.743177909228,15371.750700206612,14542.153721620978,15371.750700206612,0.6548962640146012,3783.565650962759,0.014761206751110322,azure,window rho=0.8,0.8,4,286.7772170000109,-0.00611870161267327,0.8804325240839724,14.632731634476167,456399,-518.0926040374052,15.373116780521634
FCFS,11502.222907662115,27614.25427324834,28048.98643978102,28141.440182269784,27876.86603465008,28131.62323037372,0.8813779171295292,0.0,0.0,azure,window rho=0.95,0.95,3,286.7772170000109,0.0,0.0,14.632731634476167,456399,,
SJF-true (reference),265.310881923823,4397.026906179476,48784.49158165481,239579.0754569451,71210.1309994823,239579.0754569451,0.8756986759392549,229693.7049988301,0.0,azure,window rho=0.95,0.95,3,286.7772170000109,1.0,1.0,14.632731634476167,456399,,
SPJF-log,508.6500438575508,13095.556048298688,66591.04834740574,259949.27842588024,90244.02731370882,259949.27842588024,0.8771316326284676,245851.01465200644,0.0,azure,window rho=0.95,0.95,3,286.7772170000109,0.6253416049817758,0.9783446589795882,14.632731634476167,456399,,
