policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
guard B/k=0.1L (B=860s),4.878415267252984,99.39594253862761,763.7919563234932,911.3518448935356,791.5840062011732,911.3518448935356,0.07141558154158971,191.20002301235218,0.008762070030828288,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.46958810041275423,0.5917174410509095,14.632731634476167,456399,-678.6908685543476,3.033333333333333
"guard rel eta=0.5 (C0=8603s,Bmax=103813s)",3.6103047041659244,56.98110772926021,847.6776798597273,1193.054160864791,917.6083279449258,1193.054160864791,0.0709445025076742,816.3031428598333,8.545154568699756e-05,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7669434479115139,0.8090368898275582,14.632731634476167,456399,-1636.6621306398442,7.866666666666666
"guard rel eta=0.75 (C0=8603s,Bmax=103813s)",3.6159266230082823,56.98110772926021,871.2513636688581,1302.5749160724226,942.29264809906,1302.5749160724226,0.0709445025076742,1212.3591950149275,0.0,azure,busy-hour rho=0.5,0.5,30,286.7772170000109,0.7669434479115139,0.8080734467813036,14.632731634476167,456399,-3089.2990599852355,14.999999999999998
FCFS,32.28838973134049,690.1463896470519,1514.3384561729724,1577.3614500164986,1500.6559833531032,1577.3614500164986,0.13477242500531333,0.0,0.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.0,0.0,14.632731634476167,456399,,
SJF-true (reference),6.054436147906568,74.44680528111063,1396.1246747089212,2569.5883719179546,1621.47701975065,2569.5883719179546,0.12958398243642077,2481.0661480963463,0.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,1.0,1.0,14.632731634476167,456399,,
SPJF-log,9.200505582676843,155.02860056988715,1733.5465208819564,2412.935259087011,1886.0908243125766,2412.935259087011,0.13113963878097892,2162.8551020547748,0.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.8691215694554008,0.8800764274906342,14.632731634476167,456399,,
SPJF-tweedie,9.12187902449127,167.7550596122101,1579.8206927814476,2402.7227299829246,1684.1952887088758,2402.7227299829246,0.13195471506291645,2152.642572950688,0.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.848451652883297,0.8830735570668343,14.632731634476167,456399,,
SPJF-ent-tweedie,9.152077412895576,162.28294230871143,1583.9335576519838,2402.022213035729,1651.3164157093956,2402.022213035729,0.1320292112822333,2133.2511898729717,0.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.8573392945878694,0.8819224386009019,14.632731634476167,456399,,
guard G=2L (B=0s),32.28838973134049,690.1463896470519,1514.3384561729724,1577.3614500164986,1500.6559833531032,1577.3614500164986,0.13477242500531333,0.0,1.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.0,0.0,14.632731634476167,456399,-830.1445755263475,2.8947368421052633
guard G=5L (B=11471s),9.949128338534484,197.05380775953202,1529.4379328409682,1878.104488010751,1619.7977796268854,1878.104488010751,0.13198977210730084,687.4841040052706,0.0015622295403802376,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.8008655428853597,0.8515400212841987,14.632731634476167,456399,-746.401980994784,5.0
guard G=15L (B=65959s),9.12187902449127,167.7550596122101,1579.8206927814476,2402.7227299829246,1684.1952887088758,2402.7227299829246,0.13195471506291645,2152.642572950688,0.0,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.848451652883297,0.8830735570668343,14.632731634476167,456399,-2149.015682049476,15.0
guard B/k=0.001L (B=5s),28.299247810535874,659.242250833431,1514.2069386330336,1577.6191300970968,1501.0127777673767,1577.6191300970968,0.13451607036825233,98.05299999844283,0.07509218907140462,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.050193535286281926,0.15206026450102647,14.632731634476167,456399,-732.3783527449046,2.895736842105263
guard B/k=0.01L (B=54s),23.774186047762246,600.7072983623237,1517.1057087741726,1579.950012047775,1503.4909385493022,1579.950012047775,0.13365059958501224,125.99418692919426,0.0501710126446377,azure,busy-hour rho=0.8,0.8,19,286.7772170000109,0.14526417356093266,0.3245490107505087,14.632731634476167,456399,-707.0181607671533,2.904736842105263
