scenario,replicate,seed,keep_probability,k,source_jobs,jobs,job_fraction,offered_work_s,work_fraction,offered_work_over_300k,first_arrival_offset_s,last_arrival_offset_s,policy,mean_wait_s,p99_wait_s,max_wait_s,max_excess_s,guard_firings,guard_bound_checks,relative_p99_deviation_from_full_k4
bernoulli_half_k2,16,20260937,0.5,2,2151,1094,0.5086006508600651,2135.618297,0.5185786301516433,3.5593638283333333,0.256537,299.946344,SPJF-E,65.18672097074955,853.98709111,1007.571064,891.635276,0,0,0.07250698184184896
bernoulli_half_k2,16,20260937,0.5,2,2151,1094,0.5086006508600651,2135.618297,0.5185786301516433,3.5593638283333333,0.256537,299.946344,Guard(300),168.4016608893967,849.13850826,900.765468,218.246256,83,1094,0.04458739493041905
bernoulli_half_k2,17,20260938,0.5,2,2151,1108,0.5151092515109251,2072.320443,0.5032084141982731,3.453867405,0.256537,299.946344,FCFS,561.2623599720216,769.54911933,770.239546,0.0,0,0,0.012349550375196848
bernoulli_half_k2,17,20260938,0.5,2,2151,1108,0.5151092515109251,2072.320443,0.5032084141982731,3.453867405,0.256537,299.946344,SPJF-E,58.86161845487364,822.07874813,978.811461,929.223724,0,0,0.03243386951813311
bernoulli_half_k2,17,20260938,0.5,2,2151,1108,0.5151092515109251,2072.320443,0.5032084141982731,3.453867405,0.256537,299.946344,Guard(300),145.90990819494584,829.4350068100001,860.850961,216.309286,90,1108,0.020348676452277642
bernoulli_half_k2,18,20260939,0.5,2,2151,1104,0.5132496513249651,2193.648485,0.5326697322192532,3.656080808333334,0.256537,299.946344,FCFS,648.6059626621376,826.8416062800001,827.549339,0.0,0,0,0.08771838901957923
bernoulli_half_k2,18,20260939,0.5,2,2151,1104,0.5132496513249651,2193.648485,0.5326697322192532,3.656080808333334,0.256537,299.946344,SPJF-E,71.01066166666668,834.8379138800008,1039.240567,892.461653,0,0,0.048457875608865185
bernoulli_half_k2,18,20260939,0.5,2,2151,1104,0.5132496513249651,2193.648485,0.5326697322192532,3.656080808333334,0.256537,299.946344,Guard(300),181.49807273278984,878.16952142,918.182565,208.583743,85,1104,0.08030056788630828
bernoulli_half_k2,19,20260940,0.5,2,2151,1104,0.5132496513249651,2212.935619,0.5373531044975866,3.6882260316666664,0.256537,299.946344,FCFS,631.5928587762681,831.63660181,832.398172,0.0,0,0,0.09402625351700442
bernoulli_half_k2,19,20260940,0.5,2,2151,1104,0.5132496513249651,2212.935619,0.5373531044975866,3.6882260316666664,0.256537,299.946344,SPJF-E,77.15719385778985,855.0232525600001,1044.003073,893.680216,0,0,0.07380827831460471
bernoulli_half_k2,19,20260940,0.5,2,2151,1104,0.5132496513249651,2212.935619,0.5373531044975866,3.6882260316666664,0.256537,299.946344,Guard(300),177.6012992119565,843.8548011400001,904.628272,218.222596,140,1104,0.038087520289984
bernoulli_half_k2,20,20260941,0.5,2,2151,1083,0.5034867503486751,2108.748238,0.5120539443461846,3.5145803966666667,0.256537,299.946344,FCFS,619.2212625198523,793.33982286,794.583576,0.0,0,0,0.043646458417498306
bernoulli_half_k2,20,20260941,0.5,2,2151,1083,0.5034867503486751,2108.748238,0.5120539443461846,3.5145803966666667,0.256537,299.946344,SPJF-E,68.65945762880888,803.6318161400001,992.597366,878.494651,0,0,0.009266700413596497
bernoulli_half_k2,20,20260941,0.5,2,2151,1083,0.5034867503486751,2108.748238,0.5120539443461846,3.5145803966666667,0.256537,299.946344,Guard(300),160.3562938199446,832.4291456800009,875.956378,221.092137,82,1083,0.02403198570259421
bernoulli_half_k2,21,20260942,0.5,2,2151,1047,0.48675034867503486,1885.263504,0.45778656548905144,3.14210584,0.256537,299.946344,FCFS,557.9030506819485,697.3850964,698.362156,0.0,0,0,-0.0825829423421696
bernoulli_half_k2,21,20260942,0.5,2,2151,1047,0.48675034867503486,1885.263504,0.45778656548905144,3.14210584,0.256537,299.946344,SPJF-E,53.194434688634196,695.30385542,884.208179,783.997913,0,0,-0.12678043122381188
bernoulli_half_k2,21,20260942,0.5,2,2151,1047,0.48675034867503486,1885.263504,0.45778656548905144,3.14210584,0.256537,299.946344,Guard(300),130.87225195797518,749.8230810199998,793.3929,219.042265,76,1047,-0.07758777720918651
bernoulli_half_k2,22,20260943,0.5,2,2151,1085,0.504416550441655,1758.246657,0.426943871073121,2.9304110949999997,0.256537,299.946344,FCFS,461.7029606193548,610.9252829999999,611.374103,0.0,0,0,-0.19632169016533443
bernoulli_half_k2,22,20260943,0.5,2,2151,1085,0.504416550441655,1758.246657,0.426943871073121,2.9304110949999997,0.256537,299.946344,SPJF-E,63.46028808294931,688.61370968,834.674602,777.217789,0,0,-0.13518246456879277
bernoulli_half_k2,22,20260943,0.5,2,2151,1085,0.504416550441655,1758.246657,0.426943871073121,2.9304110949999997,0.256537,299.946344,Guard(300),151.02612295023044,669.74344012,717.78349,207.866369,118,1085,-0.17609960144161338
bernoulli_half_k2,23,20260944,0.5,2,2151,1093,0.5081357508135751,2246.840341,0.5455859728501057,3.7447339016666668,0.256537,299.946344,FCFS,675.4719373659652,852.40984516,853.775471,0.0,0,0,0.12135366256337748
bernoulli_half_k2,23,20260944,0.5,2,2151,1093,0.5081357508135751,2246.840341,0.5455859728501057,3.7447339016666668,0.256537,299.946344,SPJF-E,74.6061293494968,854.5195482399977,1080.885117,866.644802,0,0,0.07317568514591374
bernoulli_half_k2,23,20260944,0.5,2,2151,1093,0.5081357508135751,2246.840341,0.5455859728501057,3.7447339016666668,0.256537,299.946344,Guard(300),207.52127043732844,914.05116824,961.646202,220.938774,108,1093,0.12444120644281643
bernoulli_half_k2,24,20260945,0.5,2,2151,1064,0.49465364946536494,2044.905064,0.49655131179992806,3.4081751066666666,0.256537,299.946344,FCFS,579.7314717509398,751.03412425,751.98617,0.0,0,0,-0.012007110523533055
bernoulli_half_k2,24,20260945,0.5,2,2151,1064,0.49465364946536494,2044.905064,0.49655131179992806,3.4081751066666666,0.256537,299.946344,SPJF-E,54.17627207894737,803.2070843799967,975.370177,881.073482,0,0,0.008733287458347335
bernoulli_half_k2,24,20260945,0.5,2,2151,1064,0.49465364946536494,2044.905064,0.49655131179992806,3.4081751066666666,0.256537,299.946344,Guard(300),140.38702377725565,792.27541445,865.968868,212.542742,72,1064,-0.025364056396864967
bernoulli_half_k2,25,20260946,0.5,2,2151,1084,0.503951650395165,1855.275273,0.4505047137768346,3.092125455,0.256537,299.946344,FCFS,536.1174434381919,659.08039923,659.709514,0.0,0,0,-0.13297315393914858
bernoulli_half_k2,25,20260946,0.5,2,2151,1084,0.503951650395165,1855.275273,0.4505047137768346,3.092125455,0.256537,299.946344,SPJF-E,46.91155975922509,749.0579060400001,866.30984,771.108295,0,0,-0.05927168877046213
bernoulli_half_k2,25,20260946,0.5,2,2151,1084,0.503951650395165,1855.275273,0.4505047137768346,3.092125455,0.256537,299.946344,Guard(300),141.41312339944648,706.0257066400001,777.442648,220.488728,67,1084,-0.13146613128612564
bernoulli_half_k2,26,20260947,0.5,2,2151,1061,0.4932589493258949,1674.552285,0.406620898169147,2.790920475,0.256537,299.946344,FCFS,461.49528350235624,569.5097714,570.1489,0.0,0,0,-0.2508042092062528
bernoulli_half_k2,26,20260947,0.5,2,2151,1061,0.4932589493258949,1674.552285,0.406620898169147,2.790920475,0.256537,299.946344,SPJF-E,41.489812903864284,641.7996562000001,790.055836,732.16867,0,0,-0.19397538981120777
bernoulli_half_k2,26,20260947,0.5,2,2151,1061,0.4932589493258949,1674.552285,0.406620898169147,2.790920475,0.256537,299.946344,Guard(300),116.51864770028276,632.5936916,685.162798,213.979536,84,1061,-0.2218002246630781
bernoulli_half_k2,27,20260948,0.5,2,2151,1078,0.5011622501162251,2153.254136,0.5228610289506431,3.588756893333333,0.256537,299.946344,FCFS,643.3404097012988,817.36051246,819.135168,0.0,0,0,0.07524591543128031
bernoulli_half_k2,27,20260948,0.5,2,2151,1078,0.5011622501162251,2153.254136,0.5228610289506431,3.588756893333333,0.256537,299.946344,SPJF-E,69.50525022820037,845.39493679,1034.522056,882.739197,0,0,0.061716250233382876
bernoulli_half_k2,27,20260948,0.5,2,2151,1078,0.5011622501162251,2153.254136,0.5228610289506431,3.588756893333333,0.256537,299.946344,Guard(300),156.89613882653063,861.51694619,921.005389,202.732859,106,1078,0.059815016931808046
bernoulli_half_k2,28,20260949,0.5,2,2151,1055,0.4904695490469549,1807.875819,0.43899500534261443,3.013126365,0.256537,299.946344,FCFS,494.4108881601896,642.9568153,643.420345,0.0,0,0,-0.15418388959197268
bernoulli_half_k2,28,20260949,0.5,2,2151,1055,0.4904695490469549,1807.875819,0.43899500534261443,3.013126365,0.256537,299.946344,SPJF-E,59.149556602843596,668.49378658,861.556589,721.847622,0,0,-0.16045071302770494
bernoulli_half_k2,28,20260949,0.5,2,2151,1055,0.4904695490469549,1807.875819,0.43899500534261443,3.013126365,0.256537,299.946344,Guard(300),155.98962032796211,709.49208348,755.664755,229.116455,84,1055,-0.12720188756390596
bernoulli_half_k2,29,20260950,0.5,2,2151,1074,0.499302649930265,1945.326492,0.47237127947263585,3.24221082,0.256537,299.946344,FCFS,574.2189021713222,718.58226381,719.366491,0.0,0,0,-0.054697856962013104
bernoulli_half_k2,29,20260950,0.5,2,2151,1074,0.499302649930265,1945.326492,0.47237127947263585,3.24221082,0.256537,299.946344,SPJF-E,53.707702366852885,706.2793213599995,927.453274,787.69597,0,0,-0.1129965415466076
bernoulli_half_k2,29,20260950,0.5,2,2151,1074,0.499302649930265,1945.326492,0.47237127947263585,3.24221082,0.256537,299.946344,Guard(300),139.23171970763502,784.2242201700001,816.213529,225.06191,74,1074,-0.035268419439188146
bernoulli_half_k2,30,20260951,0.5,2,2151,1085,0.504416550441655,2208.673603,0.5363181862155746,3.681122671666667,0.256537,299.946344,FCFS,647.4608552165898,838.92700344,839.68677,0.0,0,0,0.10361684965544302
bernoulli_half_k2,30,20260951,0.5,2,2151,1085,0.504416550441655,2208.673603,0.5363181862155746,3.681122671666667,0.256537,299.946344,SPJF-E,63.05867529953917,875.10876368,1057.31379,889.846236,0,0,0.09903330938862515
bernoulli_half_k2,30,20260951,0.5,2,2151,1085,0.504416550441655,2208.673603,0.5363181862155746,3.681122671666667,0.256537,299.946344,Guard(300),175.63526528663596,864.6534073600003,938.52596,207.520503,69,1085,0.06367340725447122
bernoulli_half_k2,31,20260952,0.5,2,2151,1085,0.504416550441655,2242.315854,0.5444873204018218,3.73719309,0.256537,299.946344,FCFS,691.5210885843318,849.88132536,850.611502,0.0,0,0,0.11802736951937605
bernoulli_half_k2,31,20260952,0.5,2,2151,1085,0.504416550441655,2242.315854,0.5444873204018218,3.73719309,0.256537,299.946344,SPJF-E,64.93969159723503,868.6550316800001,1061.598783,814.402031,0,0,0.09092818379481855
bernoulli_half_k2,31,20260952,0.5,2,2151,1085,0.504416550441655,2242.315854,0.5444873204018218,3.73719309,0.256537,299.946344,Guard(300),192.56932729493087,912.8047794000001,964.272131,239.303931,91,1085,0.1229079323552783
bernoulli_half_k2,32,20260953,0.5,2,2151,1059,0.49232914923291493,2006.93077,0.4873302551199217,3.3448846166666666,0.256537,299.946344,FCFS,572.2039230547688,736.21525302,737.225346,0.0,0,0,-0.031501483592038006
bernoulli_half_k2,32,20260953,0.5,2,2151,1059,0.49232914923291493,2006.93077,0.4873302551199217,3.3448846166666666,0.256537,299.946344,SPJF-E,57.473320197356,752.6714186600001,941.596151,790.119667,0,0,-0.05473354345858601
bernoulli_half_k2,32,20260953,0.5,2,2151,1059,0.49232914923291493,2006.93077,0.4873302551199217,3.3448846166666666,0.256537,299.946344,Guard(300),141.58140430217188,786.4053837400002,834.302046,220.837215,75,1059,-0.03258521057592236
bernoulli_half_k2,33,20260954,0.5,2,2151,1055,0.4904695490469549,1984.689322,0.4819295055324925,3.3078155366666664,0.256537,299.946344,FCFS,569.6797176938388,732.3931820399999,733.6526,0.0,0,0,-0.03652945612935163
bernoulli_half_k2,33,20260954,0.5,2,2151,1055,0.4904695490469549,1984.689322,0.4819295055324925,3.3078155366666664,0.256537,299.946344,SPJF-E,69.43674864549763,741.78995058,930.70788,787.955715,0,0,-0.06839938291913365
bernoulli_half_k2,33,20260954,0.5,2,2151,1055,0.4904695490469549,1984.689322,0.4819295055324925,3.3078155366666664,0.256537,299.946344,Guard(300),174.63907581990523,784.5282104,820.050631,203.364094,103,1055,-0.0348944588198651
bernoulli_half_k2,34,20260955,0.5,2,2151,1092,0.5076708507670851,2414.583978,0.5863180950717176,4.02430663,0.256537,299.946344,FCFS,724.6848959258242,937.42707699,938.490712,0.0,0,0,0.2331946799271266
bernoulli_half_k2,34,20260955,0.5,2,2151,1092,0.5076708507670851,2414.583978,0.5863180950717176,4.02430663,0.256537,299.946344,SPJF-E,69.25753996520147,943.4312625799975,1164.444895,1011.756675,0,0,0.18483830322276582
bernoulli_half_k2,34,20260955,0.5,2,2151,1092,0.5076708507670851,2414.583978,0.5863180950717176,4.02430663,0.256537,299.946344,Guard(300),174.86990573901102,992.33441938,1014.217804,211.103616,88,1092,0.22074316022251453
bernoulli_half_k2,35,20260956,0.5,2,2151,1024,0.47605764760576474,2101.013608,0.5101757932572168,3.501689346666667,0.256537,299.464987,FCFS,606.8204477158204,791.1182882400001,793.165939,0.0,0,0,0.04072400744301351
bernoulli_half_k2,35,20260956,0.5,2,2151,1024,0.47605764760576474,2101.013608,0.5101757932572168,3.501689346666667,0.256537,299.464987,SPJF-E,67.67991080175781,836.25640521,994.736094,902.345043,0,0,0.05023933328070061
bernoulli_half_k2,35,20260956,0.5,2,2151,1024,0.47605764760576474,2101.013608,0.5101757932572168,3.501689346666667,0.256537,299.464987,Guard(300),154.84474559765624,844.30368214,876.506999,207.258215,95,1024,0.03863972164448917
bernoulli_half_k2,36,20260957,0.5,2,2151,1061,0.4932589493258949,2155.181266,0.5233289816915089,3.5919687766666666,0.256537,299.946344,FCFS,636.0001265721017,809.4904774,810.921114,0.0,0,0,0.06489280572807568
bernoulli_half_k2,36,20260957,0.5,2,2151,1061,0.4932589493258949,2155.181266,0.5233289816915089,3.5919687766666666,0.256537,299.946344,SPJF-E,59.85149512252591,820.7908478000029,1033.435526,849.703092,0,0,0.030816418727345446
bernoulli_half_k2,36,20260957,0.5,2,2151,1061,0.4932589493258949,2155.181266,0.5233289816915089,3.5919687766666666,0.256537,299.946344,Guard(300),132.1904605070688,852.3644296000011,875.667063,219.647825,74,1061,0.0485558367523632
bernoulli_half_k2,37,20260958,0.5,2,2151,1035,0.4811715481171548,2046.394281,0.49691292890769656,3.410657135,0.256537,299.946344,FCFS,607.876407594203,756.93412304,757.570691,0.0,0,0,-0.004245603204193964
bernoulli_half_k2,37,20260958,0.5,2,2151,1035,0.4811715481171548,2046.394281,0.49691292890769656,3.410657135,0.256537,299.946344,SPJF-E,50.091682052173915,843.68096844,963.885805,823.557907,0,0,0.0595637083025188
