job_id,actual_wait_ns,exact_shadow_fcfs_wait_ns,exact_guard_upper_bound_ns,exact_excess_ns,bound_slack_ns,production_shadow_rounding_error_ns
216,35498302700,1006757982000,1306757982000,-971259679300,1271259679300,0
217,37036967000,1007294511600,1307294511600,-970257544600,1270257544600,400
218,37115939300,1007831169700,1307831169700,-970715230400,1270715230400,1300
219,1961072300,1008106809500,1308106809500,-1006145737200,1306145737200,1500
220,2190723600,1008336109500,1308336109500,-1006145385900,1306145385900,500
221,2309508200,1008454480800,1308454480800,-1006144972600,1306144972600,1200
222,2501172900,1008645719400,1308645719400,-1006144546500,1306144546500,1600
223,1373684100,1008725558200,1308725558200,-1007351874100,1307351874100,1800
224,1555875300,1008907296600,1308907296600,-1007351421300,1307351421300,1400
225,119263600,1009041695300,1309041695300,-1008922431700,1308922431700,1700
226,325722800,1009247750800,1309247750800,-1008922028000,1308922028000,1200
227,532096400,1009453605400,1309453605400,-1008921509000,1308921509000,1600
228,738507000,1009659523300,1309659523300,-1008921016300,1308921016300,1700
229,2132584900,1008042119900,1308042119900,-1005909535000,1305909535000,2100
230,2377298600,1008286399800,1308286399800,-1005909101200,1305909101200,2200
231,802589000,1008389596600,1308389596600,-1007587007600,1307587007600,2400
232,1000578100,1008587235000,1308587235000,-1007586656900,1307586656900,2000
233,1198758700,1008785040000,1308785040000,-1007586281300,1307586281300,2000
234,1396817600,1008982795500,1308982795500,-1007585977900,1307585977900,1500
235,1594946800,1009180517300,1309180517300,-1007585570500,1307585570500,1700
236,1793460500,1009378451800,1309378451800,-1007584991300,1307584991300,1200
237,181210500,1009188073600,1309188073600,-1009006863100,1309006863100,1400
238,1468003000,1008424262900,1308424262900,-1006956259900,1306956259900,1100
239,1650838300,1008606718500,1308606718500,-1006955880200,1306955880200,1500
240,1833641300,1008789101300,1308789101300,-1006955460000,1306955460000,700
241,70035200,1007945140100,1307945140100,-1007875104900,1307875104900,1900
242,255694000,1008130460300,1308130460300,-1007874766300,1307874766300,1700
243,1361242000,1007704271600,1307704271600,-1006343029600,1306343029600,2400
244,1598914300,1007941563100,1307941563100,-1006342648800,1306342648800,2900
245,1836820700,1008179025900,1308179025900,-1006342205200,1306342205200,3100
246,2074621900,1008416407800,1308416407800,-1006341785900,1306341785900,3200
247,2312303100,1008653653100,1308653653100,-1006341350000,1306341350000,3900
248,2550296600,1008891173800,1308891173800,-1006340877200,1306340877200,4200
249,3281865000,1008907490000,1308907490000,-1005625625000,1305625625000,4000
250,4931378300,1009138707900,1309138707900,-1004207329600,1304207329600,4100
251,5163069400,1009369989900,1309369989900,-1004206920500,1304206920500,4100
252,5395238100,1009601519500,1309601519500,-1004206281400,1304206281400,3500
253,5627101600,1009832955700,1309832955700,-1004205854100,1304205854100,4300
254,5859157900,1010064554200,1310064554200,-1004205396300,1304205396300,3800
255,6090805200,1010295797500,1310295797500,-1004204992300,1304204992300,3500
256,79104000,1010448785900,1310448785900,-1010369681900,1310369681900,4100
257,275306000,1010644511200,1310644511200,-1010369205200,1310369205200,4800
258,471888400,1010840514500,1310840514500,-1010368626100,1310368626100,4500
259,668502800,1010953993500,1310953993500,-1010285490700,1310285490700,-4500
260,865037700,1011036567100,1311036567100,-1010171529400,1310171529400,4900
261,1985716100,1010646898100,1310646898100,-1008661182000,1308661182000,-5100
262,2223685700,1010729485400,1310729485400,-1008505799700,1308505799700,4600
263,2461913600,1010884238900,1310884238900,-1008422325300,1308422325300,-4900
264,7091971100,1010183246300,1310183246300,-1003091275200,1303091275200,4700
265,8662964400,1010338182800,1310338182800,-1001675218400,1301675218400,-4800
266,9058415100,1010578382300,1310578382300,-1001519967200,1301519967200,4700
267,17678086900,1010733232400,1310733232400,-993055145500,1293055145500,-4400
268,18073660600,1010973333000,1310973333000,-992899672400,1292899672400,4000
269,22334737100,1011128391100,1311128391100,-988793654000,1288793654000,-4100
270,22730629000,1011368639100,1311368639100,-988638010100,1288638010100,3900
271,24516818600,1010834428300,1310834428300,-986317609700,1286317609700,-4300
272,24656480800,1011025045400,1311025045400,-986368564600,1286368564600,-3400
273,24708006200,1011074517600,1311074517600,-986366511400,1286366511400,4400
274,25344183100,1011215348500,1311215348500,-985871165400,1285871165400,-3500
275,25514633300,1011265264500,1311265264500,-985750631200,1285750631200,4500
276,140460000,1010087852200,1310087852200,-1009947392200,1309947392200,-3200
277,376515400,1010137759700,1310137759700,-1009761244300,1309761244300,4300
278,612976800,1010323529100,1310323529100,-1009710552300,1309710552300,-3100
279,1321713000,1010373803000,1310373803000,-1009052090000,1309052090000,4000
280,173153900,1009883359100,1309883359100,-1009710205200,1309710205200,-4100
281,409295900,1009933621100,1309933621100,-1009524325200,1309524325200,3900
282,22664682400,1009242814100,1309242814100,-986578131700,1286578131700,-3100
283,23561752400,1009293198100,1309293198100,-985731445700,1285731445700,3900
