pool,original_swf_hour,valid,utilisation,arrivals,offered_work_ratio
old_CE2,5548.104722222222,True,0.0,0,0.0
old_CE2,5549.104722222222,True,0.0,0,0.0
old_CE2,5550.104722222222,True,0.0,0,0.0
old_CE2,5551.104722222222,True,0.0,0,0.0
old_CE2,5552.104722222222,True,0.0,0,0.0
old_CE2,5553.104722222222,True,0.0,0,0.0
old_CE2,5554.104722222222,True,0.0,0,0.0
old_CE2,5555.104722222222,True,0.0,0,0.0
old_CE2,5556.104722222222,True,0.0,0,0.0
old_CE2,5557.104722222222,True,0.0,0,0.0
old_CE2,5558.104722222222,True,0.0,0,0.0
old_CE2,5559.104722222222,True,0.0,0,0.0
old_CE2,5560.104722222222,True,0.0,0,0.0
old_CE2,5561.104722222222,True,0.0,0,0.0
old_CE2,5562.104722222222,True,0.0,0,0.0
old_CE2,5563.104722222222,True,0.0,0,0.0
old_CE2,5564.104722222222,True,0.0,0,0.0
old_CE2,5565.104722222222,True,0.0,0,0.0
old_CE2,5566.104722222222,True,0.0,0,0.0
old_CE2,5567.104722222222,True,0.0,0,0.0
old_CE2,5568.104722222222,True,0.0,0,0.0
old_CE2,5569.104722222222,True,0.0,0,0.0
old_CE2,5570.104722222222,True,0.0,0,0.0
old_CE2,5571.104722222222,True,0.0,0,0.0
old_CE2,5572.104722222222,True,0.0,0,0.0
old_CE2,5573.104722222222,True,0.0,0,0.0
old_CE2,5574.104722222222,True,0.0,0,0.0
old_CE2,5575.104722222222,True,0.0,0,0.0
old_CE2,5576.104722222222,True,0.0,0,0.0
old_CE2,5577.104722222222,True,0.0,0,0.0
old_CE2,5578.104722222222,True,0.0,0,0.0
old_CE2,5579.104722222222,True,0.0,0,0.0
old_CE2,5580.104722222222,True,0.0,0,0.0
old_CE2,5581.104722222222,True,0.0,0,0.0
old_CE2,5582.104722222222,True,0.0,0,0.0
old_CE2,5583.104722222222,True,0.0,0,0.0
old_CE2,5584.104722222222,True,0.0,0,0.0
old_CE2,5585.104722222222,True,0.0,0,0.0
old_CE2,5586.104722222222,True,0.0,0,0.0
old_CE2,5587.104722222222,True,0.0,0,0.0
old_CE2,5588.104722222222,True,0.0,0,0.0
old_CE2,5589.104722222222,True,0.0,0,0.0
old_CE2,5590.104722222222,True,0.0,0,0.0
old_CE2,5591.104722222222,True,0.0,0,0.0
old_CE2,5592.104722222222,True,0.0,0,0.0
old_CE2,5593.104722222222,True,0.0,0,0.0
old_CE2,5594.104722222222,True,0.0,0,0.0
old_CE2,5595.104722222222,True,2.48015873015873e-05,2,2.48015873015873e-05
old_CE2,5596.104722222222,True,0.0001240079365079365,7,0.0001240079365079365
old_CE2,5597.104722222222,True,7.936507936507937e-05,4,7.936507936507937e-05
old_CE2,5598.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5599.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5600.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5601.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5602.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5603.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5604.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5605.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
