pool,policy,n,n_busy,mean,p99,p99_busy,max_excess,harm,heavy_p99,heavy_max,overall_p99_lo,overall_p99_hi,overall_mean_lo,overall_mean_hi,busy_p99_lo,busy_p99_hi,busy_mean_lo,busy_mean_hi,mean_reduction,mean_gap,p99_reduction,p99_gap,p99_busy_reduction,p99_busy_gap,mean_gap_lo,mean_gap_hi,mean_gap_valid,mean_reduction_lo,mean_reduction_hi,mean_reduction_valid,p99_gap_lo,p99_gap_hi,p99_gap_valid,p99_reduction_lo,p99_reduction_hi,p99_reduction_valid,p99_busy_gap_lo,p99_busy_gap_hi,p99_busy_gap_valid,p99_busy_reduction_lo,p99_busy_reduction_hi,p99_busy_reduction_valid
all,Skip-5L,116810,74267,307.08185086893246,9359.0,10524.339999999997,42084.0,11355.0,38163.81999999999,82313.0,2027.4509999999996,18860.99849999996,107.76350999956954,610.1830168437156,2653.335250000001,20360.504500000046,119.93629332246111,783.6123336002573,0.21454068739531618,0.5765968965281636,0.17734286756530004,0.49681235363791504,0.04056761847112045,0.187504213577831,0.44665013959537564,0.7594502170883268,2000,0.13213040888320812,0.3828082278203526,2000,0.20928052580159912,0.9037040278223626,1999,0.04395367018592343,0.6010717925406616,1999,-0.8068063263518946,0.877029292194382,1992,-0.11884040852501035,0.4598193780481363,1999
all,Constant-10L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
all,Age-10L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
all,Skip-10L,116810,74267,307.1031504152042,9359.0,10511.0,42084.0,11355.0,38163.81999999999,82313.0,2002.6774999999864,18860.99849999996,107.81781450430759,610.1477283639941,2653.335250000001,20360.504500000046,119.96616829005687,783.8037123363704,0.2144862070444714,0.5764504758114212,0.17734286756530004,0.49681235363791504,0.041783735393377985,0.19312512640733126,0.4469789138951031,0.7594502170883268,2000,0.13218218947998217,0.38197337010087895,2000,0.21870947681670094,0.902320719898595,1999,0.04332455580077992,0.6011069181331705,1999,-0.8648804181237488,0.8585363838201511,1992,-0.11156304063889017,0.45993113638095334,1999
CE1,FCFS,66538,44563,405.0342811626439,11601.410000000033,10369.0,0.0,0.0,18714.159999999974,56294.0,5834.088750000001,16355.849999999995,196.7939557980451,676.4953650406032,5096.487999999999,12132.0,159.68301168573612,667.7986149526698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,1995,0.0,0.0,2000
CE1,SJF,66538,44563,236.34939433105893,7657.300000000047,8256.0,25529.0,23384.0,19118.839999999913,58878.0,2618.95,11878.0,104.82490353661444,462.0063853637358,2573.975,11701.624999999996,107.76919287481613,518.96167924568,0.4164706413180087,1.0,0.3399681590427349,1.0,0.20378049956601407,1.0,1.0,1.0,2000,0.2379114372912392,0.5870700002157507,2000,1.0,1.0,2000,0.1519317720024504,0.646602399474717,2000,1.0,1.0,1995,0.04056855082832538,0.5024335083159461,2000
CE1,SPJF-E,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,SPJF-log,66538,44563,293.526886891701,9582.630000000005,9749.379999999997,37102.0,16226.0,19918.319999999978,57410.0,3758.888749999951,12609.343999999997,129.74478296183074,537.1212300958244,3846.3950000000614,12431.123249999999,123.23547433083571,596.330844343813,0.27530359640389657,0.6610396246242967,0.17401160720981523,0.5118467791212808,0.059756967885042256,0.29324183625177597,0.492910310250797,0.8162291583325189,2000,0.14297401299047147,0.4223616002749506,2000,0.046096891530663216,0.8192710976084402,2000,0.010811438388089352,0.44914683869743993,2000,-1.5207843187566445,0.7066024824897124,1995,-0.1813054738315706,0.30150752561526556,2000
CE1,SPJF-static,66538,44563,355.42676365385194,10869.630000000005,10819.379999999997,45766.0,4898.0,18783.999999999985,57346.0,4523.675,14526.0,163.58749377839965,611.4870739777799,4684.114000000028,12134.0,158.5994022303833,668.448790391921,0.12247733047779175,0.29408394812701927,0.063076815662926,0.185537421623644,-0.04343523965666862,-0.213147184098437,0.1114825517051662,0.5238789302160693,2000,0.039871810327247105,0.244531789188814,2000,0.011856736489590871,0.674117977200324,2000,0.0026374600542892375,0.2923636265845803,2000,-1.4504549955550865,0.42559452367574413,1995,-0.33050891007397715,0.13292475460230901,2000
CE1,Constant-3.5L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,Age-3.5L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,Skip-3.5L,66538,44563,288.6743514983919,9151.0,9525.279999999984,31598.0,11355.0,22356.519999999997,57867.0,3588.4115000000115,12291.0,126.39147342439072,534.0855643768085,3619.6097500000046,12096.06,127.67108183532751,601.5717902815538,0.28728415118404993,0.6898064897801175,0.21121656764134922,0.6212833820557848,0.08136946667952705,0.3992995740653174,0.5313418352839444,0.8479772459603198,2000,0.14940920464961838,0.43525699312230587,2000,0.22847797045851753,0.9093845859879003,2000,0.04364081208235392,0.4881947300386905,2000,-0.6894961371817603,0.8709048068620046,1995,-0.1279916266596344,0.34217327358792,2000
