overlay,level,k,policy,family,promise_s,bmax_or_skip,sigma_s,bound_abs_tight_s,bound_abs_old_s,max_wait_s,ratio_max_wait_over_tight,shift_per_job_s,min_slack_old_s,min_slack_tight_s,per_job_violations_tight,needs_rerun
1,1,5,Skip(600),skip,600.0,N=42,4288.436287,1409.687257,1505.6872574000001,852.409479,0.6047,48.0,569.0556892000001,521.055689,0,False
1,1,5,Guard(1200),work,1200.0,B_max=5220,4288.436287,2009.687257,2105.6872574,1897.895287,0.9444,96.0,161.525118,65.525118,0,False
1,1,5,Guard-queue(1200),work,1200.0,B_max=5220,4288.436287,2009.687257,2105.6872574,1897.895287,0.9444,96.0,161.525118,65.525118,0,False
1,1,5,Guard-fixed(1200),work,1200.0,B_max=5220,4288.436287,2009.687257,2105.6872574,1389.425158,0.6914,96.0,695.893895,599.893895,0,False
1,1,5,Guard-age(1200),work,1200.0,B_max=5220,4288.436287,2009.687257,2105.6872574,1899.387608,0.9451,96.0,160.69721140000001,64.697211,0,False
1,1,5,Fixed(1200),work,1200.0,B_max=5220,4288.436287,2009.687257,2105.6872574,1899.448677,0.9451,96.0,160.2411638,64.241164,0,False
1,1,5,Skip(1200),skip,1200.0,N=92,4288.436287,2009.687257,2105.6872574,854.536273,0.4252,48.0,1139.5174052,1091.517405,0,False
1,2,4,FCFS,fcfs,0.0,,5146.078916,1331.519729,1331.519729,1285.288804,0.9653,0.0,33.662307,33.662307,0,False
1,2,4,Guard(300),work,300.0,B_max=600,5146.078916,1541.519729,1631.519729,1435.719702,0.9314,90.0,137.54295425,47.542954,0,False
1,2,4,Guard-age(300),work,300.0,B_max=600,5146.078916,1541.519729,1631.519729,1435.719702,0.9314,90.0,137.54295425,47.542954,0,False
1,2,4,Guard-fixed(300),work,300.0,B_max=600,5146.078916,1541.519729,1631.519729,1368.066546,0.8875,90.0,203.49429375,113.494294,0,False
1,2,4,Guard-queue(300),work,300.0,B_max=600,5146.078916,1541.519729,1631.519729,1435.720139,0.9314,90.0,137.55810325,47.558103,0,False
1,2,4,Fixed(300),work,300.0,B_max=600,5146.078916,1541.519729,1631.519729,1435.478819,0.9312,90.0,137.55804325,47.558043,0,False
1,2,4,Skip(300),skip,300.0,N=14,5146.078916,1541.519729,1631.519729,1286.286491,0.8344,45.0,279.63223125,234.632231,0,False
1,2,4,Guard(600),work,600.0,B_max=1800,5146.078916,1841.519729,1931.519729,1735.599059,0.9425,90.0,137.84709,47.84709,0,False
1,2,4,Guard-age(600),work,600.0,B_max=1800,5146.078916,1841.519729,1931.519729,1735.599059,0.9425,90.0,137.84709,47.84709,0,False
1,2,4,Guard-fixed(600),work,600.0,B_max=1800,5146.078916,1841.519729,1931.519729,1530.673054,0.8312,90.0,342.8399005,252.8399,0,False
1,2,4,Guard-queue(600),work,600.0,B_max=1800,5146.078916,1841.519729,1931.519729,1735.5741,0.9425,90.0,137.847649,47.847649,0,False
1,2,4,Fixed(600),work,600.0,B_max=1800,5146.078916,1841.519729,1931.519729,1735.6429,0.9425,90.0,139.5942275,49.594227,0,False
1,2,4,Skip(600),skip,600.0,N=34,5146.078916,1841.519729,1931.519729,1287.498141,0.6991,45.0,551.617184,506.617184,0,False
1,2,4,Guard(1200),work,1200.0,B_max=4200,5146.078916,2441.519729,2531.519729,2349.97968,0.9625,90.0,151.64237875,61.642379,0,False
1,2,4,Guard-queue(1200),work,1200.0,B_max=4200,5146.078916,2441.519729,2531.519729,2349.97968,0.9625,90.0,151.64237875,61.642379,0,False
1,2,4,Guard-fixed(1200),work,1200.0,B_max=4200,5146.078916,2441.519729,2531.519729,1793.12533,0.7344,90.0,687.11286925,597.112869,0,False
1,2,4,Guard-age(1200),work,1200.0,B_max=4200,5146.078916,2441.519729,2531.519729,2334.578431,0.9562,90.0,149.27373825,59.273738,0,False
1,2,4,Fixed(1200),work,1200.0,B_max=4200,5146.078916,2441.519729,2531.519729,2348.442492,0.9619,90.0,149.56977825,59.569778,0,False
1,2,4,Skip(1200),skip,1200.0,N=74,5146.078916,2441.519729,2531.519729,1290.248854,0.5285,45.0,1085.1319325,1040.131932,0,False
