[a] tight absolute bound, per (overlay, level, policy)
  ov       0 lv 2 k=4 FCFS                              bound   1603.6 s (old   1603.6) max wait   1544.6 ratio 0.9632 min slack    34.14 viol 0
  ov       0 lv 2 k=4 Guard(300)              B_max=600 bound   1813.6 s (old   1903.6) max wait   1694.5 ratio 0.9343 min slack    46.46 viol 0
  ov       0 lv 2 k=4 Guard-age(300)          B_max=600 bound   1813.6 s (old   1903.6) max wait   1694.5 ratio 0.9343 min slack    46.46 viol 0
  ov       0 lv 2 k=4 Guard-fixed(300)        B_max=600 bound   1813.6 s (old   1903.6) max wait   1627.1 ratio 0.8971 min slack   113.35 viol 0
  ov       0 lv 2 k=4 Guard-queue(300)        B_max=600 bound   1813.6 s (old   1903.6) max wait   1694.6 ratio 0.9344 min slack    46.46 viol 0
  ov       0 lv 2 k=4 Fixed(300)              B_max=600 bound   1813.6 s (old   1903.6) max wait   1694.7 ratio 0.9344 min slack    46.46 viol 0
  ov       0 lv 2 k=4 Skip(300)                    N=14 bound   1813.6 s (old   1903.6) max wait   1545.4 ratio 0.8521 min slack   234.70 viol 0
  ov       0 lv 2 k=4 Guard(600)             B_max=1800 bound   2113.6 s (old   2203.6) max wait   1994.5 ratio 0.9436 min slack    46.84 viol 0
  ov       0 lv 2 k=4 Guard-age(600)         B_max=1800 bound   2113.6 s (old   2203.6) max wait   1994.5 ratio 0.9436 min slack    46.84 viol 0
  ov       0 lv 2 k=4 Guard-fixed(600)       B_max=1800 bound   2113.6 s (old   2203.6) max wait   1789.6 ratio 0.8467 min slack   251.88 viol 0
  ov       0 lv 2 k=4 Guard-queue(600)       B_max=1800 bound   2113.6 s (old   2203.6) max wait   1994.5 ratio 0.9436 min slack    55.03 viol 0
  ov       0 lv 2 k=4 Fixed(600)             B_max=1800 bound   2113.6 s (old   2203.6) max wait   1994.4 ratio 0.9436 min slack    46.30 viol 0
