overlay,level,k,policy,n,sigma_s,bound_abs_s,bound_prearrival_s,max_wait_s,ratio_max_wait_over_bound_abs,per_job_violations,ties,min_slack_s,promise_named_s,promise_own_s,violations_own_constant,bound_kind,sim_seconds
0,2,4,Guard-fixed(300),17634760,6234.492949,1903.62323725,1902.58424775,1627.083304,0.8547296923893967,0,0,203.35166675,300.0,300.0,0,strict,17.2
0,2,4,Guard-queue(300),17634760,6234.492949,1903.62323725,1902.58424775,1694.592211,0.890193068586424,0,0,136.462545,300.0,300.0,0,strict,17.6
0,2,4,Fixed(300),17634760,6234.492949,1903.62323725,1902.58424775,1694.73727,0.8902692701147316,0,0,136.462096,300.0,300.0,0,strict,17.9
0,2,4,Skip(300),17634760,6234.492949,1903.62323725,1902.58424775,1545.424563,0.8118332098280862,0,0,279.70316075,300.0,300.0,0,non-strict,10.4
0,2,4,Guard(600),17634760,6234.492949,2203.62323725,2202.58424775,1994.472647,0.9050878631544074,0,0,136.84325575,600.0,600.0,0,strict,18.9
0,2,4,Guard-age(600),17634760,6234.492949,2203.62323725,2202.58424775,1994.472647,0.9050878631544074,0,0,136.84325575,600.0,600.0,0,strict,18.9
0,2,4,Guard-fixed(600),17634760,6234.492949,2203.62323725,2202.58424775,1789.640229,0.812135304596521,0,0,341.8763585,600.0,600.0,0,strict,18.8
0,2,4,Guard-queue(600),17634760,6234.492949,2203.62323725,2202.58424775,1994.48873,0.905095161588971,0,0,145.03398075,600.0,600.0,0,strict,19.2
0,2,4,Fixed(600),17634760,6234.492949,2203.62323725,2202.58424775,1994.43344,0.90507007109298,0,0,136.30036575,600.0,600.0,0,strict,18.2
0,2,4,Skip(600),17634760,6234.492949,2203.62323725,2202.58424775,1546.804837,0.7019370693015231,0,0,544.623445,600.0,600.0,0,non-strict,9.4
0,2,4,Guard(1200),17634760,6234.492949,2803.62323725,2802.58424775,2603.17021,0.9285021522911121,0,0,147.28123275,1200.0,1200.0,0,strict,15.8
0,2,4,Guard-queue(1200),17634760,6234.492949,2803.62323725,2802.58424775,2603.17021,0.9285021522911121,0,0,147.28123275,1200.0,1200.0,0,strict,15.8
0,2,4,Guard-fixed(1200),17634760,6234.492949,2803.62323725,2802.58424775,2051.921013,0.7318818683400111,0,0,680.07099325,1200.0,1200.0,0,strict,15.2
0,2,4,Guard-age(1200),17634760,6234.492949,2803.62323725,2802.58424775,2605.014352,0.9291599232695724,0,0,147.27789775,1200.0,1200.0,0,strict,17.1
0,2,4,Fixed(1200),17634760,6234.492949,2803.62323725,2802.58424775,2603.665154,0.9286786895638183,0,0,137.987683,1200.0,1200.0,0,strict,16.4
