trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
validpre,"0,1",0.8,mean,SPJF-logvar,5.0,1.3992534478377356,0.8791621315702847,0.8299047602326064,0.9047890233483882,2.701753403582261
validpre,"0,1",1.0,p99dl,FCFS,4.0,254.88168584018894,0.0,0.0,0.0,208.6826523989434
validpre,"0,1",1.0,p99dl,SJF-ref,4.0,46.19903344124553,1.0,1.0,1.0,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-M4,4.0,79.79697913512577,0.8384879036897621,0.7976994633992179,0.8767007861917088,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-M4refit,4.0,80.04845645278688,0.8372489309929841,0.7962953142963952,0.8759354241367541,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-l2raw,4.0,86.2463296745716,0.807503518759126,0.7436877601101494,0.8607835475770944,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-tweedie,4.0,73.82800620093926,0.8672437875683376,0.8259044305647677,0.9013055683986948,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-gamma,4.0,75.70719048649062,0.8583110547341195,0.8189546037416021,0.8942690710449024,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-hurdle,4.0,74.91415610939262,0.8620842150422202,0.8185089208686556,0.8950102947354922,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-q50,4.0,93.6070982663333,0.7723104688476765,0.7229660125923238,0.8170007718178487,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-q90,4.0,85.27467897057494,0.8121559651176466,0.7626382718389845,0.8567043531427444,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-q99,4.0,82.43499329850053,0.8258239283334419,0.7716810421053736,0.8743545739578692,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-phv,4.0,74.91446954980472,0.8620343298799413,0.8169455499235574,0.8982107090490438,208.6826523989434
validpre,"0,1",1.0,p99dl,SPJF-logvar,4.0,75.84978425279243,0.8574702618758367,0.816922130059079,0.8935174950371457,208.6826523989434
validpre,"0,1",1.0,mean,FCFS,4.0,8.645251540264631,0.0,0.0,0.0,6.86330572028251
validpre,"0,1",1.0,mean,SJF-ref,4.0,1.7819458199821199,1.0,1.0,1.0,6.86330572028251
validpre,"0,1",1.0,mean,SPJF-M4,4.0,2.4995863095100566,0.8952628941166667,0.8616020365551937,0.9123879740651123,6.86330572028251
validpre,"0,1",1.0,mean,SPJF-M4refit,4.0,2.5006746678784024,0.8951072622141869,0.8618781375390351,0.9122249436447102,6.86330572028251
validpre,"0,1",1.0,mean,SPJF-l2raw,4.0,2.5540011598247343,0.8872663593700545,0.8469809884231213,0.9084862850155385,6.86330572028251
validpre,"0,1",1.0,mean,SPJF-tweedie,4.0,2.41810293998227,0.9071354372538092,0.8770767163975739,0.9235580059149251,6.86330572028251
