trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.2 - SPJF-M4,-0.1901687242138882,-0.2427123393407014,-0.1536117476624662,True,SPJF-M4 better,14.013916186988453,11.397772194817682,22.95311704299789
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.2 - SPJF-M4,0.0017771876059491376,-0.003996865515244699,0.007417682020023767,False,unresolved,11.37319814711815,11.397772194817682,-0.21560395557568632
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.2 - SPJF-M4,-0.01737105390023319,-0.03764620373198195,-0.0032382785759594137,True,SPJF-M4 better,11.636785538867164,11.397772194817682,2.097018083570369
primary,"0,1",0.5,p99dl,2CLASS-FCFS-tau0.4 - SPJF-M4,-0.18188771043440044,-0.22951817389166967,-0.14791816012627523,True,SPJF-M4 better,13.898819907382151,11.397772194817682,21.9433032158832
primary,"0,1",0.5,p99dl,2CLASS-SPJF-tau0.4 - SPJF-M4,0.0016356349816891713,-0.002150442756225046,0.0047394195056680065,False,unresolved,11.37549514696003,11.397772194817682,-0.19545089581435873
primary,"0,1",0.5,p99dl,2CLASS-TWEEDIE-tau0.4 - SPJF-M4,-0.012817916907224336,-0.03166971174487599,0.0003755938585947685,False,unresolved,11.57426298744982,11.397772194817682,1.548467451493594
primary,"0,1",0.5,mean,FCFS - SPJF-M4,-0.8778421136597526,-0.9086238503449096,-0.8057867235429885,True,SPJF-M4 better,0.5914931833440404,0.2325284961885692,154.37449303605717
primary,"0,1",0.5,mean,SJF-ref - SPJF-M4,0.12215788634024738,0.09137614965509047,0.19421327645701145,True,SJF-ref better,0.1825592378619212,0.2325284961885692,-21.489520272012335
primary,"0,1",0.5,mean,SPJF-tweedie - SPJF-M4,0.002385888533843583,-0.0013096453970490723,0.007980069448169843,False,unresolved,0.2315591558259656,0.2325284961885692,-0.41686949276853863
primary,"0,1",0.5,mean,ORACLE-on-true-heavy - SPJF-M4,0.09787827176185493,0.07201699082876829,0.15684867202151542,True,ORACLE-on-true-heavy better,0.19250501165666375,0.2325284961885692,-17.212292337472633
primary,"0,1",0.5,mean,ORACLE-on-true-light - SPJF-M4,0.059782999077639176,0.04714405061472066,0.0912029369129927,True,ORACLE-on-true-light better,0.2080915146990947,0.2325284961885692,-10.509241615555494
primary,"0,1",0.5,mean,ORACLE-top0.1pct-under - SPJF-M4,0.025000441759887138,0.018315508535391458,0.03644241636800957,True,ORACLE-top0.1pct-under better,0.2222965489475339,0.2325284961885692,-4.400298203768404
primary,"0,1",0.5,mean,ORACLE-top0.1pct-over - SPJF-M4,0.0030191579073496344,0.0007312015026345958,0.004791517183779778,True,ORACLE-top0.1pct-over better,0.2312977346773947,0.2325284961885692,-0.5292949171169117
primary,"0,1",0.5,mean,ORACLE-top1.0pct-under - SPJF-M4,0.09606637661661921,0.07009423883167007,0.154999601021447,True,ORACLE-top1.0pct-under better,0.19323843143189423,0.2325284961885692,-16.89688162985953
primary,"0,1",0.5,mean,ORACLE-top1.0pct-over - SPJF-M4,0.033287827778039625,0.024481125912442586,0.05262812841081083,True,ORACLE-top1.0pct-over better,0.21891890382083834,0.2325284961885692,-5.852870762426528
primary,"0,1",0.5,mean,SPJF-M4refit - SPJF-M4,4.213717443202203e-05,-0.0024695993559806784,0.0016079809805841893,False,unresolved,0.23250609862436017,0.2325284961885692,-0.009632180389132541
