trace,reps,rho,k,policy,p99_dl_s,mean_s,p99_s,max_heavy_s,p99_heavy_s,p99_exam_s,gain_p99dl,dgain_p99dl_vs_M4,gain_mean,dgain_mean_vs_M4
primary,"0,1,2,3,4",1.0,4,SJF-ref,43.6292,1.6955,34.912,4273.2,583.47,42.4651,"1.0000 [1.0000,1.0000]","+0.1033 [+0.0867,+0.1279]","1.0000 [1.0000,1.0000]","+0.0767 [+0.0652,+0.0988]"
primary,"0,1,2,3,4",1.0,4,SPJF-M4,67.2871,2.3519,43.406,4920.7,688.79,59.3398,"0.8967 [0.8721,0.9133]",,"0.9233 [0.9012,0.9348]",
primary,"0,1,2,3,4",1.0,4,SPJF-M4refit,67.3551,2.352,43.3999,4919.8,685.05,59.3305,"0.8964 [0.8713,0.9132]","-0.0003 [-0.0012,+0.0003] ns","0.9233 [0.9010,0.9348]","+0.0000 [-0.0004,+0.0004] ns"
primary,"0,1,2,3,4",1.0,4,SPJF-tweedie,62.9111,2.2915,41.7619,4912.0,671.78,57.7652,"0.9159 [0.8915,0.9289]","+0.0191 [+0.0111,+0.0238]","0.9304 [0.9092,0.9414]","+0.0071 [+0.0057,+0.0092]"
primary,"0,1,2,3,4",1.0,4,SPJF-gamma,64.0898,2.3207,42.193,4729.7,723.92,59.4193,"0.9108 [0.8861,0.9249]","+0.0140 [+0.0068,+0.0184]","0.9270 [0.9053,0.9385]","+0.0037 [+0.0026,+0.0054]"
primary,"0,1,2,3,4",1.0,4,SPJF-hurdle,63.3021,2.3114,41.7037,4906.0,694.32,55.5212,"0.9141 [0.8909,0.9267]","+0.0174 [+0.0082,+0.0223]","0.9280 [0.9061,0.9398]","+0.0047 [+0.0037,+0.0060]"
primary,"0,1,2,3,4",1.0,4,SPJF-phv,63.7439,2.3298,41.3622,4369.9,760.08,58.0465,"0.9122 [0.8860,0.9259]","+0.0155 [+0.0066,+0.0199]","0.9259 [0.9035,0.9376]","+0.0026 [+0.0016,+0.0039]"
primary,"0,1,2,3,4",1.0,4,SPJF-logvar,63.8213,2.3203,42.3704,4767.3,665.2,55.5476,"0.9119 [0.8880,0.9256]","+0.0151 [+0.0087,+0.0191]","0.9270 [0.9056,0.9381]","+0.0037 [+0.0030,+0.0048]"
primary,"0,1,2,3,4",1.0,4,SPJF-q99,66.4262,2.5091,42.8613,4547.9,788.78,57.2253,"0.9005 [0.8750,0.9156]","+0.0038 [-0.0050,+0.0097] ns","0.9049 [0.8787,0.9203]","-0.0183 [-0.0244,-0.0133]"
primary,"0,1,2,3,4",1.0,4,SPJF-q90,72.1355,2.4584,45.249,4941.3,661.39,62.8032,"0.8755 [0.8446,0.8947]","-0.0212 [-0.0297,-0.0156]","0.9109 [0.8846,0.9243]","-0.0124 [-0.0173,-0.0100]"
primary,"0,1,2,3,4",1.0,4,SPJF-q50,80.2669,2.5665,48.1362,4726.1,726.95,76.2378,"0.8402 [0.8081,0.8618]","-0.0565 [-0.0684,-0.0463]","0.8983 [0.8731,0.9122]","-0.0250 [-0.0292,-0.0218]"
primary,"0,1,2,3,4",1.0,4,SPJF-l2raw,69.4738,2.4272,43.3059,4922.1,685.21,55.0236,"0.8873 [0.8557,0.9064]","-0.0094 [-0.0194,-0.0043]","0.9145 [0.8891,0.9277]","-0.0088 [-0.0122,-0.0064]"
