trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
validpre,"0,1",0.8,p99dl,SPJF-phv - SPJF-M4,0.015998394913220748,0.006923103929622207,0.026046224627716018,True,SPJF-phv better,48.85985290288916,50.282449220120796,-2.8292104686546917
validpre,"0,1",0.8,p99dl,SPJF-logvar - SPJF-M4,0.012022331707923994,0.0035850960402105366,0.019709044391600542,True,SPJF-logvar better,49.21163552954785,50.282449220120796,-2.129597319106834
validpre,"0,1",0.8,mean,FCFS - SPJF-M4,-0.8756051651729203,-0.9013933649552512,-0.8258883493021514,True,SPJF-M4 better,3.774841244377865,1.4088626049283977,167.93537078583424
validpre,"0,1",0.8,mean,SJF-ref - SPJF-M4,0.12439483482707969,0.0986066350447488,0.17411165069784867,True,SJF-ref better,1.0730878407956044,1.4088626049283977,-23.833038293315926
validpre,"0,1",0.8,mean,SPJF-M4refit - SPJF-M4,-0.00012125611367608258,-0.0006131384422171648,0.000252298895697786,False,unresolved,1.4091864175170055,1.4088626049283977,0.022983972140013263
validpre,"0,1",0.8,mean,SPJF-l2raw - SPJF-M4,-0.011950850802476043,-0.020605735114653467,-0.006302833099841644,True,SPJF-M4 better,1.4410676391662436,1.4088626049283977,2.28588892381615
validpre,"0,1",0.8,mean,SPJF-tweedie - SPJF-M4,0.008492868711527435,0.004144755761049524,0.013883312664643283,True,SPJF-tweedie better,1.3859099110228101,1.4088626049283977,-1.6291648188613848
validpre,"0,1",0.8,mean,SPJF-gamma - SPJF-M4,0.0067418150993698855,0.003147626734614442,0.012003900769777679,True,SPJF-gamma better,1.3906175286137574,1.4088626049283977,-1.2950216898948421
validpre,"0,1",0.8,mean,SPJF-hurdle - SPJF-M4,0.007477730768576163,0.005069745553867658,0.009970901068242968,True,SPJF-hurdle better,1.3886779107797325,1.4088626049283977,-1.4326942938265466
validpre,"0,1",0.8,mean,SPJF-q50 - SPJF-M4,-0.02640038303038217,-0.031478157228434306,-0.021421239820143264,True,SPJF-M4 better,1.4801646272456273,1.4088626049283977,5.060963508280026
validpre,"0,1",0.8,mean,SPJF-q90 - SPJF-M4,-0.01962810557286998,-0.029156207167256882,-0.014440084520641914,True,SPJF-M4 better,1.461769859728609,1.4088626049283977,3.755316850282949
validpre,"0,1",0.8,mean,SPJF-q99 - SPJF-M4,-0.021746871367294696,-0.03337347163038516,-0.01227113634152813,True,SPJF-M4 better,1.4675816209591424,1.4088626049283977,4.1678312580188726
validpre,"0,1",0.8,mean,SPJF-phv - SPJF-M4,0.005455788743564338,0.0025560225784316856,0.008522538728303762,True,SPJF-phv better,1.3940745387204,1.4088626049283977,-1.0496457323990882
validpre,"0,1",0.8,mean,SPJF-logvar - SPJF-M4,0.0035569663973643584,0.0013024828639737307,0.005759165749164367,True,SPJF-logvar better,1.3992534478377356,1.4088626049283977,-0.6820506880548779
validpre,"0,1",1.0,p99dl,FCFS - SPJF-M4,-0.8384879036897621,-0.8767007861917088,-0.7976994633992179,True,SPJF-M4 better,254.88168584018894,79.79697913512577,219.4127003336556
validpre,"0,1",1.0,p99dl,SJF-ref - SPJF-M4,0.16151209631023788,0.12329921380829126,0.20230053660078204,True,SJF-ref better,46.19903344124553,79.79697913512577,-42.10428271599918
