trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
primary,"0,1",1.0,mean,ORACLE-top0.1pct-under,4.0,2.0739425265282194,0.9538197675150937,0.9326548038727358,0.9627747469593245,8.814437567854256
primary,"0,1",1.0,mean,ORACLE-top0.1pct-over,4.0,2.274581845356358,0.9309863865287756,0.9071029422310561,0.9419677944586393,8.814437567854256
primary,"0,1",1.0,mean,ORACLE-top1.0pct-under,4.0,1.7632121427121406,0.9891116807372304,0.983469250709643,0.9916277881882227,8.814437567854256
primary,"0,1",1.0,mean,ORACLE-top1.0pct-over,4.0,2.154024595643066,0.9446670881204573,0.9279368373625436,0.9528362439115744,8.814437567854256
primary,"0,1",1.0,mean,SPJF-M4refit,4.0,2.30735594998116,0.9272338355503192,0.9029642258439069,0.9385212902262997,8.814437567854256
primary,"0,1",1.0,mean,SPJF-l2raw,4.0,2.3827144643014844,0.9187258488678935,0.8914318411873724,0.9318548295357932,8.814437567854256
primary,"0,1",1.0,mean,SPJF-gamma,4.0,2.2773606922311407,0.9306897514817815,0.908443858830743,0.9416650218849866,8.814437567854256
primary,"0,1",1.0,mean,SPJF-hurdle,4.0,2.2665978265274216,0.9318971863918224,0.9083070490530839,0.9427569650069607,8.814437567854256
primary,"0,1",1.0,mean,SPJF-q50,4.0,2.529491917464351,0.9020368359255191,0.8749037944217904,0.9154068099160059,8.814437567854256
primary,"0,1",1.0,mean,SPJF-q90,4.0,2.4148872694219135,0.9150218411405094,0.8866877228003022,0.9286040383839069,8.814437567854256
primary,"0,1",1.0,mean,SPJF-q99,4.0,2.470425638341024,0.9087334885732717,0.8803234965177704,0.923680924200071,8.814437567854256
primary,"0,1",1.0,mean,SPJF-phv,4.0,2.2902164688623214,0.9292262505765383,0.9050274001939659,0.9406624125571651,8.814437567854256
primary,"0,1",1.0,mean,SPJF-logvar,4.0,2.2772561710685575,0.9307057408553359,0.9080518169706412,0.9413050043939503,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-FCFS-tau0.02,4.0,4.137591509941866,0.7194840352171172,0.6773552673013472,0.7467764444336905,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-SPJF-tau0.02,4.0,2.2677123930513994,0.9317610137778237,0.9083261245107107,0.9424610182933912,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-TWEEDIE-tau0.02,4.0,2.242898838475281,0.9345943575132004,0.9134156753884434,0.9446872562727904,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-FCFS-tau0.05,4.0,3.304815809387612,0.8138825669542776,0.7781236780037294,0.8315656993276177,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-SPJF-tau0.05,4.0,2.2899037511712725,0.9292429915114577,0.9054462768869268,0.9402505261832749,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-TWEEDIE-tau0.05,4.0,2.2469746779486055,0.9341321072397486,0.9126308258821458,0.9444496781185223,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-FCFS-tau0.1,4.0,3.182561698283191,0.8277927573441969,0.7900954205552856,0.8455264123456605,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-SPJF-tau0.1,4.0,2.2950015375213804,0.9286536993301708,0.9052991144565762,0.9395555983614421,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-TWEEDIE-tau0.1,4.0,2.25376587962184,0.9333554628439713,0.9118413547088465,0.9438421851264691,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-FCFS-tau0.2,4.0,3.132457276446193,0.8334767111753996,0.796762240151519,0.8507280369908575,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-SPJF-tau0.2,4.0,2.2981231410975678,0.9282889095293119,0.9042448558312453,0.9396695735519826,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-TWEEDIE-tau0.2,4.0,2.252018491165635,0.9335591916690005,0.9117212125428297,0.9440781246753261,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-FCFS-tau0.4,4.0,3.3713532678623412,0.8062394782471118,0.7671375913781745,0.8248511061795366,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-SPJF-tau0.4,4.0,2.302932901236225,0.9277296899253862,0.9038260570401664,0.9390516391883674,8.814437567854256
primary,"0,1",1.0,mean,2CLASS-TWEEDIE-tau0.4,4.0,2.251216987192791,0.9336259263494836,0.911152570881211,0.944202181426368,8.814437567854256
