trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
primary,"0,1,2,3,4",0.8,mean,SPJF-gamma,5.0,1.2449465425011998,0.9105014453712654,0.8784258521126607,0.9270365224470077,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-hurdle,5.0,1.2384295320306413,0.9125031210478202,0.8800089485583337,0.9290358136410267,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-q50,5.0,1.32313271818207,0.8860226247568932,0.85048161830633,0.9044727896959448,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-q90,5.0,1.30068009366927,0.8930718966646027,0.8529339147424609,0.91296758710649,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-q99,5.0,1.321324085651815,0.8865811862501045,0.8492642665067961,0.907621804121897,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-phv,5.0,1.2532762615259503,0.9078615781957378,0.8754275798074832,0.9249697681288034,3.2013337019303556
primary,"0,1,2,3,4",0.8,mean,SPJF-logvar,5.0,1.2451215036331305,0.9104272233113122,0.8770864412121399,0.9268332834656617,3.2013337019303556
primary,"0,1,2,3,4",1.0,p99dl,FCFS,4.0,273.4973870696509,0.0,0.0,0.0,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SJF-ref,4.0,43.62918621748691,1.0,1.0,1.0,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-M4,4.0,67.28707011371876,0.896742446805334,0.8720737068559842,0.9133352844014703,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-tweedie,4.0,62.91111044079092,0.9158820766619472,0.8914889377169091,0.9289090378319036,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-M4refit,4.0,67.35510936126124,0.896442844643698,0.8713174596682386,0.9132301912437584,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-l2raw,4.0,69.47378039449471,0.8872957871070491,0.8557282660002934,0.9063636113487838,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-gamma,4.0,64.08981396868866,0.9107886128661541,0.886059027215215,0.924865853730548,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-hurdle,4.0,63.30210053458826,0.9141311443967576,0.8908900320915428,0.9267044234902173,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-q50,4.0,80.26689796879914,0.8401985092469229,0.8081106412199731,0.8618314115114886,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-q90,4.0,72.13548556908987,0.8755134455971577,0.844573399082923,0.8946816364507743,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-q99,4.0,66.42623556315928,0.9005438082122377,0.8749849670656559,0.9155648186545545,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-phv,4.0,63.74386666461841,0.9121985594225903,0.8860269165420461,0.9258784350098789,229.868200852164
primary,"0,1,2,3,4",1.0,p99dl,SPJF-logvar,4.0,63.82130605086716,0.911876518610765,0.8879565647969764,0.9255842114953875,229.868200852164
primary,"0,1,2,3,4",1.0,mean,FCFS,4.0,10.270035976595123,0.0,0.0,0.0,8.574499077548646
primary,"0,1,2,3,4",1.0,mean,SJF-ref,4.0,1.6955368990464774,1.0,1.0,1.0,8.574499077548646
primary,"0,1,2,3,4",1.0,mean,SPJF-M4,4.0,2.351909288475506,0.9232748172687524,0.9011937910314922,0.9348212208209656,8.574499077548646
primary,"0,1,2,3,4",1.0,mean,SPJF-tweedie,4.0,2.2915314740908803,0.9303628356882605,0.9092259879484084,0.9414396681518162,8.574499077548646
primary,"0,1,2,3,4",1.0,mean,SPJF-M4refit,4.0,2.351996571012399,0.9232754975567268,0.9009570825408684,0.934829773048789,8.574499077548646
primary,"0,1,2,3,4",1.0,mean,SPJF-l2raw,4.0,2.4271824194168183,0.9145112953915019,0.8891483923213735,0.9277485570083636,8.574499077548646
primary,"0,1,2,3,4",1.0,mean,SPJF-gamma,4.0,2.3207037835542055,0.9269516413938972,0.9053303712803845,0.9385202009194779,8.574499077548646
