pool,queue,queue_name,segment,policy,n_dispatch,n_forced,fired_fraction,fired_fraction_queue_weighted,scope
CE2,1,test,1,Age-5L,19058,52,0.002728512960436562,0.02491034215372686,"whole segment, FCFS prefix included"
CE2,1,test,1,Constant-10L,19058,4,0.000209885612341274,0.0027318850006504487,"whole segment, FCFS prefix included"
CE2,1,test,1,Age-10L,19058,16,0.000839542449365096,0.00973846203954011,"whole segment, FCFS prefix included"
CE2,2,short,0,FCFS,1954,1954,1.0,1.0,"whole segment, FCFS prefix included"
CE2,2,short,0,SJF,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,SPJF-E,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,Constant-3.5L,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,Age-3.5L,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,Constant-5L,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,Age-5L,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,Constant-10L,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,0,Age-10L,1954,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,FCFS,10092,10092,1.0,1.0,"whole segment, FCFS prefix included"
CE2,2,short,1,SJF,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,SPJF-E,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,Constant-3.5L,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,Age-3.5L,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,Constant-5L,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,Age-5L,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,Constant-10L,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,2,short,1,Age-10L,10092,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,FCFS,1617,1617,1.0,1.0,"whole segment, FCFS prefix included"
CE2,3,long,0,SJF,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,SPJF-E,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,Constant-3.5L,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,Age-3.5L,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,Constant-5L,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,Age-5L,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,Constant-10L,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,0,Age-10L,1617,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,FCFS,6939,6939,1.0,1.0,"whole segment, FCFS prefix included"
CE2,3,long,1,SJF,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,SPJF-E,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,Constant-3.5L,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,Age-3.5L,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
