scope,queue_name,policy,n,n_busy,mean,p99,p99_busy,max_excess,harm,heavy_p99,overall_p99_lo,overall_p99_hi,overall_mean_lo,overall_mean_hi,busy_p99_lo,busy_p99_hi,busy_mean_lo,busy_mean_hi,mean_reduction,mean_gap,p99_reduction,p99_gap,p99_busy_reduction,p99_busy_gap,mean_gap_lo,mean_gap_hi,mean_gap_valid,mean_reduction_lo,mean_reduction_hi,mean_reduction_valid,p99_gap_lo,p99_gap_hi,p99_gap_valid,p99_reduction_lo,p99_reduction_hi,p99_reduction_valid,p99_busy_gap_lo,p99_busy_gap_hi,p99_busy_gap_valid,p99_busy_reduction_lo,p99_busy_reduction_hi,p99_busy_reduction_valid
day,day,Constant-5L,18236,18036,766004.5240732617,4285366.45,4286020.000000001,463348.0,19451.0,4364777.56,3745472.955249999,4374574.5359999975,335980.3440651557,1217596.3292954487,3746354.8665000005,4449096.273999987,339917.92692713934,1230278.7059399749,0.2538181681132653,0.28804799592218516,-0.06769383650757188,,-0.06781128060868258,,0.10325004868067363,0.5948575682668622,2000,0.08989278790188088,0.49251710015297573,2000,-3.4481332008932437,-0.009504505658819733,669,-0.07707627510602287,-0.0018561059676544343,2000,-5.246160207448909,-0.010013063975321698,658,-0.07708777789847437,-0.0021445462296870153,2000
day,day,Age-5L,18236,18036,765254.1240951964,4285368.8,4286022.700000001,463339.0,19451.0,4364776.8,3745476.729749999,4374573.5359999975,334080.2778930497,1218125.1805149936,3746358.8165,4449095.273999987,337954.8000701797,1230851.6297686908,0.25454914921413796,0.2888775568741396,-0.06769442200721221,,-0.06781195328180556,,0.10424028840011516,0.5950448837319098,2000,0.09054820585897191,0.4949873713254944,2000,-3.448156237542791,-0.009503717846167442,669,-0.07707679349407308,-0.0018563126419315387,2000,-5.24608915107461,-0.010012899202638226,658,-0.07708782090710953,-0.0021444710397724135,2000
day,day,Constant-10L,18236,18036,622030.9417635447,4933475.550000001,4934123.65,1075657.0,19451.0,4957729.56,3325218.3705,4955366.088,290393.9688523665,991642.1702947582,3325616.442,4955575.642,293382.6956699855,1004631.2194517719,0.39406599696405864,0.4472095970526493,-0.22916943014192026,,-0.229278653246622,,0.1522571896313442,0.6669022935679723,2000,0.1260143647038042,0.5829342386448593,2000,-11.58673580730181,3.4251985974077814,669,-0.27155086892076424,0.16395917225546702,2000,-14.712771063736271,3.522365465720493,658,-0.27154233762186575,0.16004240856342847,2000
day,day,Age-10L,18236,18036,622521.3442092565,4933477.000000001,4934124.65,1076086.0,19451.0,4957725.04,3324918.5080000004,4955359.16,290738.6904598086,991800.1006824594,3325323.632,4955575.94,293662.6904964553,1004227.0582325706,0.39358828517019473,0.4466674612162993,-0.22916979140765603,,-0.22927890238481563,,0.1528681059572993,0.6658184413398154,2000,0.12635173450491627,0.5813684696026568,2000,-11.586757163463275,3.4262015304058644,669,-0.2715517442606879,0.16405917229985248,2000,-14.71304543016501,3.5221249844542664,658,-0.27154321295573325,0.16006049437405465,2000
infinite,infinite,FCFS,21773,16948,1132.719055711202,36081.679999999964,49337.959999994375,0.0,0.0,40410.51,0.0,83027.88000000037,0.7152480712343291,2811.7689266706634,0.0,101046.426,0.8438509177248422,3592.353818515451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975,0.0,0.0,1999,0.0,0.0,1657,0.0,0.0,1795,0.0,0.0,1684,0.0,0.0,1850
infinite,infinite,SJF,21773,16948,850.3826757911174,18876.23999999999,39674.5799999999,91405.0,14161.0,82587.3,0.0,78833.55924999999,0.7113113861416188,2191.81916238708,0.0,80105.65,0.8432709624297295,2791.4601309643263,0.24925543407832362,1.0,0.4768469760831533,1.0,0.19586095574270956,1.0,1.0,1.0,1975,0.022037879124123316,0.46089460948409433,1999,1.0,1.0,1657,-0.03559837037367552,0.9253525503731728,1795,1.0,1.0,1684,-0.01410675335131463,0.9374829129506287,1850
infinite,infinite,SPJF-E,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
infinite,infinite,Constant-3.5L,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
infinite,infinite,Age-3.5L,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
infinite,infinite,Constant-5L,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
infinite,infinite,Age-5L,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
infinite,infinite,Constant-10L,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
infinite,infinite,Age-10L,21773,16948,1005.2131539062141,32545.679999999993,39447.83999999997,84213.0,0.0,64765.239999999925,0.0,80336.386,0.7126236145058555,2482.4217281127344,0.0,82396.06999999988,0.8434642808614338,3193.7102185770555,0.11256621945406453,0.45160989115564376,0.09799987140288302,0.20551639481466188,0.20045660582633607,1.0234638397744953,0.13791200248049404,0.8509094400905998,1975,0.014691919416082213,0.1802427453755953,1999,-0.08154828364541095,1.8153555648703803,1657,-0.0032666678250595125,0.6781467895012644,1795,-0.14444967142865778,2.0127713565396057,1684,-0.010603063590312763,0.6489068410591781,1850
CE1|test,test,FCFS,19135,11671,697.200679383329,16710.66,16194.699999999993,0.0,0.0,21039.72,4183.926,22021.40975000002,161.48826499183565,1642.8573596654242,4241.98999999998,21492.109,193.3213025877791,2185.6753106377814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,1674,0.0,0.0,2000,0.0,0.0,1250,0.0,0.0,2000
CE1|test,test,SJF,19135,11671,421.7999477397439,8712.779999999995,12183.199999999793,112805.0,1539.0,42331.59999999999,1679.6599999999896,31553.825999999997,87.89105839722097,1074.0609690006277,2118.6789999999996,46034.86299999713,100.39557982335911,1728.1632587226404,0.39500927033974753,1.0,0.4786094624628833,1.0,0.24770449591534283,1.0,1.0,1.0,2000,0.30549647926266543,0.5966220192997523,2000,1.0,1.0,1674,-0.5220050077041603,0.7382876138903126,2000,1.0,1.0,1250,-1.266615413859472,0.6368488488775581,2000
CE1|test,test,SPJF-E,19135,11671,511.9805069244839,11145.079999999958,15631.299999999723,77467.0,25.0,47230.47999999995,2443.412999999998,43328.0,106.98898405837475,1282.9520188799186,2795.26674999993,52291.0,133.27696718654784,1970.7472685977282,0.26566263908789,0.6725478590904804,0.3330556662633338,0.6958819087058119,0.03478915941636895,0.1404462171258239,0.6169053765898221,0.7628050222445473,2000,0.19345055868701444,0.4426174663105518,2000,-3.535190755233527,0.9272856823716363,1674,-1.0630922200455628,0.6632749530952083,2000,-7.7709715676875675,0.9123516256704938,1250,-1.464409532153557,0.518050538420246,2000
CE1|test,test,Constant-3.5L,19135,11671,542.4651162790698,15834.879999999997,16036.29999999992,3129.0,25.0,21597.639999999996,3624.6179999999677,21501.201249999904,117.40377910663132,1326.984358247955,4067.8919999999985,22395.842500000002,144.6381357575887,1868.2000855941683,0.22193834240253774,0.5618560349524164,0.052408462622063,0.10950151790224434,0.0097809777272857,0.03948647638042286,0.5299215223843243,0.6210978295322814,2000,0.17853412313740674,0.3265406048032746,2000,-0.5834124290579747,0.48636123924121694,1674,-0.06818644931168724,0.2968384538688068,2000,-1.2620869915500548,0.620707157854395,1250,-0.10191416447574474,0.21658783993879077,2000
CE1|test,test,Age-3.5L,19135,11671,540.602090410243,15834.879999999997,16036.29999999992,3082.0,25.0,21597.639999999996,3542.0479999999775,21501.201249999904,116.35990206576633,1324.8292373141492,3815.294000000025,22395.842500000002,143.57174937572967,1863.533501637355,0.22461049394214117,0.5686208167948911,0.052408462622063,0.10950151790224434,0.0097809777272857,0.03948647638042286,0.5439666946101598,0.6236822738249044,2000,0.17883532134715696,0.33702334295133846,2000,-0.5834124290579747,0.5029236026633855,1674,-0.06801023577145877,0.30320215593587546,2000,-1.2620869915500548,0.6283176887917189,1250,-0.10191416447574474,0.21976282384760257,2000
CE1|test,test,Constant-5L,19135,11671,531.879174287954,16141.579999999998,16385.399999999892,4444.0,25.0,22445.92,3343.4244999999573,22049.005499999963,112.99292367878635,1318.4709950241684,3779.638499999994,22816.285750000006,138.3589380820369,1833.3631781056254,0.23712183591329994,0.6002943569130703,0.03405490866309302,0.0711538557717797,-0.011775457402724232,-0.04753832730895908,0.5774095144286712,0.6584048033534574,2000,0.183738292482271,0.36711585576594347,2000,-1.204026904376784,0.5122734403008755,1674,-0.1260064996780705,0.347965507675372,2000,-1.0090187980957355,0.5615661646924912,1250,-0.12307833601744124,0.22908386043072068,2000
CE1|test,test,Age-5L,19135,11671,533.6741573033707,16141.579999999998,16385.399999999892,4338.0,25.0,22445.92,3049.99175,22049.005499999963,115.92014675292648,1318.7103700902483,3554.993,22816.285750000006,139.22014297110675,1841.8677388652688,0.23454727873271253,0.5937766435987145,0.03405490866309302,0.0711538557717797,-0.011775457402724232,-0.04753832730895908,0.5713102219763005,0.6354103126723284,2000,0.18185010882739908,0.3608188835751638,2000,-1.1635610303675237,0.5339847464808403,1674,-0.12554398291516264,0.33452127641131935,2000,-1.207213081122973,0.5769462052421032,1250,-0.12507507581291527,0.24047244213976438,2000
CE1|test,test,Constant-10L,19135,11671,522.0279069767441,18122.859999999975,18378.499999999967,8726.0,25.0,25648.039999999994,2679.9587500000002,25190.944000000003,109.64494805948382,1306.456056656955,3075.007749999999,25640.85149999999,135.17663266678483,1829.2518059694596,0.25125158019284266,0.6360650219088304,-0.08450893022776929,-0.17657179152475086,-0.13484658561134033,-0.5443848934313511,0.5874297360629267,0.7108871706641531,2000,0.1857610127969034,0.4173749455912087,2000,-2.528852688611827,0.670002054880305,1674,-0.26963903466438954,0.45161182652053444,2000,-6.921955052727565,0.6264966998584038,1250,-0.2691779336273588,0.30419727252606127,2000
CE1|test,test,Age-10L,19135,11671,521.3067677031618,18113.33999999997,18358.899999999947,8765.0,25.0,25648.039999999994,2837.4770000000153,25190.944000000003,110.08018997809133,1303.501804781671,3076.3565000000012,25640.85149999999,134.18194828527686,1818.0630484868273,0.25228591549242985,0.6386835308331844,-0.08393923399793723,-0.17538147609116045,-0.13363631311478175,-0.539498940545892,0.5933463682960104,0.7098864525615873,2000,0.18711782263627966,0.41594324631966706,2000,-2.548963717150568,0.6296924034723073,1674,-0.26963903466438954,0.43454854087708905,2000,-5.638413182247836,0.6231656196140105,1250,-0.25758974752120906,0.3165586307297005,2000
CE1|short,short,FCFS,10019,3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0
CE1|short,short,SJF,10019,3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0
CE1|short,short,SPJF-E,10019,3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0
