pool,queue,queue_name,segment,policy,k,L,checked,test_checked,violations,worst_ratio,test_worst_ratio,max_excess_s,theoretical_max_s,identity_worst_ratio
CE2,4,day,1,Age-3.5L,12,129600,8035,8004,0,0.3429585537918871,0.3429585537918871,155566.0,453600.0,0.28619914421997755
CE2,4,day,1,Constant-5L,12,129600,8035,8004,0,0.5310370370370371,0.5310370370370371,344112.0,648000.0,0.28619914421997755
CE2,4,day,1,Age-5L,12,129600,8035,8004,0,0.5337839506172839,0.5337839506172839,345892.0,648000.0,0.28619914421997755
CE2,4,day,1,Constant-10L,12,129600,8035,8004,0,0.7790432098765432,0.7790432098765432,1009640.0,1296000.0,0.28619914421997755
CE2,4,day,1,Age-10L,12,129600,8035,8004,0,0.7440486111111111,0.7440486111111111,964287.0,1296000.0,0.28619914421997755
CE2,5,infinite,0,Constant-3.5L,43,259200,898,0,0,0.0,0.0,0.0,907200.0,0.0
CE2,5,infinite,0,Age-3.5L,43,259200,898,0,0,0.0,0.0,0.0,907200.0,0.0
CE2,5,infinite,0,Constant-5L,43,259200,898,0,0,0.0,0.0,0.0,1296000.0,0.0
CE2,5,infinite,0,Age-5L,43,259200,898,0,0,0.0,0.0,0.0,1296000.0,0.0
CE2,5,infinite,0,Constant-10L,43,259200,898,0,0,0.0,0.0,0.0,2592000.0,0.0
CE2,5,infinite,0,Age-10L,43,259200,898,0,0,0.0,0.0,0.0,2592000.0,0.0
CE2,5,infinite,1,Constant-3.5L,43,259200,9137,8967,0,0.09282738095238095,0.09282738095238095,84213.0,907200.0,0.17868638852145796
CE2,5,infinite,1,Age-3.5L,43,259200,9137,8967,0,0.09282738095238095,0.09282738095238095,84213.0,907200.0,0.17868638852145796
CE2,5,infinite,1,Constant-5L,43,259200,9137,8967,0,0.06497916666666667,0.06497916666666667,84213.0,1296000.0,0.17868638852145796
CE2,5,infinite,1,Age-5L,43,259200,9137,8967,0,0.06497916666666667,0.06497916666666667,84213.0,1296000.0,0.17868638852145796
CE2,5,infinite,1,Constant-10L,43,259200,9137,8967,0,0.032489583333333336,0.032489583333333336,84213.0,2592000.0,0.17868638852145796
CE2,5,infinite,1,Age-10L,43,259200,9137,8967,0,0.032489583333333336,0.032489583333333336,84213.0,2592000.0,0.17868638852145796
