trace,reps,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi,fcfs,sjf
k1,0,0,0.8,1.0,mean,SPJF-M4,2.520453425980268,0.8625300882978044,0.7977630045962606,0.9037368876867082,61.773739618339185,54.381571206369635,67.64996989853998,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-M4refit,2.522364259937197,0.8621254411831207,0.7969947570990772,0.903509368974647,61.74475910410679,54.342065502543534,67.63237841628258,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-tweedie,2.444924789040828,0.8785243848732359,0.8184080663445181,0.9173169180551553,62.91923880200137,55.780589141215664,68.58693017167202,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-tweedie_itr,2.449687087481216,0.8775158983345824,0.815542830543142,0.9171529812496862,62.847011773990864,55.64502245189219,68.60277043720468,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-r1s,2.422091170105604,0.8833597385607811,0.8339113143428439,0.9148688061295347,63.265543103392716,56.803566582550175,68.43314144581822,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIX-G300,3.0711186397761243,0.7459186532167451,0.6874605127847419,0.807932686033579,53.42211858511319,48.0289502195159,57.4573825519151,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIXSEL-G300,4.473230403498366,0.44900092386785695,0.38139279766414097,0.5433322028435469,32.157099834214954,27.5334021076762,37.47227343682308,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,CAP-G300,3.201721373137058,0.7182616090069879,0.6596824875564795,0.780730633308907,51.44134241184588,46.10147352799154,55.651485388700976,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SKIP-G300,6.284088464757614,0.06552517133951628,0.05497048249793212,0.08313542026624164,4.69286222902961,4.03194047646517,5.63470679050351,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SKIPC-G300,6.338369238568362,0.05403042140289108,0.04527932245244265,0.06858900444342225,3.8696171049501347,3.3225379236699957,4.658694268993029,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIX-G600,2.6920292555566845,0.8261963900527097,0.7764322439211229,0.8651908466233317,59.171548175727345,53.41193673532732,63.545943561136376,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIXSEL-G600,3.3812457788972274,0.680244683181111,0.611230885698567,0.7602863755161462,48.71859950824228,43.011583848916196,53.40075526855794,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,CAP-G600,2.700261260976861,0.8244531421743397,0.7734963183274336,0.8631436318934742,59.04669810731851,53.14447798451583,63.47621276819761,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SKIP-G600,6.044066256402093,0.116353394126145,0.09744948538144109,0.146841303187306,8.333140339072822,7.134210338786302,9.933795884719734,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SKIPC-G600,6.088679557267687,0.1069058733688803,0.0895771147776033,0.13499795382254312,7.6565161897056155,6.561002295252422,9.13814259740293,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIX-G1200,2.55301811048647,0.8556340387597307,0.8058347168863715,0.8888696502408148,61.279849869633914,55.179109745103794,65.96687434595637,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,FIXSEL-G1200,3.3812457788972274,0.680244683181111,0.611230885698567,0.7602863755161462,48.71859950824228,43.011583848916196,53.40075526855794,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,CAP-G1200,2.5468938746860768,0.8569309355085482,0.8064608716695013,0.8905515410659062,61.372732614433495,55.219299493361376,66.19705249575061,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SKIP-G1200,5.677179298588403,0.1940470882098232,0.16144054707083783,0.24372993539319351,13.897502780948525,11.854130133386487,16.574425978580223,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SKIPC-G1200,5.70903891744563,0.1873003466634175,0.15591408677632843,0.23539470881349955,13.41430635543902,11.443003352082274,15.992954958215211,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-reversed,11.414471649858797,-1.0209087103404932,-1.1324275873537282,-0.9040571882250112,-73.11669436497804,-80.4666908028442,-62.868225161448805,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,CAP-G600-reversed,10.411266211072666,-0.8084652456597128,-0.8763728153454938,-0.7426169938297185,-57.90165729107453,-61.67328424196256,-52.44378214181917,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-random,5.144068945248264,0.3069410241296808,0.25124304497286376,0.3484364293490241,21.98287939171192,17.3841641808759,25.737875721563174,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,CAP-G600-random,5.549352884826151,0.22111620602703733,0.17612843995915572,0.27600475839130845,15.836172119474126,12.711453870833441,19.530254466297354,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,SPJF-top1short,9.871801916480257,-0.694225769492741,-0.7435186594012546,-0.638538834925941,-49.71991412568431,-53.261606841317594,-44.537028239008414,6.59351294323696,1.8712898318150275
k1,0,0,0.8,1.0,mean,CAP-G600-top1short,9.562698297286882,-0.6287685448127536,-0.6798600267330576,-0.5776202950567545,-45.031918184000055,-47.972714736342226,-40.83170601763559,6.59351294323696,1.8712898318150275
