trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,0,mean,gain,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,0.6579408702101712,0.6005767392516373,0.6888982272203151,True,CAP-G300 better
primary,0,mean,red_pct,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,45.01023805575999,37.939809756555576,49.06093344401623,True,CAP-G300 better
primary,0,mean,gain,SKIP-G300 - SKIPC-G300,"finite skip: dispatch vs completion charge, G = 300 s",0.018776901165610704,0.015720403321497534,0.02410847502012312,True,SKIP-G300 better
primary,0,mean,red_pct,SKIP-G300 - SKIPC-G300,"finite skip: dispatch vs completion charge, G = 300 s",1.2841982486331434,1.1135868522636945,1.5107718377900623,True,SKIP-G300 better
primary,0,mean,gain,CAP-G600 - FIXSEL-G600,"capped relative vs the BEST FEASIBLE fixed budget, G = 600 s",0.06247252713080531,0.04092361238340364,0.07167272711029161,True,CAP-G600 better
primary,0,mean,red_pct,CAP-G600 - FIXSEL-G600,"capped relative vs the BEST FEASIBLE fixed budget, G = 600 s",4.270819444861274,2.6312564419136444,5.137397036068456,True,CAP-G600 better
primary,0,mean,gain,CAP-G600 - FIX-G600,capped relative vs B0 = Bmax at G = 600 s,-0.005330330293940033,-0.00998599601124871,0.0015432430956758805,False,unresolved
primary,0,mean,red_pct,CAP-G600 - FIX-G600,capped relative vs B0 = Bmax at G = 600 s,-0.3652011524961978,-0.7126341162650627,0.09547170593824497,False,unresolved
primary,0,mean,gain,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-0.038104104781627623,-0.05058881877609614,-0.012938988989319047,True,SPJF-tweedie better
primary,0,mean,red_pct,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-2.60665508453404,-3.619947444408999,-0.8602298903669637,True,SPJF-tweedie better
primary,0,mean,gain,SKIP-G600 - SPJF-tweedie,finite skip vs unguarded at G = 600 s,-0.6747686345303803,-0.7301692972001718,-0.5583732914975487,True,SPJF-tweedie better
primary,0,mean,red_pct,SKIP-G600 - SPJF-tweedie,finite skip vs unguarded at G = 600 s,-46.15052479630495,-52.4758285294371,-35.302896938249795,True,SPJF-tweedie better
primary,0,mean,gain,CAP-G600 - SKIP-G600,capped relative vs finite skip at G = 600 s,0.6366645297487528,0.5421156221577985,0.6830300184399019,True,CAP-G600 better
primary,0,mean,red_pct,CAP-G600 - SKIP-G600,capped relative vs finite skip at G = 600 s,43.54386971177091,34.37972397132399,48.98943221187766,True,CAP-G600 better
primary,0,mean,gain,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s",0.010507008379227856,0.009215057096044043,0.012629044756024856,True,SKIP-G600 better
primary,0,mean,red_pct,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s",0.718651929337323,0.6482941943171165,0.8021781893942149,True,SKIP-G600 better
primary,0,mean,gain,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s",0.09937336634271321,0.05456674266529678,0.11914709252600963,True,CAP-G1200 better
primary,0,mean,red_pct,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s",6.795709620395918,3.5550565006439836,8.563864520938255,True,CAP-G1200 better
primary,0,mean,gain,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,0.0003009784653252856,-0.00034854517870525623,0.001051083904786192,False,unresolved
primary,0,mean,red_pct,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,0.0207259050424895,-0.024768490936584973,0.07467244450258971,False,unresolved
primary,0,mean,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.0012032655697197248,-0.002398406829394617,0.00022246824251187505,False,unresolved
primary,0,mean,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.08176490899939637,-0.17063069621926594,0.017309895611134222,False,unresolved
primary,0,mean,gain,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-0.5670183416844665,-0.632943151402358,-0.431162466676763,True,SPJF-tweedie better
primary,0,mean,red_pct,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-38.78298909643024,-45.52122045769524,-27.359442055640134,True,SPJF-tweedie better
primary,0,mean,gain,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,0.5658150761147468,0.43001921309110636,0.6323153227276102,True,CAP-G1200 better
