rep,level,k,policy,G,guard,B0_base,eta,gap,red_pct,harm,w_p99_dl,used_over_allowed,feasible_cell
0,1,5.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6808287757743084,48.49824940176752,93.85171066224576,67.27526289105414,0.6922261062761148,True
0,2,4.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.41024297155692135,33.39545261284668,102.76180040836334,165.56351554095738,0.7285611254473527,True
1,0,8.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6511329913922219,37.189635080331584,97.26567715406418,18.41691637337197,0.5894837461908659,True
1,1,5.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6859192983523816,48.36372686541832,108.279980301857,62.38211891919366,0.745950777878364,True
1,2,4.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.4500471861544015,37.04872127601243,101.31037984788418,164.42022719174605,0.7339354166885217,True
2,0,8.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.680716993085402,40.73641579272079,78.19726796448231,15.520643724501124,0.5855879565576713,True
2,1,5.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6969428826637941,45.88586250040329,83.60618667304516,59.00292537391182,0.7552700351675351,True
2,2,4.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.5072742171359389,39.954176736593794,122.74050185084344,127.5737163424492,0.7151475141942502,True
3,0,7.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6374448029363154,35.59157062336439,77.57711873948574,26.36806024283165,0.6079029535750547,True
3,1,5.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6564471989601495,43.96498938434467,118.61548906564713,61.556070028543374,0.6584493495027224,True
3,2,4.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.4512260733446669,35.40093525993272,101.37370198965073,137.76574214190234,0.758712367862463,True
4,0,8.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6522526671520146,38.86473499836838,60.43549634516239,17.195880934297932,0.6016652532915274,True
4,1,5.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.6913537358854603,48.447583500691096,118.7818543612957,61.65235330671063,0.6878698857625326,True
4,2,4.0,CAP-G300-B30-e0.5,300.0,cap,30.0,0.5,0.44390271550102134,36.59722722424692,102.61996580660345,166.2698193606734,0.7496588703989983,True
0,0,7.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7129109037054326,40.01203180421456,113.65981650352478,28.080566305518104,0.5970649142066637,True
0,1,5.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7379264365571893,52.56555191811068,109.25693210959436,61.96226201504464,0.694062733501196,True
0,2,4.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.4009140460553462,32.636039993699825,152.54721115529537,167.45123984664602,0.768763140141964,False
1,0,8.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.697014864113583,39.810190521181305,99.05699920654295,17.64853124350304,0.615531037847201,True
1,1,5.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7289003837452047,51.394295445878065,162.51916015148163,58.72086921811096,0.7546521072586377,False
1,2,4.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.43458798590389913,35.7760911633237,212.0439104884863,167.7441649496554,0.733934753437837,False
2,0,8.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7179399949216061,42.96396658880115,78.19726796448231,14.937266550362107,0.6047963693241278,True
2,1,5.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7407470981969095,48.769878193637915,115.59111542999744,55.85836148381228,0.7223865306874117,True
2,2,4.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.5245339036868238,41.313592499464065,177.5186180472374,124.68549345701902,0.7257477126518885,False
3,0,7.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.6997674193918172,39.071338275075014,107.9756747931242,24.9434839263558,0.6698806381225586,True
3,1,5.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7244310006018361,48.51814632098596,143.56573197245598,56.55429624170064,0.6807882682482401,True
3,2,4.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.4875507147086725,38.25078448902456,180.3527988940477,131.68807529613375,0.7880653869112333,False
4,0,8.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7055470072199043,42.04029948121736,128.5838993936777,16.30267095565796,0.6350622053941091,True
4,1,5.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.7311653431445261,51.2374377632272,133.95971193909645,58.315922304093824,0.7215905729432901,True
4,2,4.0,CAP-G300-B30-e0.75,300.0,cap,30.0,0.75,0.42946620945968395,35.40702028594802,181.6889922916889,169.39106286421398,0.7495372845232486,False
0,0,7.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7179189370953217,40.293107027263204,154.44414149224758,27.948994064033016,0.5970649142066637,False
0,1,5.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7352178840952703,52.372610524488586,142.10291789472103,62.214295835792825,0.7463292368749778,True
0,2,4.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.3718736818307276,30.272035794816205,183.2804838567972,173.32760807186196,0.7285611254473527,False
1,0,8.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7007239434263605,40.02203557887261,102.80850364267826,17.58641517847774,0.615531037847201,True
1,1,5.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7260222925104179,51.19136309114284,176.57035683095455,58.96603312164541,0.7546521072586377,False
1,2,4.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.41434488774159517,34.10964167835601,212.0439104884863,172.0967056521773,0.733934753437837,False
2,0,8.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7211627177680257,43.156825264565065,100.60345348715782,14.886758454441996,0.6047963693241278,True
2,1,5.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7427726419497633,48.90323750391132,154.71835179626942,55.7129542058706,0.7223865306874117,False
2,2,4.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.5061256487662184,39.86371264027727,184.184159129858,127.76591690421073,0.7263094958662987,False
3,0,7.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7040750025081658,39.311851097511266,161.05593724548817,24.84502078026528,0.6698806381225586,False
3,1,5.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7225368895494529,48.3912898541708,143.94394198060036,56.69365171730514,0.680786178757747,True
