trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,p99dl,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.14848928356510852,-0.18499874066529853,-0.10371246947636949,True,SPJF-random better
k1,0,p99dl,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-11.807341589199787,-15.046653229534622,-7.761624322205543,True,SPJF-random better
k1,0,p99dl,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,0.0154573207367944,-0.08035786644861335,0.09826148845286778,False,unresolved
k1,0,p99dl,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,1.2291113648826126,-6.523158448392598,7.597039032047547,False,unresolved
k1,0,mean,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.0159942965754315,0.011039404327404126,0.022252242038658006,True,SPJF-tweedie better
k1,0,mean,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,1.1454991836621815,0.8023490536350405,1.5327855035982632,True,SPJF-tweedie better
k1,0,mean,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",-0.0004046471146836872,-0.0012625544018101454,0.00018760505061115863,False,unresolved
k1,0,mean,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",-0.028980514232394228,-0.08862534792432353,0.013368743220840605,False,unresolved
k1,0,mean,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.004835353687545174,-0.0033973748638361583,0.01628481685944574,False,unresolved
k1,0,mean,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.34630430139134916,-0.250920452230239,1.10598453546821,False,unresolved
k1,0,mean,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.00584384022619866,-0.0034137831516566548,0.018671438324546052,False,unresolved
k1,0,mean,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.41853132940185134,-0.25206482646512607,1.2810428369667648,False,unresolved
k1,0,mean,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",0.26926068513913093,0.2226545725486702,0.30530840207832427,True,CAP-G300 better
k1,0,mean,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",19.284242577630927,14.989737983979479,22.847416008738826,True,CAP-G300 better
k1,0,mean,gain,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-0.02765704420975723,-0.03499114485886662,-0.021365684822982168,True,FIX-G300 better
k1,0,mean,red_pct,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-1.9807761732673086,-2.4422456606385636,-1.5143500544251536,True,FIX-G300 better
k1,0,mean,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.16026277586624804,-0.20246982725841475,-0.10188742684769497,True,SPJF-tweedie better
k1,0,mean,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-11.477896390155486,-15.047653098965572,-6.960941318979738,True,SPJF-tweedie better
k1,0,mean,gain,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-0.8129992135337196,-0.8568197697630494,-0.7512183085983742,True,SPJF-tweedie better
k1,0,mean,red_pct,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-58.22637657297176,-64.16149024507949,-50.91491292224797,True,SPJF-tweedie better
k1,0,mean,gain,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,0.6527364376674716,0.5975056151175808,0.7069686946599214,True,CAP-G300 better
k1,0,mean,red_pct,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,46.74848018281627,41.57388649510922,50.86171062307908,True,CAP-G300 better
k1,0,mean,gain,SKIP-G300 - SKIPC-G300,"finite skip: dispatch vs completion charge, G = 300 s",0.011494749936625206,0.0096462518578765,0.014568467038124972,True,SKIP-G300 better
