level,k,policy,tau,B,n_jobs,w_mean,w_p99_dl,w_p95_dl,w_max,gap_p99dl,gap_mean,max_excess,max_excess_light,max_excess_heavy,p99_excess,mean_excess,max_excess_wf0,waste_s,waste_frac,n_killed,delta_max,guar_thmA,guar_waste_corrected,forced_frac,qw_forced_frac,secs
2,4,TFCFS-t2,2.0,-1,17634760,13.6076311151047,377.5766143642418,85.8456083200872,1737.6316420435905,-0.5196906335301407,-0.4153208104994371,387.0014114715159,385.55116141214967,387.0014114715159,108.50003790855408,3.508972417647119,385.25372019410133,320760.0,0.04550587271805218,160380,1576.0,nan,nan,0.0,0.0,0.8
2,4,TIER-blind-t2,2.0,-1,17634760,2.5043801253347184,52.33378626704217,20.050613794475794,3072.139123469591,0.9570786020616197,0.8988562907677335,1542.2260373830795,56.86729884520173,1542.2260373830795,5.322267767041943,-7.594278572122864,550.0227156095207,320760.0,0.04550587271805218,160380,1576.0,nan,nan,0.0,0.0,1.1
2,4,TIER-blind-t2+guard,2.0,600.0,17634760,7.470736685088927,249.25197556913093,23.72590859979391,1886.0352243632078,0.06296903601501003,0.31103997700788466,536.9161836970598,322.21122908592224,536.9161836970598,21.50964929357186,-2.6279220123686544,534.377651868388,320760.0,0.04550587271805218,160380,1576.0,300.0,694.0,0.0004644526539268587,0.01888877130947824,1.5
2,4,TIER-pred-t2,2.0,-1,17634760,2.190026136992597,53.19109328091153,18.264089930802584,3078.7687295377254,0.9531859885612814,0.9360631244736319,1540.309891924262,771.2142727077007,1540.309891924262,8.68526936933399,-7.9086325604649845,550.2056124955416,320760.0,0.04550587271805218,160380,1576.0,nan,nan,0.0,0.0,1.2
2,4,TIER-pred-t2+guard,2.0,600.0,17634760,6.051226936881226,131.32499796897437,20.838673375546932,1887.5291573517025,0.598417991446502,0.47905267957930825,537.1748077701777,535.9232554957271,537.1748077701777,16.03473762854935,-4.047431760576356,533.9763744920492,320760.0,0.04550587271805218,160380,1576.0,300.0,694.0,0.004029808138626614,0.3432767387853654,1.9
2,4,TIER-skip-t2+guard,2.0,600.0,17634760,5.933116458225713,128.45486638173463,20.871459171175957,1862.012902379036,0.6114498607576037,0.4930321966245223,506.7090925425291,505.35481919534504,506.7090925425291,15.544028514474652,-4.165542239231868,502.4001771993935,309056.0,0.04384543895358004,154528,1454.0,300.0,663.5,0.003927475905724839,0.336381183060723,1.8
2,4,TFCFS-t5,5.0,-1,17634760,16.931926232339023,432.23064383864426,109.23008625209332,1921.8927525766194,-0.7678479558640926,-0.8087832770282708,741.2509767431766,737.5467032063752,741.2509767431766,177.92715729773045,6.83326753488144,737.244732901454,573540.0,0.08136749669133199,114708,3325.0,nan,nan,0.0,0.0,0.8
2,4,TIER-blind-t5,5.0,-1,17634760,2.788755058653827,55.799473044276255,22.193157968111336,3637.1736801564693,0.9413426067661694,0.8651977680623855,2098.714842543006,58.11258925870061,2098.714842543006,10.536554168611785,-7.309903638803755,1055.7623425088823,573540.0,0.08136749669133199,114708,3325.0,nan,nan,0.0,0.0,0.9
2,4,TIER-blind-t5+guard,5.0,600.0,17634760,9.885771586502706,334.25103498604375,27.740711618214846,2067.1244336739182,-0.3229702842630064,0.025197247781716316,891.3461507353932,691.4995185434818,891.3461507353932,68.4829265922308,-0.21288711095487595,875.6582621484995,573540.0,0.08136749669133199,114708,3325.0,300.0,1131.25,0.00030141748473813413,0.011771183791444768,1.4
2,4,TIER-pred-t5,5.0,-1,17634760,2.1987539880383946,52.56669902503511,17.97460736706853,3641.439601305872,0.9560210586944281,0.9350300989211856,2102.980763692409,925.0799709707499,2102.980763692409,13.97132029414177,-7.899904709419188,1046.4635771848261,573540.0,0.08136749669133199,114708,3325.0,nan,nan,0.0,0.0,1.2
2,4,TIER-pred-t5+guard,5.0,600.0,17634760,7.512815780348609,205.84213535264524,21.429982654750347,2076.0746056884527,0.26007197269990967,0.30605950926170267,895.5423548668623,894.8917560279369,895.5423548668623,29.035100280195476,-2.585842917108973,891.4588635712862,573540.0,0.08136749669133199,114708,3325.0,300.0,1131.25,0.004918119236024426,0.3798649836589371,1.8
2,4,TIER-skip-t5+guard,5.0,600.0,17634760,7.512815780348609,205.84213535264524,21.429982654750347,2076.0746056884527,0.26007197269990967,0.30605950926170267,895.5423548668623,894.8917560279369,895.5423548668623,29.035100280195476,-2.585842917108973,891.4588635712862,573540.0,0.08136749669133199,114708,3325.0,300.0,1131.25,0.004918119236024426,0.3798649836589371,2.0
2,4,TFCFS-t10,10.0,-1,17634760,22.893570980288786,576.0967208445126,148.9677528180182,2210.522932037711,-1.421073725085507,-1.5144015703428828,1234.1007275935262,1226.7562995608896,1234.1007275935262,358.181858452037,12.794912282831204,1226.3021628558636,854040.0,0.12116172694888791,85404,5990.0,nan,nan,0.0,0.0,0.9
2,4,TIER-blind-t10,10.0,-1,17634760,3.506340734269802,69.00334954261818,25.92881925776601,4590.623984079808,0.8813902360486294,0.7802645657092445,3069.0021589696407,57.55841201543808,3069.0021589696407,18.412127499133348,-6.592317963187781,2068.53993097879,854040.0,0.12116172694888791,85404,5870.0,nan,nan,0.0,0.0,1.0
2,4,TIER-blind-t10+guard,10.0,600.0,17634760,14.778379938877265,484.8552072890139,43.94224455580115,2356.287471856922,-1.0067904616669487,-0.5538902526344429,1385.1065527647734,1187.705549677834,1385.1065527647734,246.81419792693123,4.679721241419682,1367.92974826321,854040.0,0.12116172694888791,85404,5870.0,300.0,1767.5,0.0004224001538586212,0.00946020381951249,1.7
2,4,TIER-pred-t10,10.0,-1,17634760,2.472008209195925,54.85428708642721,19.04750571027398,4592.658842138946,0.9456342357396073,0.9026878200156033,3070.3735345173627,941.2645783722401,3070.3735345173627,21.32149787798526,-7.626650488261658,2066.5139775648713,854040.0,0.12116172694888791,85404,5910.0,nan,nan,0.0,0.0,1.3
2,4,TIER-pred-t10+guard,10.0,600.0,17634760,10.585065456405781,362.86098472792685,25.214863810688257,2360.66369978711,-0.4528741282857031,-0.05757094251947069,1384.3134663663805,1376.8513882234693,1384.3134663663805,93.1467161722485,0.4864067589481989,1376.4832564666867,854040.0,0.12116172694888791,85404,5910.0,300.0,1777.5,0.006978603584030035,0.4265707643523979,1.9
2,4,TIER-skip-t10+guard,10.0,600.0,17634760,10.585065456405781,362.86098472792685,25.214863810688257,2360.66369978711,-0.4528741282857031,-0.05757094251947069,1384.3134663663805,1376.8513882234693,1384.3134663663805,93.1467161722485,0.4864067589481989,1376.4832564666867,854040.0,0.12116172694888791,85404,5910.0,300.0,1777.5,0.006978603584030035,0.4265707643523979,1.9
