level,predictor,policy,k,guar_excess_max,guar_excess_at0,gap_p99dl,gap_mean,w_p99_dl,max_excess,max_excess_wf0,max_heavy,qw_forced_frac,used_over_allowed,bound_viol
2,random,FCFS,4,inf,inf,0.0,0.0,263.1202407404795,0.0,0.0,1542.7545313090086,1.0,,-1
2,reversed,FIX-B600,4,300.0,300.0,-0.5601896562609909,-0.5239538493792383,386.4960964137688,232.5841229259968,209.1441995203495,1716.2163930907843,0.6023935088886091,0.7752804097533226,0
2,reversed,CAP-B30-e0.5-M600,4,300.0,300.0,-0.5473787693820813,-0.441531956210726,383.6746338734416,234.3089869618416,116.13805459439754,1716.2149654999375,0.6599273355691218,0.7810299565394719,0
2,reversed,SKIP-N10,4,300.0,300.0,-0.3266613362040951,-0.3341563868031144,335.06395019516395,185.81532436609268,147.28075566887856,1673.277781728655,0.921206178744836,0.6193844145536422,0
2,reversed,FIX-B1200,4,450.0,450.0,-0.9144497400210048,-0.6869326491308829,464.5181385494769,381.6194973923266,342.1650450825691,1859.8028989695013,0.4944808428046249,0.8480433275385035,0
2,reversed,CAP-B30-e0.9-M1200,4,450.0,450.0,-0.9145392720093616,-0.6827694943024928,464.53785702437233,381.6195759139955,335.8187081515789,1859.8023871295156,0.4986540841300607,0.8480435020311011,0
2,reversed,CAP-B120-e0.75-M1200,4,450.0,450.0,-0.9088438418458727,-0.6754348393521824,463.28349867984673,381.61949709430337,278.31064109504223,1859.80241490528,0.5036592421679726,0.8480433268762297,0
2,reversed,SKIP-N20,4,450.0,450.0,-0.5033774247783702,-0.4557965145123888,373.9838024191584,332.9867935180664,239.51490020751956,1752.8376524597406,0.9044609775405068,0.7399706522623698,0
2,reversed,FIX-B3600,4,1050.0,1050.0,-1.3229717614406022,-0.9241164162798317,554.4907993987208,971.0782525092364,937.4496736526488,2205.8566753417253,0.255787896198896,0.9248364309611776,0
2,reversed,CAP-B30-e0.9-M3600,4,1050.0,1050.0,-1.1721759677681478,-0.9039836319656896,521.2796183846893,971.0802934914828,397.5711307823658,2205.8579160124063,0.2721717173003421,0.924838374753793,0
2,reversed,REL-B120-e0.5,4,1904.6027066111565,360.0,-0.5567308556113926,-0.7088045032466552,385.7343320988121,1638.7073134034872,162.52668105065823,2532.2121918946505,0.429439866240807,0.8736950464477762,0
2,reversed,REL-B30-e0.75,4,5263.808119833469,630.0,-0.7585228164302603,-0.8607491996896885,430.1768803603951,4238.86279386282,224.9882994890213,2534.1928183585405,0.1401210413870584,0.8987039209199218,0
2,reversed,SPJF,4,inf,inf,-1.1711578054069731,-1.0189492749824929,521.0553788773719,6295.652136847377,5248.835615858436,2654.8303687423468,0.0,,-1
2,reversed,SJF-ref,4,inf,inf,1.0,1.0,42.88080166056759,4755.4670400470495,1101.479383572936,5299.532429710031,0.0,,-1
2,reversed,FCFS,4,inf,inf,0.0,0.0,263.1202407404795,0.0,0.0,1542.7545313090086,1.0,,-1
2,top1short,FIX-B600,4,300.0,300.0,-0.5473165706298662,-0.379006434992491,383.6609352551423,238.60704271495345,215.1455683410168,1499.4236208349466,0.5785709994379814,0.7953568090498447,0
2,top1short,CAP-B30-e0.5-M600,4,300.0,300.0,-0.5431686018447166,-0.3425611509775905,382.7473889365799,221.04019503295424,120.3275177180767,1499.4234178364277,0.6264610884957058,0.7368006501098474,0
2,top1short,SKIP-N10,4,300.0,300.0,-0.208021148363338,-0.2259284522534224,308.9347017727802,183.99735322594643,131.9652795344591,1529.216224566102,0.9031111908112452,0.6133245107531548,0
2,top1short,FIX-B1200,4,450.0,450.0,-0.8895980461754709,-0.4817511760100241,459.0448154367508,377.3340898603201,343.28556299209595,1421.7574504166842,0.4700248642209068,0.8385201996896002,0
2,top1short,CAP-B30-e0.9-M1200,4,450.0,450.0,-0.8903087255500636,-0.4818047434501289,459.2013350635768,377.32713028788567,327.7812673151493,1421.757091164589,0.4728343885341813,0.8385047339730792,0
2,top1short,CAP-B120-e0.75-M1200,4,450.0,450.0,-0.8889592664433185,-0.4796465408611465,458.904130946846,377.3316482901573,291.63808810710907,1421.7568458914757,0.4770650435393446,0.8385147739781273,0
2,top1short,SKIP-N20,4,450.0,450.0,-0.3263332727629841,-0.3182821057468269,334.99169768691104,285.39693684875965,207.5457000732422,1513.4215934425592,0.8888783377353576,0.6342154152194659,0
2,top1short,FIX-B3600,4,1050.0,1050.0,-1.0976753039676652,-0.588102368741483,504.87163397819,975.2358212769032,930.5216052532196,1911.6758668869732,0.2036139221700805,0.9287960202637172,0
2,top1short,CAP-B30-e0.9-M3600,4,1050.0,1050.0,-1.0263041056714015,-0.5847779633854143,489.1528812989597,975.2360276579856,357.74523240327835,1911.6732626110315,0.2143204944259188,0.9287962168171292,0
2,top1short,REL-B120-e0.5,4,1904.6027066111565,360.0,-0.552633494739703,-0.5027486308691247,384.8319316387232,1638.8173759132624,165.68885795772076,2046.9962582439184,0.3279877895691527,0.8733261903533441,0
2,top1short,REL-B30-e0.75,4,5263.808119833469,630.0,-0.7195584447496113,-0.5431024755885222,421.5953889973477,4192.697000667453,218.81125028431416,3967.818844519556,0.1164099694615177,0.8915697407907931,0
2,top1short,SPJF,4,inf,inf,-0.9472689970184364,-0.5894671520605658,471.74623330161074,6103.656880766153,3405.355299219489,5965.185222942382,0.0,,-1
2,top1short,SJF-ref,4,inf,inf,1.0,1.0,42.88080166056759,4755.4670400470495,1101.479383572936,5299.532429710031,0.0,,-1
2,top1short,FCFS,4,inf,inf,0.0,0.0,263.1202407404795,0.0,0.0,1542.7545313090086,1.0,,-1
