guar = guaranteed worst-case per-job excess over FCFS on this trace (max_i bound_i - W_fcfs[i]);
guar@0 = the same bound for a job FCFS would not have delayed; harm = observed max excess over
FCFS among jobs with W_fcfs <= 1 s; gap = fraction of the FCFS->true-SJF gap closed on deadline-window p99;
qwF = share of queue-weighted dispatches forced to a guarded job; used = observed excess / allowed excess.
P1 marks the Pareto front on (guar, gap), P2 on (harm, gap).

=== rep0, predictor M4, level 0: k = 8, busy-hour rho = 0.5294, FCFS p99_dl = 22.2 s, true-SJF p99_dl = 8.3 s ===
policy                     guar   guar@0    gap gapMean   p99_dl   maxExc    harm maxHeavy   qwF%  used  P1 P2
CAP-B120-e0.5-M1200       450.0    360.0  0.624   0.640   125.62    358.4   163.3   1842.8  16.12 0.796  0  0
CAP-B30-e0.75-M1200       450.0    450.0  0.688   0.648   111.60    374.5   171.7   1842.8  15.92 0.832  0  0
CAP-B120-e0.75-M1200      450.0    450.0  0.699   0.650   109.21    359.1   216.8   1842.8  15.68 0.798  0  0
CAP-B30-e0.9-M1200        450.0    450.0  0.702   0.646   108.57    368.3   239.4   1842.9  16.15 0.818  0  0
FIX-B1200                 450.0    450.0  0.708   0.653   107.12    370.7   312.6   1842.9  15.68 0.824  1  0
FIX-B1800                 600.0    600.0  0.788   0.723    89.47    514.0   457.7   1992.9   9.78 0.857  1  0
REL-B30-e0.25             724.9    210.0  0.375   0.512   180.56    550.0    85.5   2065.3  25.38 0.801  0  1
REL-B120-e0.25            754.9    240.0  0.463   0.581   161.05    580.0    91.2   2095.7  19.06 0.809  0  1
SKIP-N50                  900.0    900.0 -0.004   0.081   263.95    105.0    63.9   1545.5  83.08 0.117  0  0
REL-B600-e0.25            914.9    400.0  0.750   0.720    97.99    743.7   240.5   2264.2   8.73 0.853  0  0
CAP-B120-e0.5-M3600      1050.0    360.0  0.727   0.767   102.92    952.8   163.3   2456.5   4.31 0.907  0  0
CAP-B30-e0.75-M3600      1050.0    630.0  0.809   0.799    84.93    958.5   171.7   2441.4   2.52 0.913  0  0
CAP-B120-e0.75-M3600     1050.0    720.0  0.829   0.808    80.52    980.9   216.8   2441.4   1.91 0.934  0  0
CAP-B600-e0.5-M3600      1050.0    600.0  0.834   0.820    79.46    977.5   315.5   2463.6   2.23 0.931  0  0
CAP-B30-e0.9-M3600       1050.0   1050.0  0.838   0.823    78.58    958.1   237.9   2449.9   1.77 0.913  0  0
FIX-B3600                1050.0   1050.0  0.843   0.818    77.50    958.1   483.2   2457.9   1.91 0.913  1  0
REL-B1800-e0.25          1314.9    800.0  0.840   0.830    78.02   1145.0   483.2   2659.3   1.43 0.885  0  0
REL-B30-e0.5             1859.6    315.0  0.693   0.760   110.54   1606.0    91.4   3103.4   6.61 0.865  0  1
REL-B120-e0.5            1904.6    360.0  0.735   0.795   101.16   1654.8   163.3   3166.4   3.24 0.870  0  1
FIX-B7200                1950.0   1950.0  0.867   0.876    72.28   1856.1   483.2   3296.2   0.26 0.952  1  0
REL-B600-e0.5            2144.6    600.0  0.842   0.859    77.72   1875.1   315.5   3406.3   0.88 0.879  0  0
REL-B1800-e0.5           2744.6   1200.0  0.865   0.892    72.61   2469.9   483.2   3940.5   0.18 0.907  0  0
REL-B30-e0.75            5263.8    630.0  0.844   0.889    77.32   4029.7   171.7   5339.8   1.38 0.885  0  1
REL-B120-e0.75           5353.8    720.0  0.863   0.899    73.01   4125.5   216.8   5435.9   0.55 0.887  0  1
REL-B600-e0.75           5833.8   1200.0  0.882   0.914    68.78   4288.3   483.2   5598.6   0.09 0.888  1  0
REL-B1800-e0.75          7033.8   2400.0  0.887   0.920    67.77   4888.9   483.2   5927.9   0.02 0.891  1  0
REL-B30-e0.9            15476.4   1575.0  0.881   0.917    69.09   4888.9   237.9   5927.9   0.24 0.709  0  1
REL-B120-e0.9           15701.4   1800.0  0.886   0.919    68.01   4883.2   381.9   5925.3   0.10 0.758  0  1
REL-B600-e0.9           16901.4   3000.0  0.890   0.922    67.05   4889.0   483.2   5927.8   0.01 0.789  1  0
REL-B1800-e0.9          19901.4   6000.0  0.892   0.924    66.57   5882.9   483.2   6264.1   0.00 0.761  1  1
FCFS                          -        -  0.000   0.000   263.12      0.0     0.0   1542.8 100.00     -  0  0
SPJF                          -        -  0.892   0.924    66.57   5882.9   483.2   6264.1   0.00     -  0  0
SJF-ref                       -        -  1.000   1.000    42.88   4755.5  1101.5   5299.5   0.00     -  0  0


=== rep0, adversarial predictors (selected designs) ===

-- level 0 (k=8), predictor random: FCFS p99_dl 22.2 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  240.0   0.574    14.21    151.0    133.2    518.9  13.39 0.629
CAP-B30-e0.5-M600         240.0   0.469    15.66    130.0    124.9    519.0  14.51 0.542
SKIP-N10                  240.0  -0.003    22.22     60.6     60.6    435.4  48.04 0.252
FIX-B1200                 315.0   0.620    13.57    211.4    211.4    603.3   7.86 0.671
CAP-B30-e0.9-M1200        315.0   0.621    13.57    211.4    211.4    603.3   8.03 0.671
CAP-B120-e0.75-M1200      315.0   0.620    13.58    211.4    211.4    603.2   8.04 0.671
SKIP-N20                  315.0  -0.010    22.31     61.2     61.2    435.6  44.59 0.194
FIX-B3600                 615.0   0.660    13.02    495.4    478.9    891.1   1.83 0.806
CAP-B30-e0.9-M3600        615.0   0.652    13.14    495.5    351.2    891.1   2.13 0.806
REL-B120-e0.5             795.0   0.585    14.06    517.4    133.2    913.3   4.59 0.659
REL-B30-e0.75            1980.1   0.613    13.68    873.1    211.9   1175.0   2.63 0.586
SPJF                          -   0.670    12.89   1307.7   1250.2   1379.1   0.00     -
SJF-ref                       -   1.000     8.31   1034.0    595.9   1185.9   0.00     -
FCFS                          -   0.000    22.17      0.0      0.0    435.0 100.00     -

-- level 0 (k=8), predictor reversed: FCFS p99_dl 22.2 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  240.0  -0.927    35.02    149.8    124.3    538.6  29.17 0.624
CAP-B30-e0.5-M600         240.0  -0.837    33.77    142.6     93.2    538.6  32.01 0.594
SKIP-N10                  240.0  -0.502    29.13    111.1     88.3    532.9  53.59 0.463
FIX-B1200                 315.0  -0.853    33.99    214.0    196.6    619.6  23.78 0.679
CAP-B30-e0.9-M1200        315.0  -0.864    34.14    214.0    196.6    619.6  23.92 0.679
CAP-B120-e0.75-M1200      315.0  -0.869    34.22    214.0    195.8    619.6  24.06 0.679
SKIP-N20                  315.0  -0.624    30.82    159.5    142.6    570.6  52.60 0.506
FIX-B3600                 615.0  -0.809    33.39    509.3    475.0    851.8  12.97 0.828
CAP-B30-e0.9-M3600        615.0  -0.832    33.70    506.5    400.9    852.6  13.79 0.824
REL-B120-e0.5             795.0  -0.934    35.12    511.9    124.7    836.9  19.73 0.666
REL-B30-e0.75            1980.1  -0.860    34.09    834.0    157.3    881.0  10.04 0.604
SPJF                          -  -0.798    33.22   1217.6    812.2    996.7   0.00     -
SJF-ref                       -   1.000     8.31   1034.0    595.9   1185.9   0.00     -
FCFS                          -   0.000    22.17      0.0      0.0    435.0 100.00     -

-- level 0 (k=8), predictor top1short: FCFS p99_dl 22.2 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  240.0  -0.592    30.37    151.4    129.5    442.4  27.29 0.631
CAP-B30-e0.5-M600         240.0  -0.592    30.38    144.6    109.7    442.7  28.94 0.603
SKIP-N10                  240.0  -0.417    27.95    101.1     82.0    431.5  49.49 0.421
FIX-B1200                 315.0  -0.521    29.39    215.2    189.6    535.4  22.32 0.683
CAP-B30-e0.9-M1200        315.0  -0.535    29.58    215.2    189.6    535.4  22.42 0.683
CAP-B120-e0.75-M1200      315.0  -0.541    29.66    215.2    189.6    535.4  22.58 0.683
SKIP-N20                  315.0  -0.504    29.16    139.8    116.9    428.8  48.40 0.444
FIX-B3600                 615.0  -0.490    28.96    523.5    480.4    847.7  10.97 0.851
CAP-B30-e0.9-M3600        615.0  -0.514    29.29    523.5    377.9    847.7  11.54 0.851
REL-B120-e0.5             795.0  -0.622    30.79    511.9    129.6    770.5  17.60 0.667
REL-B30-e0.75            1980.1  -0.549    29.79    829.2    154.1   1171.8   9.91 0.591
SPJF                          -  -0.482    28.85   1325.3    809.4   1170.7   0.00     -
SJF-ref                       -   1.000     8.31   1034.0    595.9   1185.9   0.00     -
FCFS                          -   0.000    22.17      0.0      0.0    435.0 100.00     -

-- level 1 (k=5), predictor random: FCFS p99_dl 109.7 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  276.0  -0.019   111.11    196.6    183.3   1153.4  34.66 0.712
CAP-B30-e0.5-M600         276.0   0.054   105.60    187.9    131.0   1153.4  36.56 0.681
SKIP-N10                  276.0   0.003   109.46     75.7     75.7   1030.7  83.09 0.274
FIX-B1200                 396.0   0.264    89.76    313.9    313.9   1273.7  23.44 0.793
CAP-B30-e0.9-M1200        396.0   0.255    90.43    313.9    313.9   1273.7  23.56 0.793
CAP-B120-e0.75-M1200      396.0   0.237    91.79    304.0    291.4   1273.7  23.72 0.768
SKIP-N20                  396.0   0.008   109.12     85.3     85.3   1030.8  79.67 0.215
FIX-B3600                 876.0   0.413    78.50    787.6    759.3   1748.2   6.44 0.899
CAP-B30-e0.9-M3600        876.0   0.392    80.07    787.3    417.5   1748.2   6.87 0.899
REL-B120-e0.5            1383.8   0.210    93.84   1126.3    164.6   2079.6  11.75 0.814
REL-B30-e0.75            3719.5   0.351    83.21   2319.8    246.5   3063.5   4.49 0.805
SPJF                          -   0.453    75.46   3319.4   3257.9   3311.2   0.00     -
