design,k,n,L,max_excess,max_allowed,used_over_allowed
cap B0=1 eps=.5 Bmax=1,2,8,4.0,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,8,4.0,0.0,11.0,0.0
skip N=2 (work channel off),2,8,4.0,0.0,12.0,0.0
skip N=5 (work channel off),2,8,4.0,0.0,18.0,0.0
fixed B=0,3,2,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,2,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,2,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,2,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,2,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,2,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,2,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,2,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,2,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,2,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,2,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,2,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,2,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,2,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,2,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,2,4.0,0.0,16.0,0.0
fixed B=0,3,2,3.0,0.0,7.0,0.0
fixed B=1,3,2,3.0,0.0,7.333333333333333,0.0
fixed B=4,3,2,3.0,0.0,8.333333333333334,0.0
rel B0=0 eps=.5,3,2,3.0,0.0,8.4,0.0
rel B0=1 eps=1,3,2,3.0,0.0,11.0,0.0
rel B0=0 eps=2,3,2,3.0,0.0,21.0,0.0
qlen B0=0 gam=1,3,2,3.0,0.0,7.0,0.0
qlen B0=1 gam=.5 eps=.5,3,2,3.0,0.0,8.8,0.0
thresh B=1 th=1 N=2,3,2,3.0,0.0,8.0,0.0
thresh B=0 th=.5 N=3 eps=1,3,2,3.0,0.0,11.25,0.0
cap B0=1 eps=1 Bmax=3,3,2,3.0,0.0,8.0,0.0
cap B0=0 eps=2 Bmax=2,3,2,3.0,0.0,7.666666666666667,0.0
cap B0=1 eps=.5 Bmax=1,3,2,3.0,0.0,7.333333333333333,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,2,3.0,0.0,9.0,0.0
skip N=2 (work channel off),3,2,3.0,0.0,9.666666666666666,0.0
skip N=5 (work channel off),3,2,3.0,0.0,13.666666666666666,0.0
fixed B=0,2,6,2.5,0.0,5.0,0.0
fixed B=1,2,6,2.5,0.0,5.5,0.0
fixed B=4,2,6,2.5,0.0,7.0,0.0
rel B0=0 eps=.5,2,6,2.5,0.0,7.166666666666666,0.0
rel B0=1 eps=1,2,6,2.5,0.0,12.5,0.0
qlen B0=0 gam=1,2,6,2.5,0.0,5.5,0.0
qlen B0=1 gam=.5 eps=.5,2,6,2.5,0.0,8.166666666666666,0.0
thresh B=1 th=1 N=2,2,6,2.5,0.0,6.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,6,2.5,0.0,13.0,0.0
cap B0=1 eps=1 Bmax=3,2,6,2.5,0.0,6.5,0.0
cap B0=1 eps=.5 Bmax=1,2,6,2.5,0.0,5.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,6,2.5,0.0,8.0,0.0
skip N=2 (work channel off),2,6,2.5,0.0,9.0,0.0
skip N=5 (work channel off),2,6,2.5,0.0,15.0,0.0
fixed B=0,1,2,1.5,0.0,1.5,0.0
fixed B=1,1,2,1.5,0.0,2.5,0.0
fixed B=4,1,2,1.5,0.0,5.5,0.0
rel B0=0 eps=.5,1,2,1.5,0.0,3.5,0.0
qlen B0=0 gam=1,1,2,1.5,0.0,1.5,0.0
qlen B0=1 gam=.5 eps=.5,1,2,1.5,0.0,5.5,0.0
thresh B=1 th=1 N=2,1,2,1.5,0.0,4.5,0.0
cap B0=1 eps=.5 Bmax=1,1,2,1.5,0.0,2.5,0.0
skip N=2 (work channel off),1,2,1.5,0.0,9.5,0.0
skip N=5 (work channel off),1,2,1.5,0.0,21.5,0.0
fixed B=0,3,9,4.0,0.0,9.333333333333334,0.0
fixed B=1,3,9,4.0,0.0,9.666666666666666,0.0
fixed B=4,3,9,4.0,0.0,10.666666666666666,0.0
rel B0=0 eps=.5,3,9,4.0,0.0,11.2,0.0
rel B0=1 eps=1,3,9,4.0,0.0,14.5,0.0
rel B0=0 eps=2,3,9,4.0,0.0,28.0,0.0
qlen B0=0 gam=1,3,9,4.0,0.0,9.666666666666666,0.0
qlen B0=1 gam=.5 eps=.5,3,9,4.0,0.0,11.8,0.0
thresh B=1 th=1 N=2,3,9,4.0,0.0,10.333333333333334,0.0
thresh B=0 th=.5 N=3 eps=1,3,9,4.0,0.0,14.75,0.0
cap B0=1 eps=1 Bmax=3,3,9,4.0,0.0,10.333333333333334,0.0
cap B0=0 eps=2 Bmax=2,3,9,4.0,0.0,10.0,0.0
cap B0=1 eps=.5 Bmax=1,3,9,4.0,0.0,9.666666666666666,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,9,4.0,0.0,11.333333333333334,0.0
skip N=2 (work channel off),3,9,4.0,0.0,12.0,0.0
skip N=5 (work channel off),3,9,4.0,0.0,16.0,0.0
fixed B=0,2,2,4.0,0.0,8.0,0.0
fixed B=1,2,2,4.0,0.0,8.5,0.0
fixed B=4,2,2,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,2,4.0,0.0,10.666666666666666,0.0
rel B0=1 eps=1,2,2,4.0,0.0,17.0,0.0
qlen B0=0 gam=1,2,2,4.0,0.0,8.0,0.0
qlen B0=1 gam=.5 eps=.5,2,2,4.0,0.0,11.333333333333334,0.0
thresh B=1 th=1 N=2,2,2,4.0,0.0,9.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,2,4.0,0.0,17.5,0.0
cap B0=1 eps=1 Bmax=3,2,2,4.0,0.0,9.5,0.0
cap B0=1 eps=.5 Bmax=1,2,2,4.0,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,2,4.0,0.0,11.0,0.0
skip N=2 (work channel off),2,2,4.0,0.0,12.0,0.0
skip N=5 (work channel off),2,2,4.0,0.0,18.0,0.0
fixed B=0,2,4,4.0,0.0,8.0,0.0
fixed B=1,2,4,4.0,0.0,8.5,0.0
fixed B=4,2,4,4.0,0.0,10.0,0.0
rel B0=0 eps=.5,2,4,4.0,0.0,10.666666666666666,0.0
rel B0=1 eps=1,2,4,4.0,0.0,17.0,0.0
qlen B0=0 gam=1,2,4,4.0,0.0,8.0,0.0
qlen B0=1 gam=.5 eps=.5,2,4,4.0,0.0,11.333333333333334,0.0
thresh B=1 th=1 N=2,2,4,4.0,0.0,9.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,4,4.0,0.0,17.5,0.0
cap B0=1 eps=1 Bmax=3,2,4,4.0,0.0,9.5,0.0
cap B0=1 eps=.5 Bmax=1,2,4,4.0,0.0,8.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,4,4.0,0.0,11.0,0.0
skip N=2 (work channel off),2,4,4.0,0.0,12.0,0.0
skip N=5 (work channel off),2,4,4.0,0.0,18.0,0.0
fixed B=0,1,6,4.0,0.0,4.0,0.0
fixed B=1,1,6,4.0,1.5,5.0,0.3
fixed B=4,1,6,4.0,1.5,8.0,0.1875
rel B0=0 eps=.5,1,6,4.0,2.5,12.5,0.2631578947368421
qlen B0=0 gam=1,1,6,4.0,1.5,6.0,0.3
qlen B0=1 gam=.5 eps=.5,1,6,4.0,1.5,16.5,0.0967741935483871
thresh B=1 th=1 N=2,1,6,4.0,1.5,7.0,0.21428571428571427
cap B0=1 eps=.5 Bmax=1,1,6,4.0,1.5,5.0,0.3
skip N=2 (work channel off),1,6,4.0,1.5,12.0,0.125
skip N=5 (work channel off),1,6,4.0,1.5,24.0,0.0625
fixed B=0,1,8,4.0,0.0,4.0,0.0
fixed B=1,1,8,4.0,0.5,5.0,0.1
fixed B=4,1,8,4.0,0.5,8.0,0.0625
rel B0=0 eps=.5,1,8,4.0,0.5,16.0,0.05
qlen B0=0 gam=1,1,8,4.0,0.0,7.0,0.0
qlen B0=1 gam=.5 eps=.5,1,8,4.0,0.5,20.0,0.041666666666666664
thresh B=1 th=1 N=2,1,8,4.0,0.5,7.0,0.07142857142857142
cap B0=1 eps=.5 Bmax=1,1,8,4.0,0.5,5.0,0.1
skip N=2 (work channel off),1,8,4.0,0.5,12.0,0.041666666666666664
skip N=5 (work channel off),1,8,4.0,0.5,24.0,0.020833333333333332
fixed B=0,3,3,3.0,0.0,7.0,0.0
fixed B=1,3,3,3.0,0.0,7.333333333333333,0.0
fixed B=4,3,3,3.0,0.0,8.333333333333334,0.0
rel B0=0 eps=.5,3,3,3.0,0.0,8.4,0.0
rel B0=1 eps=1,3,3,3.0,0.0,11.0,0.0
rel B0=0 eps=2,3,3,3.0,0.0,21.0,0.0
qlen B0=0 gam=1,3,3,3.0,0.0,7.333333333333333,0.0
qlen B0=1 gam=.5 eps=.5,3,3,3.0,0.0,9.0,0.0
thresh B=1 th=1 N=2,3,3,3.0,0.0,8.0,0.0
thresh B=0 th=.5 N=3 eps=1,3,3,3.0,0.0,11.25,0.0
cap B0=1 eps=1 Bmax=3,3,3,3.0,0.0,8.0,0.0
cap B0=0 eps=2 Bmax=2,3,3,3.0,0.0,7.666666666666667,0.0
cap B0=1 eps=.5 Bmax=1,3,3,3.0,0.0,7.333333333333333,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,3,3.0,0.0,9.0,0.0
skip N=2 (work channel off),3,3,3.0,0.0,9.666666666666666,0.0
skip N=5 (work channel off),3,3,3.0,0.0,13.666666666666666,0.0
fixed B=0,2,6,3.5,0.0,7.0,0.0
fixed B=1,2,6,3.5,3.0,7.5,0.4
fixed B=4,2,6,3.5,3.0,9.0,0.3333333333333333
rel B0=0 eps=.5,2,6,3.5,0.5,9.666666666666666,0.05172413793103449
rel B0=1 eps=1,2,6,3.5,3.0,16.0,0.2
qlen B0=0 gam=1,2,6,3.5,0.0,7.5,0.0
qlen B0=1 gam=.5 eps=.5,2,6,3.5,3.0,10.666666666666666,0.3
