level,policy,k,guar_excess_max,guar_excess_at0,gap_p99dl,gap_mean,w_p99_dl,max_excess,max_excess_wf0,max_heavy,qw_forced_frac,used_over_allowed,bound_viol,P1,P2
1,SKIP-N5,5,216.0,216.0,0.0012119131583625,0.019265082403463,109.6164621829987,63.60734511911869,57.03248253464699,1023.2237482368946,0.8460311600407207,0.2944784496255495,0,0,1
1,FIX-B300,5,216.0,216.0,0.5267587615747331,0.4882098196195901,69.92626443132798,124.72238738834858,107.4366142898798,1082.8813800513744,0.2856856028748202,0.5774184601312434,0,1,0
1,SKIP-N10,5,276.0,276.0,0.000353625760624,0.0329563377678484,109.6812815167016,65.9681513607502,57.28257851302624,1023.4276510328054,0.8224535938016411,0.2390150411621384,0,0,0
1,CAP-B30-e0.5-M600,5,276.0,276.0,0.6704788748976163,0.5976876653401102,59.07227541804314,179.87408705055714,92.78527361154556,1142.916996076703,0.1728889104519631,0.6517177067049171,0,0,0
1,CAP-B120-e0.5-M600,5,276.0,276.0,0.6927636097127922,0.6041303330013589,57.38929409235716,195.27986219525337,122.43728446960448,1142.9165321737528,0.1620580458497567,0.7075357325914977,0,0,0
1,FIX-B600,5,276.0,276.0,0.7051817909168874,0.6040899863440494,56.45145178735273,195.28128246963024,157.81649672985077,1142.9165321737528,0.1590815888652949,0.7075408785131531,0,1,0
1,SKIP-N20,5,396.0,396.0,-0.000413169663989,0.0574332332868288,109.7391912199558,66.68579433858395,57.67089162766933,1023.8788593411446,0.7862906719801348,0.1683984705519796,0,0,0
1,CAP-B30-e0.5-M1200,5,396.0,324.0,0.7165542397937024,0.7019902049533495,55.592584978044144,292.7676717489958,92.78527361154556,1274.7294565103948,0.0872336879877485,0.739312302396454,0,0,0
1,CAP-B120-e0.5-M1200,5,396.0,360.0,0.7470121553205984,0.7188802674733015,53.29235105216503,292.4426586665213,122.43728446960448,1274.57595038414,0.0720279259272371,0.7384915622891952,0,0,0
1,CAP-B30-e0.75-M1200,5,396.0,396.0,0.7705250283216549,0.7199433189062122,51.51661862805488,292.44283747673035,127.69571612775326,1274.575472146273,0.0698944306442827,0.7384920138301272,0,0,0
1,CAP-B120-e0.75-M1200,5,396.0,396.0,0.7743999677826019,0.7226452490045578,51.223976565897765,302.7444801181555,182.97923493385315,1274.725763052702,0.0654035311915067,0.7645062629246351,0,0,0
1,CAP-B30-e0.9-M1200,5,396.0,396.0,0.7775556508419715,0.7233942484086606,50.98565397858629,302.7444801181555,193.1074039079249,1274.725763052702,0.0653193040307075,0.7645062629246351,0,0,0
1,FIX-B1200,5,396.0,396.0,0.7797799163424055,0.7239080925889281,50.81767363995338,302.7444801181555,240.7969584167004,1274.725763052702,0.0650114769606208,0.7645062629246351,0,1,0
1,FIX-B1800,5,516.0,516.0,0.8061584020082317,0.7828044608549641,48.82552524134518,420.8233672603965,241.44427740573883,1386.8354239724576,0.0292505066085018,0.8155491613573576,0,1,0
1,REL-B30-e0.25,5,557.2732058912516,216.0,0.5379694967894638,0.5885641516721556,69.07961051464088,379.66245928034186,82.93820871412754,1388.5630164258182,0.1468494068086014,0.710207432010912,0,0,1
1,REL-B120-e0.25,5,581.2732058912516,240.0,0.6410107279779077,0.651495547746897,61.29776032418017,400.8307771719992,83.9577584117651,1401.840995810926,0.0997314104836588,0.7131420548919598,0,0,1
1,REL-B600-e0.25,5,709.2732058912516,368.0,0.7904017420122015,0.7848205686288023,50.01549518033873,525.779639929533,187.2089101821184,1530.1060636043549,0.0256065566000972,0.7698287200039152,0,0,0
1,SKIP-N50,5,756.0,756.0,0.0117045287117557,0.1153274541627529,108.82404189258818,77.22343923151493,59.71183653175831,1025.2248389720917,0.7132296934275588,0.1021474063908927,0,0,1
1,CAP-B120-e0.5-M3600,5,876.0,360.0,0.7732805412253471,0.8233748516546371,51.30851757600904,756.6530409269035,122.43728446960448,1736.707612559199,0.0193213561662202,0.8637591791403008,0,0,0
1,CAP-B30-e0.75-M3600,5,876.0,648.0,0.812039123538126,0.8401526334763727,48.38140308335426,776.9136231988668,127.69571612775326,1740.6112732850015,0.0144693400866069,0.8868876977156014,0,0,0
1,CAP-B120-e0.75-M3600,5,876.0,720.0,0.8210429642838765,0.8517150316654497,47.70141761526472,784.8984180390835,182.97923493385315,1736.7518286965787,0.0067637685222431,0.8960027603185885,0,0,0
1,CAP-B600-e0.5-M3600,5,876.0,552.0,0.8250939071525109,0.8545293419821828,47.3954834744335,773.0527487322688,241.28176614642143,1741.45379345119,0.006571516782213,0.8824803067719964,0,0,0
1,CAP-B30-e0.9-M3600,5,876.0,876.0,0.8289792773871449,0.8553506776442161,47.1020536623896,785.916801199317,193.1074039079249,1736.7461962625384,0.0048703727273095,0.8971652981727363,0,0,0
1,FIX-B3600,5,876.0,876.0,0.830739205636961,0.8558716745228658,46.96914086788909,776.3982353657484,241.44427740573883,1736.801349900663,0.0033836482298747,0.8862993554403521,0,1,0
1,REL-B1800-e0.25,5,1029.2732058912516,688.0,0.8314341638999957,0.8620714547761714,46.91665643006567,846.7413924001157,241.44427740573883,1839.82451935485,0.0038282015709841,0.8444092579254753,0,1,0
1,REL-B30-e0.5,5,1347.8196176737547,324.0,0.7428527287850241,0.8064913121344776,53.606478065252354,1067.677598986775,92.78527361154556,2066.0911960452795,0.0370277164964201,0.8112541334329952,0,0,1
1,REL-B120-e0.5,5,1383.8196176737547,360.0,0.7772121610941678,0.8358323581579139,51.011594912409954,1114.387233439833,122.43728446960448,2075.948041390628,0.01817859464102,0.8085446165235118,0,0,1
1,REL-B600-e0.5,5,1575.8196176737547,552.0,0.8305777179634619,0.8741425041402352,46.98133669346573,1275.0359890460968,241.28176614642143,2226.363942310214,0.0050590917418614,0.8261620299385031,0,0,0
1,FIX-B7200,5,1596.0,1596.0,0.8489610225561226,0.8946870013782718,45.59299805760384,1504.3674496114254,241.44427740573883,2419.818199183792,0.0006815463601407,0.942586121310417,0,1,0
1,REL-B1800-e0.5,5,2055.8196176737547,1032.0,0.8480152258407342,0.8957397058494387,45.66442624479545,1726.87695081532,241.44427740573883,2681.1403488218784,0.0006746701839723,0.8694304502197427,0,0,0
1,REL-B30-e0.75,5,3719.458853021264,648.0,0.8334134412674444,0.8918376833285969,46.76717801466624,2322.067049667239,127.69571612775326,3095.086484804749,0.0116250166763616,0.7941414033971139,0,0,1
